GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Farm1142,OTHL-Farm-1142.html,Pirates,POR,6,Mike Angelidis(35): Quinton Howden(59): Douglas Murray(12): Jared Boll(21): Micheal Haley(28:29),Unknown Goalie (POR): 18 saves from 18 shots - (1:000): W: 1-0-0: 60:00 minutes ,Monsters,LEM,0,,Unknown Goalie (LEM): 90 saves from 96 shots - (0:938): L: 0-1-0: 60:00 minutes 
Farm1143,OTHL-Farm-1143.html,Wolves,CHI,5,Justin Shugg(31): Aaron Ness(19): Gabriel Dumont(48): Iiro Pakarinen(45): Maxime Macenauer(59),Andrew Hammond (CHI): 34 saves from 38 shots - (0:895): W: 47-21-4: 62:01 minutes ,City Barons,OCB,4,Scott Wilson(26): Brian Lashoff(21): Adam Cracknell(49): Peter Harrold(18),Unknown Goalie (OCB): 25 saves from 30 shots - (0:833): OTL: 0-0-1: 62:01 minutes 
Farm1144,OTHL-Farm-1144.html,Admirals,MIL,1,Matt Frattin(61),Unknown Goalie (MIL): 19 saves from 24 shots - (0:792): L: 0-1-0: 27:37 minutes Unknown Goalie (MIL): 26 saves from 32 shots - (0:813): 32:23 minutes ,Sharks,WOR,11,Freddie Hamilton(52:53): Tomas Jurco(57:58:59): Erik Haula(62): Aleksander Barkov(58): Brock Nelson(70): Dmitry Orlov(11): Melker Karlsson(35:36),Dan Ellis (WOR): 27 saves from 28 shots - (0:964): W: 40-2-4: 60:00 minutes 
Farm1145,OTHL-Farm-1145.html,Falcons,SPR,11,Eriah Hayes(41): Ryan Jones(12:13): Benn Ferriero(31): J.T. Brown(12): Tanner Pearson(36:37): Derek Grant(41:42): Aaron Volpatti(15): David McIntyre(11),Scott Clemmensen (SPR): 22 saves from 23 shots - (0:957): W: 32-7-0: 60:00 minutes ,Heat,ABH,1,Eric Boulton(46),Unknown Goalie (ABH): 8 saves from 12 shots - (0:667): L: 0-1-0: 11:03 minutes Unknown Goalie (ABH): 37 saves from 44 shots - (0:841): 48:57 minutes 
Farm1146,OTHL-Farm-1146.html,Checkers,CHR,5,Rod Pelley(90:91): Unknown Player(1:2:3),Unknown Goalie (CHR): 63 saves from 67 shots - (0:940): W: 1-0-0: 60:13 minutes ,Rampage,SAR,4,Unknown Player(1:2:3:4),Unknown Goalie (SAR): 70 saves from 75 shots - (0:933): OTL: 0-0-1: 60:13 minutes 
Farm1147,OTHL-Farm-1147.html,Devils,ALB,5,Patrick Brown(15): Mike Sislo(46): Nicolas Blanchard(32): Carter Camper(29): Matt Taormina(15),Robin Lehner (ALB): 17 saves from 19 shots - (0:895): W: 53-14-6: 60:00 minutes ,Senators,BNG,2,Phillip Danault(20): Tyler Toffoli(43),Anton Forsberg (BNG): 29 saves from 34 shots - (0:853): L: 20-11-1: 60:00 minutes 
Farm1148,OTHL-Farm-1148.html,Pirates,POR,9,Mike Angelidis(36): Quinton Howden(60): Jiri Sekac(16:17): Barclay Goodrow(34:35): Jordan Schroeder(31:32): Micheal Haley(30),Unknown Goalie (POR): 13 saves from 16 shots - (0:813): W: 1-0-0: 60:00 minutes ,Monarchs,MAN,3,Unknown Player(1:2:3),Unknown Goalie (MAN): 15 saves from 19 shots - (0:789): L: 0-1-0: 13:20 minutes Unknown Goalie (MAN): 63 saves from 68 shots - (0:926): 46:40 minutes 
Farm1149,OTHL-Farm-1149.html,Phantoms,ADP,3,Unknown Player(1:2:3),Joey MacDonald (ADP): 39 saves from 40 shots - (0:975): W: 45-23-8: 60:00 minutes ,IceCaps,STJ,1,Unknown Player(1),Vitek Vanecek (STJ): 48 saves from 51 shots - (0:941): L: 23-21-1: 60:00 minutes 
Farm1150,OTHL-Farm-1150.html,Phantoms,ADP,1,Patrick Holland(94),Joey MacDonald (ADP): 62 saves from 66 shots - (0:939): L: 45-24-8: 60:00 minutes ,Americans,ROC,4,Patrick Kaleta(34): Anders Lee(47:48): Peter Holland(33),Jacob Markstrom (ROC): 32 saves from 33 shots - (0:970): W: 58-11-1: 60:00 minutes 
Farm1151,OTHL-Farm-1151.html,Falcons,SPR,8,Warren Peters(27): Stu Bickel(5): Ryan Jones(14:15): Benn Ferriero(32): Tanner Pearson(38): Derek Grant(43): David McIntyre(12),Scott Clemmensen (SPR): 12 saves from 13 shots - (0:923): W: 33-7-0: 60:00 minutes ,Aeros,HOU,1,Unknown Player(1),Dustin Tokarski (HOU): 20 saves from 26 shots - (0:769): L: 23-49-3: 23:14 minutes Unknown Goalie (HOU): 42 saves from 44 shots - (0:955): 36:46 minutes 
Farm1152,OTHL-Farm-1152.html,Senators,BNG,4,Steven Kampfer(5:6): Tyler Toffoli(44): Unknown Player(1),Anton Forsberg (BNG): 23 saves from 24 shots - (0:958): W: 21-11-1: 60:00 minutes ,Bruins,PRO,1,Cody McCormick(41),Keith Kinkaid (PRO): 31 saves from 35 shots - (0:886): L: 52-14-1: 60:00 minutes 
Farm1153,OTHL-Farm-1153.html,Devils,ALB,3,Mike Sislo(47): Jayson Megna(45): Matt Taormina(16),Robin Lehner (ALB): 20 saves from 22 shots - (0:909): W: 54-14-6: 60:00 minutes ,Marlies,TOR,2,Unknown Player(1:2),Scott Stajcer (TOR): 24 saves from 27 shots - (0:889): L: 6-7-2: 59:17 minutes 
Farm1154,OTHL-Farm-1154.html,IceCaps,STJ,5,Unknown Player(1:2:3:4:5),Vitek Vanecek (STJ): 55 saves from 57 shots - (0:965): W: 24-21-1: 60:00 minutes ,Bulldogs,HAM,2,Maxime Sauve(74): Unknown Player(1),Unknown Goalie (HAM): 41 saves from 46 shots - (0:891): L: 0-1-0: 60:00 minutes 
Farm1155,OTHL-Farm-1155.html,Monsters,LEM,2,Unknown Player(1:2),Unknown Goalie (LEM): 5 saves from 9 shots - (0:556): L: 0-1-0: 5:30 minutes Unknown Goalie (LEM): 57 saves from 62 shots - (0:919): 54:30 minutes ,Pirates,POR,9,Mike Angelidis(37): Quinton Howden(61:62): Barclay Goodrow(36): Justin Hodgman(24): Jordan Schroeder(33): Jared Boll(22): Micheal Haley(31): Tim Schaller(16),Unknown Goalie (POR): 9 saves from 11 shots - (0:818): W: 1-0-0: 60:00 minutes 
Farm1156,OTHL-Farm-1156.html,Rivermen,PEO,3,Unknown Player(1): Jay Rosehill(37): Marc-Andre Bourdon(19),Kevin Poulin (PEO): 14 saves from 18 shots - (0:778): L: 48-24-6: 16:19 minutes Unknown Goalie (PEO): 33 saves from 39 shots - (0:846): 43:41 minutes ,Crunch,SYR,10,Martin Marincin(12): Emerson Etem(51): Charlie Coyle(42): Sven Baertschi(24:25): Sean Monahan(51): Joe Colborne(33:34): Colton Sissons(40:41),Brian Foster (SYR): 15 saves from 18 shots - (0:833): W: 64-11-1: 60:00 minutes 
Farm1157,OTHL-Farm-1157.html,Bulldogs,HAM,3,Unknown Player(1:2:3),Unknown Goalie (HAM): 10 saves from 14 shots - (0:714): L: 0-1-0: 13:33 minutes Unknown Goalie (HAM): 57 saves from 60 shots - (0:950): 46:27 minutes ,Whale,CON,7,Unknown Player(1:2:3:4:5:6:7),Unknown Goalie (CON): 56 saves from 59 shots - (0:949): W: 1-0-0: 60:00 minutes 
Farm1158,OTHL-Farm-1158.html,Heat,ABH,7,John Albert(107:108:109:110:111): Josh Jooris(61:62),Unknown Goalie (ABH): 39 saves from 43 shots - (0:907): W: 1-0-0: 60:00 minutes ,IceHogs,RCK,4,Unknown Player(1:2:3:4),Unknown Goalie (RCK): 12 saves from 16 shots - (0:750): 12:25 minutes Unknown Goalie (RCK): 50 saves from 53 shots - (0:943): L: 0-1-0: 47:35 minutes 
Farm1159,OTHL-Farm-1159.html,Bruins,PRO,4,Dennis Everberg(27): Pierre-Luc Letourneau-Leblond(20): Yann Sauve(5:6),Keith Kinkaid (PRO): 20 saves from 21 shots - (0:952): W: 53-14-1: 60:00 minutes ,Penguins,WBS,1,Sean Collins(66),Ilya Bryzgalov (WBS): 34 saves from 38 shots - (0:895): L: 61-15-2: 60:00 minutes 
Farm1160,OTHL-Farm-1160.html,City Barons,OCB,7,Sheldon Brookbank(23): Scott Wilson(27): Mikael Granlund(54:55): Ryan Reaves(36): Adam Cracknell(50): Mitchell Callahan(40),Unknown Goalie (OCB): 36 saves from 39 shots - (0:923): W: 1-0-0: 60:00 minutes ,Stars,TEX,3,Christian Hanson(33): Mike Richards(34:35),Matt Hackett (TEX): 15 saves from 19 shots - (0:789): L: 44-19-2: 19:14 minutes Unknown Goalie (TEX): 13 saves from 16 shots - (0:813): 40:46 minutes 
Farm1161,OTHL-Farm-1161.html,Sharks,WOR,4,Erik Haula(63:64): Aleksander Barkov(59:60),Dan Ellis (WOR): 18 saves from 21 shots - (0:857): W: 41-2-4: 60:00 minutes ,Falcons,SPR,3,Ryan Jones(16:17): J.T. Brown(13),Scott Clemmensen (SPR): 29 saves from 33 shots - (0:879): L: 33-8-0: 59:16 minutes 
Farm1162,OTHL-Farm-1162.html,Monarchs,MAN,1,Unknown Player(1),Unknown Goalie (MAN): 9 saves from 13 shots - (0:692): L: 0-1-0: 13:18 minutes Unknown Goalie (MAN): 44 saves from 48 shots - (0:917): 46:42 minutes ,Rivermen,PEO,8,Unknown Player(1:2): Ryan Parent(33:34:35): Kevin Westgarth(79:80): Frederic St. Denis(31),Kevin Poulin (PEO): 31 saves from 32 shots - (0:969): W: 49-24-6: 60:00 minutes 
Farm1163,OTHL-Farm-1163.html,Heat,ABH,2,John Albert(112): Tyler Wotherspoon(19),Unknown Goalie (ABH): 44 saves from 49 shots - (0:898): L: 0-1-0: 60:00 minutes ,Griffins,GRP,5,Unknown Player(1:2:3:4:5),Richard Bachman (GRP): 43 saves from 45 shots - (0:956): W: 25-11-3: 60:00 minutes 
Farm1164,OTHL-Farm-1164.html,IceCaps,STJ,1,Unknown Player(1),Vitek Vanecek (STJ): 42 saves from 46 shots - (0:913): L: 24-22-1: 60:00 minutes ,Admirals,NOR,4,Chris Mueller(53): Mike Rupp(22): Chris Conner(57): Jerome Samson(32),Marek Mazanec (NOR): 5 saves from 6 shots - (0:833): W: 70-8-0: 60:00 minutes 
Farm1165,OTHL-Farm-1165.html,Marlies,TOR,4,Kyle Clifford(24): Jamie Oleksiak(9): George Parros(29): Unknown Player(1),Scott Stajcer (TOR): 39 saves from 40 shots - (0:975): W: 7-7-2: 60:00 minutes ,Bears,HER,1,Unknown Player(1),Unknown Goalie (HER): 51 saves from 55 shots - (0:927): L: 0-1-0: 60:00 minutes 
Farm1166,OTHL-Farm-1166.html,IceHogs,RCK,3,Unknown Player(1:2:3),Unknown Goalie (RCK): 13 saves from 17 shots - (0:765): L: 0-1-0: 23:58 minutes Unknown Goalie (RCK): 32 saves from 35 shots - (0:914): 36:02 minutes ,Checkers,CHR,7,Rod Pelley(92:93:94): Unknown Player(1:2:3): Nathan McIver(16),Unknown Goalie (CHR): 38 saves from 41 shots - (0:927): W: 1-0-0: 60:00 minutes 
Farm1167,OTHL-Farm-1167.html,Senators,BNG,7,Tyler Toffoli(45): Matt Nieto(18:19): Richard Panik(8): Matt Fraser(50): Chris Summers(2): Andrej Sustr(11),Anton Forsberg (BNG): 17 saves from 19 shots - (0:895): W: 22-11-1: 60:00 minutes ,Sound Tigers,BPT,2,Unknown Player(1:2),Unknown Goalie (BPT): 53 saves from 60 shots - (0:883): L: 0-1-0: 60:00 minutes 
Farm1168,OTHL-Farm-1168.html,Crunch,SYR,8,Carl Klingberg(25): Emerson Etem(52): Charlie Coyle(43:44): Sean Monahan(52): Colton Sissons(42): Tyson Barrie(25): Greg Nemisz(8),Brian Foster (SYR): 20 saves from 24 shots - (0:833): W: 65-11-1: 60:00 minutes ,Admirals,MIL,4,Kevin Henderson(48:49): Corban Knight(63): Zack FitzGerald(20),Unknown Goalie (MIL): 6 saves from 10 shots - (0:600): 19:30 minutes Unknown Goalie (MIL): 31 saves from 35 shots - (0:886): L: 0-1-0: 40:30 minutes 
Farm1169,OTHL-Farm-1169.html,Aeros,HOU,1,Unknown Player(1),Dustin Tokarski (HOU): 74 saves from 79 shots - (0:937): L: 23-50-3: 60:00 minutes ,Wolves,CHI,5,Justin Shugg(32): Aaron Ness(20): Gabriel Dumont(49): Iiro Pakarinen(46:47),Andrew Hammond (CHI): 21 saves from 22 shots - (0:955): W: 48-21-4: 60:00 minutes 
Farm1170,OTHL-Farm-1170.html,Sharks,WOR,10,Freddie Hamilton(54): Kent Huskins(13): Erik Haula(65): Aleksander Barkov(61): Brock Nelson(71:72:73): Melker Karlsson(37:38:39),Dan Ellis (WOR): 25 saves from 27 shots - (0:926): W: 42-2-4: 60:00 minutes ,Phantoms,ADP,2,Mike Zigomanis(64): Patrick Holland(95),Joey MacDonald (ADP): 10 saves from 14 shots - (0:714): L: 45-25-8: 10:21 minutes Allen York (ADP): 58 saves from 64 shots - (0:906): 49:39 minutes 
Farm1171,OTHL-Farm-1171.html,Checkers,CHR,8,Rod Pelley(95:96:97): Unknown Player(1:2:3:4): Nathan McIver(17),Unknown Goalie (CHR): 56 saves from 61 shots - (0:918): W: 1-0-0: 60:00 minutes ,Rampage,SAR,5,Unknown Player(1:2:3:4:5),Unknown Goalie (SAR): 58 saves from 66 shots - (0:879): L: 0-1-0: 60:00 minutes 
Farm1172,OTHL-Farm-1172.html,Bears,HER,1,Unknown Player(1),Unknown Goalie (HER): 58 saves from 66 shots - (0:879): L: 0-1-0: 60:00 minutes ,Devils,ALB,8,Patrick Brown(16): Chris Breen(9): Mike Sislo(48:49): Jayson Megna(46): Ben Holmstrom(32): Adam Larsson(13): Stefan Elliott(22),Robin Lehner (ALB): 10 saves from 11 shots - (0:909): W: 55-14-6: 60:00 minutes 
Farm1173,OTHL-Farm-1173.html,Admirals,NOR,6,Andrew Ebbett(56): Jason Jaffray(21): Chris Mueller(54): Mike Rupp(23): Jerome Samson(33): Ryan Craig(19),Marek Mazanec (NOR): 20 saves from 21 shots - (0:952): W: 71-8-0: 60:00 minutes ,City Barons,OCB,1,Ryan Reaves(37),Unknown Goalie (OCB): 7 saves from 11 shots - (0:636): L: 0-1-0: 19:32 minutes Unknown Goalie (OCB): 16 saves from 18 shots - (0:889): 40:28 minutes 
Farm1174,OTHL-Farm-1174.html,Aeros,HOU,5,Unknown Player(1:2:3:4:5),Dustin Tokarski (HOU): 58 saves from 64 shots - (0:906): L: 23-51-3: 59:03 minutes ,Monsters,LEM,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (LEM): 67 saves from 72 shots - (0:931): W: 1-0-0: 60:00 minutes 
Farm1175,OTHL-Farm-1175.html,City Barons,OCB,3,Mikael Granlund(56): Mitchell Callahan(41): Unknown Player(1),Unknown Goalie (OCB): 13 saves from 18 shots - (0:722): L: 0-1-0: 36:46 minutes Unknown Goalie (OCB): 5 saves from 5 shots - (1:000): 23:14 minutes ,Pirates,POR,5,Christian Folin(12): Quinton Howden(63:64): Jiri Sekac(18): Tim Schaller(17),Unknown Goalie (POR): 29 saves from 32 shots - (0:906): W: 1-0-0: 60:00 minutes 
Farm1176,OTHL-Farm-1176.html,Sharks,WOR,7,Triston Grant(15): Tomas Jurco(60): Erik Haula(66): Aleksander Barkov(62:63:64): Melker Karlsson(40),Dan Ellis (WOR): 16 saves from 19 shots - (0:842): W: 43-2-4: 60:00 minutes ,Monarchs,MAN,3,Unknown Player(1:2:3),Unknown Goalie (MAN): 74 saves from 81 shots - (0:914): L: 0-1-0: 60:00 minutes 
Farm1177,OTHL-Farm-1177.html,Rampage,SAR,1,Unknown Player(1),Unknown Goalie (SAR): 40 saves from 46 shots - (0:870): L: 0-1-0: 37:56 minutes Unknown Goalie (SAR): 21 saves from 27 shots - (0:778): 22:04 minutes ,Americans,ROC,12,Patrick Kaleta(35): Taylor Fedun(16): Anders Lee(49:50): Cedric Paquette(19:20): Peter Holland(34:35): Corey Tropp(37): Jerry DAmigo(48): Zach Sill(17): Landon Ferraro(21),Jacob Markstrom (ROC): 17 saves from 18 shots - (0:944): W: 59-11-1: 60:00 minutes 
Farm1178,OTHL-Farm-1178.html,Monsters,LEM,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (LEM): 47 saves from 52 shots - (0:904): 46:15 minutes Unknown Goalie (LEM): 15 saves from 20 shots - (0:750): L: 0-1-0: 13:45 minutes ,Heat,ABH,10,John Albert(113:114:115): Unknown Player(1): Eric Boulton(47): Tyler Wotherspoon(20): Josh Jooris(63:64:65): Brian McGrattan(32),Unknown Goalie (ABH): 45 saves from 51 shots - (0:882): W: 1-0-0: 60:00 minutes 
Farm1179,OTHL-Farm-1179.html,Devils,ALB,3,Kellan Lain(13): Jayson Megna(47): Keith Aulie(12),Robin Lehner (ALB): 29 saves from 30 shots - (0:967): W: 56-14-6: 60:00 minutes ,Senators,BNG,1,Phillip Danault(21),Anton Forsberg (BNG): 22 saves from 25 shots - (0:880): L: 22-12-1: 60:00 minutes 
Farm1180,OTHL-Farm-1180.html,Marlies,TOR,4,Jamie Oleksiak(10): Taylor Beck(17): Unknown Player(1:2),Scott Stajcer (TOR): 33 saves from 35 shots - (0:943): W: 8-7-2: 60:00 minutes ,Bulldogs,HAM,2,Unknown Player(1:2),Unknown Goalie (HAM): 57 saves from 61 shots - (0:934): L: 0-1-0: 60:00 minutes 
Farm1181,OTHL-Farm-1181.html,Falcons,SPR,1,Tanner Pearson(39),Scott Clemmensen (SPR): 27 saves from 28 shots - (0:964): OTL: 33-8-1: 65:00 minutes ,Stars,TEX,2,Michael Bournival(33),Matt Hackett (TEX): 33 saves from 34 shots - (0:971): W: 45-19-2: 65:00 minutes 
Farm1182,OTHL-Farm-1182.html,Bruins,PRO,1,Michael Latta(53),Keith Kinkaid (PRO): 22 saves from 25 shots - (0:880): L: 53-15-1: 60:00 minutes ,Penguins,WBS,3,Jamie Devane(33): Nick Petrecki(13): Daniel Carcillo(34),Ilya Bryzgalov (WBS): 34 saves from 35 shots - (0:971): W: 62-15-2: 60:00 minutes 
Farm1183,OTHL-Farm-1183.html,Senators,BNG,9,Phillip Danault(22:23): Tyler Toffoli(46:47:48): Nicholas Shore(26:27:28): Matt Nieto(20),Anton Forsberg (BNG): 18 saves from 19 shots - (0:947): W: 23-12-1: 60:00 minutes ,Whale,CON,1,Unknown Player(1),Unknown Goalie (CON): 15 saves from 19 shots - (0:789): L: 0-1-0: 16:45 minutes Unknown Goalie (CON): 52 saves from 57 shots - (0:912): 43:15 minutes 
Farm1184,OTHL-Farm-1184.html,Pirates,POR,7,Quinton Howden(65): Anthony Stewart(43:44): Barclay Goodrow(37:38): Justin Hodgman(25): Jordan Schroeder(34),Unknown Goalie (POR): 9 saves from 14 shots - (0:643): 23:59 minutes Unknown Goalie (POR): 24 saves from 27 shots - (0:889): L: 0-1-0: 35:07 minutes ,Sharks,WOR,8,Kris Newbury(43): Brock Nelson(74:75:76:77): Dmitry Orlov(12): Melker Karlsson(41:42),Dan Ellis (WOR): 25 saves from 32 shots - (0:781): W: 44-2-4: 60:00 minutes 
Farm1185,OTHL-Farm-1185.html,Aeros,HOU,5,Unknown Player(1:2:3:4:5),Dustin Tokarski (HOU): 36 saves from 37 shots - (0:973): W: 24-51-3: 60:00 minutes ,IceHogs,RCK,1,Unknown Player(1),Unknown Goalie (RCK): 57 saves from 62 shots - (0:919): L: 0-1-0: 60:00 minutes 
Farm1186,OTHL-Farm-1186.html,Devils,ALB,9,Kellan Lain(14:15): Mike Sislo(50:51): Jayson Megna(48): Carter Camper(30): Ben Holmstrom(33): Adam Larsson(14): Stefan Elliott(23),Robin Lehner (ALB): 20 saves from 20 shots - (1:000): W: 57-14-6: 60:00 minutes ,Sound Tigers,BPT,0,,Unknown Goalie (BPT): 43 saves from 48 shots - (0:896): L: 0-1-0: 47:57 minutes Unknown Goalie (BPT): 9 saves from 13 shots - (0:692): 12:03 minutes 
Farm1187,OTHL-Farm-1187.html,Rivermen,PEO,0,,Kevin Poulin (PEO): 41 saves from 44 shots - (0:932): L: 49-25-6: 60:00 minutes ,Crunch,SYR,3,Emerson Etem(53): Charlie Coyle(45): Sven Baertschi(26),Brian Foster (SYR): 8 saves from 8 shots - (1:000): W: 66-11-1: 60:00 minutes 
Farm1188,OTHL-Farm-1188.html,Monarchs,MAN,3,Unknown Player(1:2:3),Unknown Goalie (MAN): 81 saves from 88 shots - (0:920): L: 0-1-0: 60:00 minutes ,Griffins,GRP,7,Unknown Player(1:2:3): Brandon Yip(74:75:76): Evan Oberg(33),Richard Bachman (GRP): 21 saves from 24 shots - (0:875): W: 26-11-3: 60:00 minutes 
Farm1189,OTHL-Farm-1189.html,Bruins,PRO,5,Jason Akeson(66:67): Zac Dalpe(35:36): Pierre-Edouard Bellemare(32),Keith Kinkaid (PRO): 26 saves from 27 shots - (0:963): W: 54-15-1: 60:00 minutes ,Marlies,TOR,1,Jamie Oleksiak(11),Scott Stajcer (TOR): 43 saves from 48 shots - (0:896): L: 8-8-2: 60:00 minutes 
Farm1190,OTHL-Farm-1190.html,Monsters,LEM,2,Unknown Player(1:2),Unknown Goalie (LEM): 19 saves from 24 shots - (0:792): L: 0-1-0: 20:58 minutes Unknown Goalie (LEM): 43 saves from 47 shots - (0:915): 39:02 minutes ,Falcons,SPR,9,Warren Peters(28): Eriah Hayes(42:43): Ryan Jones(18): Benn Ferriero(33:34): J.T. Brown(14): Derek Grant(44): David McIntyre(13),Scott Clemmensen (SPR): 26 saves from 28 shots - (0:929): W: 34-8-1: 60:00 minutes 
Farm1191,OTHL-Farm-1191.html,Rampage,SAR,0,,Unknown Goalie (SAR): 62 saves from 68 shots - (0:912): L: 0-1-0: 60:00 minutes ,IceCaps,STJ,6,Unknown Player(1:2:3:4): Cody Ceci(23:24),Vitek Vanecek (STJ): 18 saves from 18 shots - (1:000): W: 25-22-1: 60:00 minutes 
Farm1192,OTHL-Farm-1192.html,Penguins,WBS,2,David Dziurzynski(32): Sean Collins(67),Ilya Bryzgalov (WBS): 35 saves from 37 shots - (0:946): OTL: 62-15-3: 65:00 minutes ,Admirals,NOR,3,Magnus Paajarvi(35): Jim OBrien(24),Marek Mazanec (NOR): 16 saves from 18 shots - (0:889): W: 72-8-0: 65:00 minutes 
Farm1193,OTHL-Farm-1193.html,Griffins,GRP,6,Unknown Player(1:2:3): Brandon Yip(77:78): Chad Ruhwedel(32),Richard Bachman (GRP): 39 saves from 44 shots - (0:886): W: 27-11-3: 60:00 minutes ,Admirals,MIL,5,Kevin Henderson(50:51): Zack FitzGerald(21:22): Matt Frattin(62),Unknown Goalie (MIL): 9 saves from 13 shots - (0:692): 27:47 minutes Unknown Goalie (MIL): 13 saves from 15 shots - (0:867): L: 0-1-0: 31:55 minutes 
