Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Terry Murray,80,,CAN,65,37,65,68,60,73,65,40,0,1800000
Todd Richards,81,Ducks,USA,48,66,76,90,83,76,76,74,3,1500000
Tom Renney,82,,CAN,60,57,47,50,50,47,44,30,0,700000
Trent Yawney,85,,CAN,45,74,67,66,63,72,71,85,1,450000
Brent Sutter,88,Bears,CAN,53,58,50,49,50,46,44,38,3,750000
Kevin Dineen,89,IceHogs,CAN,51,70,56,62,68,58,57,54,2,1000000
Guy Boucher,92,Wolves,CAN,43,69,64,49,58,51,53,59,3,650000
Kirk Muller,93,Stars,CAN,49,71,65,67,70,58,58,58,2,900000
Lane Lambert,94,Wild,CAN,46,63,67,63,61,72,70,85,1,800000
Ken Gernander,95,Falcons,USA,46,71,72,77,68,60,61,78,2,650000
Cory Clouston,96,,CAN,45,47,38,39,41,37,37,40,0,800000
John Stevens,97,,CAN,49,44,56,49,50,44,44,43,0,650000
Mike Yeo,99,Blackhawks,CAN,41,99,90,93,86,75,78,88,1,1250000
Glen Gulutzan,100,Penguins,CAN,43,69,64,49,57,50,52,59,1,750000
Peter DeBoer,102,Wild,CAN,47,95,84,75,86,78,78,76,2,1650000
Benoit Groulx,103,Comets,CAN,43,67,65,66,69,65,65,85,1,700000
Bill Peters,104,Checkers,CAN,49,84,81,77,88,71,71,72,2,875000
Todd McLellan,106,Sharks,CAN,47,85,82,90,86,78,78,76,2,2250000
Davis Payne,107,,CAN,44,51,56,53,49,43,44,49,0,1500000
Dale Hunter,109,,CAN,54,50,49,53,52,43,41,37,0,750000
Dan Bylsma,110,Kings,USA,44,62,71,78,68,61,62,66,1,2000000
Jack Capuano,114,Oilers,USA,49,60,83,97,87,76,75,72,1,1350000
Jeff Daniels,115,Wolf Pack,CAN,47,62,66,61,66,60,60,76,1,850000
Jim Playfair,117,Gulls,CAN,46,63,66,64,65,74,72,85,3,700000
Joe Sacco,118,Heat,USA,46,69,63,48,58,53,53,55,1,650000
Rick Tocchet,119,Bruins,CAN,48,68,67,69,71,69,69,85,1,750000
Rob Murray,120,,CAN,45,68,65,63,64,65,65,85,0,650000
Ray Edwards,122,Unknown,CAN,42,73,63,69,62,70,68,85,0,650000
Ray Edwards,123,,CAN,42,73,63,69,62,70,68,85,2,650000
Paul MacLean,124,Rangers,CAN,57,57,58,72,66,59,56,45,1,2500000
Adam Oates,125,Panthers,CAN,52,69,65,73,66,58,57,53,2,2000000
Ron Rolston,126,Sound Tigers,USA,48,66,58,53,67,57,58,59,1,875000
Steve Spott,127,Marlies,CAN,46,67,68,66,69,70,68,85,1,300000
Patrick Roy,128,Blue Jackets,CAN,49,82,82,86,86,73,73,72,1,2000000
Jeff Blashill,129,Griffins,USA,41,84,80,84,71,60,63,88,1,700000
