Name,Position,Country,Rookie,Age,Weight,Height,Contract,Salary,Stats 1,Stats 2,Stats 3,Stats 4,Stats 5,Stats 6,Stats 7,Stats 8,Stats 9,Stats 10,Stats 11,Stats 12,Stats 13,Stats 14
Samuel Pahlsson,1,SWE,N,31,204,72,3,2650000,88,40,79,77,77,83,62,88,65,64,77,84,79,1
Matt Cooke,3,CAN,N,32,205,71,2,1750000,99,44,57,79,77,79,72,42,71,69,73,76,65,45
Evander Kane,1,CAN,Y,18,176,73,3,900000,69,45,74,68,75,76,63,62,64,63,60,45,45,50
Scott Parker,2,USA,N,31,240,77,1,500000,59,82,34,45,95,56,48,25,50,45,51,72,71,35
Brenden Morrow,2,CAN,N,30,205,71,2,3000000,97,52,49,88,77,93,82,42,82,76,66,82,83,50
David Jones,3,CAN,N,24,210,74,2,725000,77,40,80,70,80,76,65,41,65,66,66,62,59,50
Nick Boynton,4,CAN,N,30,225,77,2,2800000,61,64,61,71,87,74,70,40,72,67,76,77,78,1
Jason Strudwick,4,CAN,N,34,225,76,2,800000,71,71,67,62,87,70,60,40,64,61,63,77,68,5
Derek MacKenzie,1,CAN,N,28,180,71,2,863155,67,40,85,75,60,75,63,49,63,62,56,70,63,30
Dan Jancevski,4,CAN,N,27,212,75,1,475000,72,44,69,56,81,68,55,40,59,50,63,71,64,40
Benn Ferriero,3,USA,Y,22,191,70,3,725000,56,45,76,72,61,71,63,66,61,60,58,45,45,50
Tyler Bozak,1,CAN,Y,23,180,73,4,1850000,60,40,80,60,69,64,57,51,60,56,56,45,45,50
Jesse Boulerice,2,USA,N,31,215,74,2,550000,50,69,79,63,82,62,60,40,58,59,54,71,65,5
Dean McAmmond,2,CAN,N,36,193,71,2,1375000,56,40,76,72,71,73,62,67,65,63,74,83,72,50
Colin White,4,CAN,N,32,220,76,3,4500000,86,40,76,71,85,77,68,40,72,62,83,78,70,50
Patrice Bergeron,1,CAN,N,23,194,74,1,1955000,67,40,84,84,72,82,77,86,79,69,73,66,74,20
Devin Setoguchi,3,CAN,N,22,200,72,2,850000,79,42,83,84,75,85,81,42,79,81,65,62,57,50
Rob Blake,4,CAN,N,39,225,76,1,6000000,67,44,63,73,87,81,86,40,85,74,82,95,99,20
Mark Fistric,4,CAN,N,22,232,74,2,650000,82,40,80,50,91,72,53,40,55,51,72,65,59,70
Tyler Arnason,1,USA,N,30,204,71,1,865000,50,40,80,73,77,81,62,72,66,63,61,68,70,55
Nicklas Grossman,4,SWE,N,23,206,75,2,800000,92,42,76,67,78,80,60,40,65,61,73,65,58,50
Brian Boyle,1,USA,Y,24,252,79,2,750000,93,52,53,70,99,75,60,67,61,64,53,60,61,50
Erik Cole,3,USA,N,31,205,74,5,4150000,92,43,71,84,77,87,72,43,72,70,71,72,71,50
Doug Weight,1,USA,N,38,196,71,1,2250000,59,51,68,85,73,83,80,72,81,71,58,94,77,55
Douglas Murray,4,SWE,N,29,240,75,3,1750000,93,60,79,66,95,72,60,40,64,59,80,64,77,20
Brendan Witt,4,CAN,N,34,223,74,2,1600000,91,53,64,75,86,81,60,40,65,59,78,81,83,15
Mathieu Dandenault,4,CAN,N,33,208,72,2,1500000,71,46,76,76,79,76,63,41,66,64,72,82,75,25
Michal Handzus,1,SVK,N,32,218,76,1,4299000,67,41,81,78,84,90,70,83,71,69,76,83,70,60
Aaron Ward,4,CAN,N,36,209,74,2,3250000,93,40,75,69,79,71,62,40,65,63,83,82,77,40
Casey Borer,4,USA,Y,23,205,74,2,600000,70,40,50,61,77,70,60,40,58,59,55,60,58,60
Mark Recchi,3,CAN,N,41,195,70,2,3250000,76,40,84,84,72,86,82,43,81,77,62,96,94,40
Paul Martin,4,USA,N,28,195,73,4,4850000,57,40,84,78,72,91,79,40,80,70,88,70,67,25
Cal Clutterbuck,3,CAN,Y,21,213,71,2,550000,99,61,64,73,81,81,62,41,63,65,66,56,55,75
Ryan Stone,1,CAN,Y,25,207,74,2,550000,99,56,64,70,78,75,60,47,58,59,52,65,60,85
Stéphane Veilleux,2,CAN,N,27,190,72,2,750000,74,48,79,76,70,84,64,42,65,65,76,70,64,75
Fernando Pisani,3,CAN,N,33,205,73,2,2750000,76,40,82,75,77,79,68,52,68,67,74,71,66,1
Vyacheslav Kozlov,2,RUS,N,36,190,70,1,3750000,55,40,78,89,70,87,87,43,86,79,58,94,88,35
David Booth,2,USA,N,25,190,73,1,500000,76,40,79,87,70,81,85,41,81,84,66,64,61,30
Triston Grant,2,CAN,N,26,190,74,3,500000,61,76,39,57,70,63,53,40,54,52,54,67,65,35
Cody Bass,1,CAN,Y,22,211,72,2,600000,91,58,53,65,80,64,60,57,58,59,51,62,57,10
Jake Dowell,1,USA,Y,24,197,72,2,525000,90,47,44,73,73,81,60,58,58,59,67,63,59,30
Daniel Cleary,2,CAN,N,31,210,72,3,2500000,79,40,77,77,80,84,74,74,74,70,76,62,67,1
Richard Park,3,KOR,N,32,190,71,3,1250000,55,40,80,91,70,85,69,75,70,69,77,87,69,1
Wayne Primeau,1,CAN,N,32,225,76,1,600000,58,42,72,70,87,73,63,80,65,60,72,81,68,10
Adam Mair,1,CAN,N,30,208,73,1,750000,79,67,58,68,79,71,62,68,64,64,60,76,65,45
Anton Volchenkov,4,RUS,N,27,226,73,2,3300000,95,41,84,75,88,79,60,40,65,61,84,73,61,50
Derek Meech,4,CAN,N,25,197,71,1,500000,66,40,78,78,73,75,63,40,66,63,64,68,62,50
Jeff Giuliano,3,USA,N,30,205,69,1,500000,76,50,79,59,77,70,57,60,59,45,75,66,61,20
Dainius Zubrus,1,LTU,N,31,225,77,3,2500000,74,42,72,73,87,83,72,81,72,69,62,73,64,20
Chris Drury,1,USA,N,33,190,70,4,7000000,56,40,86,88,70,91,79,85,78,74,77,81,91,45
Andrew Peters,2,CAN,N,29,247,76,2,500000,53,99,34,64,98,61,60,40,61,59,51,67,73,15
Daniel Brière,1,CAN,N,32,179,70,1,5500000,55,40,71,94,59,75,82,80,80,80,57,83,89,50
Derek Roy,1,CAN,N,26,188,69,3,4500000,56,40,85,93,68,95,80,83,83,78,74,70,86,15
Dave Scatchard,3,CAN,N,33,210,75,2,550000,77,55,65,72,82,84,66,84,62,63,73,72,77,50
Marian Gaborik,3,SVK,N,27,199,73,2,7000000,66,40,87,99,74,84,92,41,82,90,65,78,77,50
Henrik Tallinder,4,SWE,N,30,214,75,1,1500000,60,40,78,68,82,78,60,40,66,60,79,69,64,30
Dan Paille,2,CAN,N,25,197,72,2,1050000,73,40,79,73,73,78,66,42,67,66,67,71,60,80
Sidney Crosby,1,CAN,N,21,200,71,3,8700000,71,44,74,98,75,92,99,83,99,89,64,65,99,40
Jochen Hecht,1,DEU,N,32,191,73,1,2500000,54,42,80,80,70,83,66,63,68,67,76,94,76,50
Marc-Andre Bergeron,4,CAN,N,29,198,69,3,1800000,54,40,81,75,74,77,82,40,79,75,64,72,68,35
Daniel Carcillo,2,CAN,N,24,205,72,2,800000,90,99,37,71,77,77,60,41,63,61,59,64,69,45
Jay McKee,4,CAN,N,32,203,76,2,4000000,70,46,76,67,76,78,60,40,64,60,84,76,68,30
Mike Weber,4,CAN,N,22,199,74,1,700000,75,53,52,64,74,74,64,40,60,58,62,61,57,45
Chris Pronger,4,CAN,N,35,214,78,1,7800000,69,41,76,80,82,99,85,40,84,74,85,89,95,25
Mike Mottau,4,USA,N,31,190,72,2,500000,56,44,80,67,70,78,61,40,67,60,75,74,77,50
Cody McLeod,2,CAN,N,25,210,74,3,850000,94,88,43,71,80,75,66,40,64,68,63,66,69,65
Steve Sullivan,2,CAN,N,35,173,69,2,3200000,54,40,74,90,53,87,80,41,81,74,60,77,83,35
Drew Stafford,3,USA,N,24,202,74,3,2100000,70,44,82,79,76,83,74,42,74,72,60,65,62,1
Mark Mancari,3,CAN,N,24,225,76,1,675000,78,42,80,69,87,75,65,40,66,65,53,44,44,40
Tyler Kennedy,3,CAN,N,22,183,71,2,800000,59,48,75,80,63,80,73,66,73,70,64,62,58,55
Clarke MacArthur,2,CAN,N,24,191,71,1,1200000,73,40,68,77,70,80,69,48,69,70,62,69,66,40
Antti Pihlstrom,3,FIN,Y,25,190,71,1,750000,88,40,81,71,70,75,62,40,63,62,63,60,56,15
Jason Pominville,3,CAN,N,27,186,72,2,3000000,56,40,85,90,66,92,84,43,84,74,75,71,75,55
Paul Gaustad,1,USA,N,27,225,77,1,800000,92,63,53,73,87,79,71,85,71,69,70,68,66,45
Thomas Vanek,2,AUT,N,25,208,74,1,4000000,55,40,77,85,79,85,85,40,79,90,62,69,72,1
Pascal Pelletier,2,CAN,N,26,190,72,1,550000,61,40,87,72,70,75,62,41,60,64,52,66,59,45
Chris Minard,3,CAN,N,28,190,73,1,550000,82,40,75,68,70,73,63,40,64,62,54,68,62,35
Mathieu Roy,4,CAN,N,26,210,74,3,500000,75,50,52,63,73,63,40,60,57,60,61,57,60,50
Chris Thorburn,1,CAN,N,26,225,75,2,850000,81,95,53,69,87,73,60,42,62,62,59,67,71,30
Michael Ryan,1,USA,N,29,188,73,2,500000,56,40,77,67,68,71,62,44,62,62,57,64,62,50
Michael Ryder,3,CAN,N,29,186,72,1,2500000,79,40,77,83,66,78,77,41,77,77,65,72,65,50
Jeff Halpern,1,USA,N,33,203,72,2,4500000,56,41,77,82,76,85,64,85,66,65,78,75,77,25
Christoph Schubert,4,DEU,N,27,230,75,5,2000000,91,41,74,73,90,81,60,40,61,61,72,80,61,35
Matt Carle,4,USA,N,25,205,72,3,2300000,56,40,88,71,77,84,72,40,74,67,72,65,65,60
Jason Chimera,2,CAN,N,30,216,74,3,1400000,75,47,72,75,83,79,69,44,70,67,72,73,68,70
Jason Spezza,1,CAN,N,26,215,75,3,8250000,53,43,70,85,82,92,82,85,81,82,60,77,78,1
Sean O'Donnell,4,CAN,N,37,230,74,2,4000000,68,58,77,70,90,85,55,40,63,58,81,87,72,90
Eric Belanger,1,CAN,N,32,187,71,4,2400000,57,40,83,82,67,84,69,83,71,67,76,77,66,20
Jeff Cowan,2,CAN,N,33,205,74,1,675000,68,79,62,53,77,64,53,40,53,53,59,76,81,45
Ryan Smyth,2,CAN,N,33,190,73,4,8000000,57,40,78,89,70,91,77,63,77,78,63,90,92,25
Chris Gratton,1,CAN,N,34,226,76,1,1000000,81,47,74,75,88,73,60,87,63,59,67,79,81,65
Andreas Lilja,4,SWE,N,34,220,75,1,850000,82,56,66,66,85,75,65,40,69,63,83,78,67,15
Sam Gagner,1,CAN,N,19,191,71,2,850000,54,43,76,86,70,80,71,61,76,69,58,59,62,60
Jim Slater,1,USA,N,27,200,72,2,750000,79,51,67,71,75,73,68,80,68,66,74,67,67,45
Mark Eaton,4,USA,N,32,204,74,1,1800000,58,40,79,72,77,80,62,40,64,64,82,71,65,5
Maxim Afinogenov,2,RUS,N,30,191,72,3,4750000,54,41,76,86,70,75,65,40,69,66,54,87,68,15
Fredrik Sjostrom,3,SWE,N,26,218,73,2,1200000,81,40,77,72,84,79,63,40,63,63,77,71,60,60
Marek Malik,4,CZE,N,34,235,78,1,950000,53,40,72,69,92,75,60,40,65,59,77,69,72,5
Cory Sarich,4,CAN,N,31,207,76,3,2100000,86,53,59,66,78,78,67,40,71,63,81,75,71,30
Ruslan Salei,4,BLR,N,34,212,73,1,2000000,81,41,73,70,81,81,71,40,73,66,77,82,67,30
Anssi Salmela,4,FIN,Y,25,200,73,2,1350000,68,40,83,66,75,75,66,40,67,63,57,70,72,35
Mathieu Schneider,4,USA,N,40,195,71,1,4500000,71,40,75,76,72,81,79,40,79,72,71,96,90,1
Bill Thomas,3,USA,N,26,185,73,3,600000,58,40,77,65,65,64,57,62,57,58,63,59,60,25
Paul Mara,4,USA,N,30,212,76,1,1500000,83,56,64,66,81,78,73,40,73,67,73,74,66,20
Ales Kotalik,3,CZE,N,31,227,73,4,4500000,83,40,80,79,88,81,74,56,73,72,58,74,68,50
Craig Conroy,1,USA,N,38,193,74,2,6000000,56,40,82,81,71,83,74,85,76,68,81,82,74,35
Jason Arnott,1,CAN,N,35,220,77,1,4650000,56,42,74,83,85,82,87,81,80,85,61,83,83,15
Ville Koistinen,2,FIN,Y,26,187,71,1,500000,74,40,77,67,67,75,69,40,71,67,56,66,61,20
Dustin Brown,2,USA,N,25,207,72,1,1500000,99,47,73,83,78,91,76,45,76,76,68,70,62,90
Maxime Talbot,2,CAN,N,25,190,71,3,1250000,81,47,67,75,70,75,64,75,65,65,79,70,60,35
Erik Christensen,1,CAN,N,26,205,73,1,1400000,52,40,78,74,77,79,74,85,74,67,56,69,64,30
Mike Zigomanis,1,CAN,N,28,200,72,3,650000,61,49,54,70,75,75,67,97,67,64,72,70,64,15
Robyn Regehr,4,BRA,N,29,225,75,2,2500000,83,51,74,71,87,83,60,40,64,59,89,76,77,50
Jonathan Toews,1,CAN,N,21,209,74,1,850000,56,42,77,85,79,89,87,88,82,85,65,61,66,50
Chris Clark,3,USA,N,33,196,72,1,676200,81,55,64,70,73,73,60,44,63,61,56,75,70,80
Jason Ward,3,CAN,N,30,208,74,2,759000,90,40,39,69,79,71,60,43,59,59,65,79,67,40
Alexander Steen,2,CAN,N,25,205,73,1,1500000,55,40,82,80,77,83,67,57,69,65,77,70,61,5
Brooks Orpik,4,USA,N,29,219,74,3,3750000,99,45,75,70,84,83,67,40,71,63,81,69,64,45
Jon Sim,2,CAN,N,32,190,71,1,1100000,70,42,87,85,70,75,75,41,70,73,54,74,68,90
Darcy Hordichuk,2,CAN,N,29,215,73,3,675000,81,99,48,65,82,59,60,40,60,61,62,67,73,30
Brad Staubitz,4,CAN,Y,25,215,73,2,750000,82,88,37,66,82,67,60,40,61,61,55,50,50,65
Fabian Brunnstrom,3,SWE,Y,24,203,74,3,3200000,55,40,81,79,76,71,68,40,71,75,52,44,42,55
Tom Poti,4,USA,N,32,210,75,1,2150000,57,40,83,77,80,77,68,40,69,64,82,77,78,65
Nate Guenin,4,USA,N,27,210,74,2,700000,71,46,58,50,80,65,53,40,55,51,59,62,64,1
Bruno Gervais,4,CAN,N,25,205,73,1,900000,74,42,85,70,77,86,69,40,72,65,75,66,60,45
John Oduya,4,SWE,N,28,200,72,2,3250000,58,40,87,77,75,86,77,40,77,69,84,72,63,30
Chad Larose,3,USA,N,27,181,70,4,2050000,80,42,81,80,61,83,68,41,67,68,74,69,65,50
Brent Burns,4,CAN,N,24,219,77,1,1100000,70,43,79,73,84,86,77,40,78,71,76,65,61,65
Toni Lydman,4,FIN,N,31,204,73,3,3800000,90,40,76,71,77,86,67,40,71,63,82,88,69,45
Tom Preissing,4,USA,N,32,197,72,2,1000000,59,40,84,68,73,77,67,40,67,65,61,67,64,10
Brandon Prust,3,CAN,Y,25,195,71,2,475000,59,95,33,67,72,65,60,67,61,61,51,60,58,60
Jonas Frogren,4,SWE,N,29,189,73,3,1300000,87,40,70,64,69,69,61,40,66,61,65,70,72,20
Jarome Iginla,3,CAN,N,32,207,73,3,10060000,70,50,85,92,78,95,89,77,90,88,63,82,99,1
Peter Mueller,1,USA,N,21,205,74,2,850000,56,40,83,83,77,81,73,57,73,69,59,63,59,40
Kyle Calder,2,CAN,N,30,177,71,2,1400000,60,42,73,79,57,81,65,40,65,63,59,77,69,25
Teemu Selanne,3,FIN,N,38,200,72,1,5500000,52,40,78,89,75,83,82,69,80,84,57,99,99,30
Loui Eriksson,3,SWE,N,23,183,73,2,750000,54,40,86,90,63,92,82,41,75,85,73,70,59,60
Tuomo Ruutu,3,FIN,N,26,200,72,1,1850000,97,45,69,84,75,87,78,44,76,77,62,77,69,1
Mike Lundin,4,USA,N,24,188,74,2,850000,52,40,86,66,68,78,61,40,64,59,73,58,59,20
David Koci,2,CZE,N,28,238,78,1,500000,71,99,32,65,94,64,60,40,61,61,56,65,68,1
Raitis Ivanans,2,LVA,N,31,256,76,3,600000,83,99,40,66,99,65,60,40,58,61,57,67,72,35
Mark Giordano,4,CAN,N,26,203,72,2,700000,69,51,69,67,76,76,77,40,77,66,63,68,62,35
Mason Raymond,2,CAN,N,23,182,72,2,650000,57,40,78,81,62,80,65,44,66,66,64,57,55,1
Adam Burish,3,USA,N,26,200,73,4,1500000,59,76,50,69,75,69,62,53,62,63,76,62,69,35
Dustin Byfuglien,2,USA,N,24,247,75,1,650000,92,56,62,74,98,80,69,41,69,69,59,61,59,1
Zack Stortini,3,CAN,N,24,228,75,1,550000,87,99,32,67,89,67,64,41,64,64,56,64,69,30
T.J. Hensick,1,USA,N,23,185,70,2,650000,51,40,80,75,65,80,65,69,68,63,55,61,63,50
Blake Comeau,3,CAN,N,23,207,73,2,850000,84,40,77,77,78,83,70,42,72,67,62,64,58,55
Travis Moen,2,CAN,N,27,215,74,3,850000,91,74,61,74,82,82,61,41,63,62,74,66,66,30
Todd Fedoruk,2,CAN,N,30,240,74,1,600000,85,76,64,70,95,73,63,41,64,63,56,77,70,50
James Wisniewski,4,USA,N,25,207,72,1,675000,88,48,77,72,78,82,78,40,78,69,77,71,70,40
Shawn Thornton,2,CAN,N,31,217,74,1,500000,79,99,52,70,83,73,62,40,62,63,59,75,76,40
Matt D'Agostini,3,CAN,N,22,201,72,2,850000,66,40,73,74,75,64,70,41,66,68,57,59,56,40
Jordan Hendry,4,CAN,N,25,196,73,2,700000,55,40,75,60,73,68,60,40,58,59,66,59,57,35
Brent Seabrook,4,CAN,N,24,220,75,3,3150000,96,48,79,80,85,92,73,40,74,69,87,67,76,65
Tim Conboy,4,USA,N,27,210,74,1,575000,59,83,52,55,80,62,60,40,61,68,53,62,65,45
Eric Godard,3,CAN,N,29,214,76,1,525000,56,99,35,64,82,61,60,40,61,61,58,68,72,95
Alexander Ovechkin,2,RUS,N,24,220,74,3,9000000,98,41,79,96,85,95,92,41,90,99,63,76,79,30
Johan Franzen,2,SWE,N,30,220,75,4,5000000,76,41,77,82,85,83,86,74,80,88,73,67,63,30
Marc Methot,4,CAN,N,24,225,75,2,850000,90,42,67,63,87,68,70,40,72,66,74,62,60,40
Duncan Keith,4,CAN,N,26,194,73,2,2175000,56,41,85,83,72,93,84,40,84,73,91,66,65,55
Brian McGrattan,3,CAN,N,28,235,76,1,525000,54,80,30,65,92,63,60,40,58,59,49,67,67,25
Krys Barch,2,CAN,N,29,220,74,4,550000,85,99,41,66,85,66,60,41,62,61,60,70,74,30
Dan Hamhuis,4,CAN,N,27,203,73,1,1840000,83,43,78,73,76,91,71,40,74,64,82,77,88,55
Scott Walker,3,CAN,N,36,196,70,1,3500000,89,50,65,75,73,73,68,42,69,66,60,80,77,10
Marty Reasoner,1,USA,N,32,205,73,1,1150000,56,41,80,75,77,81,68,86,68,67,81,75,83,50
Brett Lebda,4,USA,N,27,195,69,3,750000,55,40,69,63,72,72,68,40,68,68,73,66,64,25
Brad Stuart,4,CAN,N,30,213,74,3,3500000,93,40,86,80,81,81,65,40,69,63,79,76,73,50
Jared Boll,3,USA,N,23,210,74,2,850000,90,99,35,68,80,70,63,40,64,62,59,57,65,15
John-Michael Liles,4,USA,N,29,185,70,2,4250000,61,42,86,79,65,84,80,40,80,73,62,73,71,25
Petr Sykora,3,CZE,N,32,190,72,1,2850000,51,40,80,83,70,81,78,43,75,77,57,92,71,25
Steven Stamkos,1,CAN,Y,19,196,73,2,875000,69,43,74,89,73,82,75,65,74,75,58,42,42,50
Jack Johnson,4,USA,N,22,225,73,2,850000,84,49,71,80,87,83,66,40,68,68,67,61,60,50
Matt Lashoff,4,USA,N,22,204,74,2,625000,56,40,75,72,77,80,69,40,68,62,58,63,64,70
Ethan Moreau,2,CAN,N,34,220,74,3,2250000,83,61,53,75,85,81,63,43,65,66,74,81,69,1
Lubomir Visnovsky,4,SVK,N,34,188,70,3,5750000,56,40,82,83,68,90,81,40,83,73,71,92,84,5
Steven Reinprecht,1,CAN,N,32,195,72,1,2250000,53,40,84,80,72,80,76,76,76,71,65,71,83,40
Scott Nichol,1,CAN,N,34,178,69,2,1300000,87,63,65,74,58,75,65,87,65,65,77,79,68,45
James Sheppard,1,CAN,N,21,210,74,1,850000,64,50,79,77,80,83,64,64,67,62,73,61,57,10
Daymond Langkow,1,CAN,N,33,183,70,3,5500000,57,40,84,87,63,85,76,72,76,75,64,81,72,45
David Backes,3,USA,N,24,216,75,2,700000,94,57,49,79,83,88,80,59,76,81,71,67,68,55
Lauri Korpikoski,1,FIN,Y,23,195,73,2,725000,79,40,80,69,72,72,64,55,65,63,61,47,47,55
Mike Knuble,3,CAN,N,36,230,75,3,3200000,72,40,74,76,90,89,75,42,73,77,75,85,76,15
Boyd Devereaux,3,CAN,N,31,195,74,4,1300000,67,40,83,76,72,82,68,44,67,68,76,77,72,10
Craig Rivet,4,CAN,N,35,210,74,3,6000000,66,59,54,70,80,79,74,40,77,65,76,83,85,5
Matt Bradley,3,CAN,N,31,201,75,1,3850000,79,82,69,70,75,75,60,42,62,61,66,73,76,65
Nathan Oystrick,4,CAN,Y,27,210,72,1,650000,85,58,70,65,80,77,66,40,68,66,64,47,47,35
Ben Walter,1,CAN,N,25,185,72,2,800000,58,40,95,73,65,75,62,46,62,62,58,61,60,50
Erik Johnson,4,USA,N,21,170,69,1,850000,50,40,84,50,50,63,50,40,50,50,56,61,68,20
Darroll Powe,1,CAN,Y,24,212,71,2,600000,90,40,72,70,81,71,60,68,62,63,62,47,47,50
Jiri Tlusty,2,CZE,Y,21,209,72,2,825000,89,40,91,79,79,75,73,45,66,63,59,64,58,55
Danny Syvret,4,CAN,N,24,203,72,4,700000,67,40,83,68,76,70,62,40,64,58,53,44,43,55
Andy McDonald,1,CAN,N,32,183,71,3,8500000,56,40,79,93,63,89,86,87,88,75,58,71,72,50
Andrew Murray,3,CAN,N,28,216,74,1,500000,92,40,81,71,83,69,63,58,63,65,69,63,61,45
Josh Gratton,2,CAN,N,27,214,74,2,550000,71,94,33,66,82,63,60,40,62,61,48,64,59,10
Ole-Kristian Tollefsen,4,NOR,N,25,211,74,1,800000,77,84,44,60,80,64,60,40,62,59,60,64,71,50
Kris Versteeg,2,CAN,Y,23,180,70,2,600000,57,43,75,87,60,83,80,62,78,75,72,61,58,55
Nathan McIver,4,CAN,N,24,195,74,2,600000,63,82,48,52,72,65,51,40,52,50,56,64,64,45
Marc Staal,4,CAN,N,22,209,76,2,850000,92,46,78,76,79,87,63,40,67,62,80,66,65,50
Jody Shelley,2,CAN,N,33,225,75,3,600000,86,99,45,66,87,63,60,41,61,61,56,73,71,35
Doug Janik,4,USA,N,29,210,74,2,863155,71,45,83,60,80,72,54,40,62,59,60,74,64,35
Bryan Young,4,CAN,N,23,191,73,1,550000,61,41,69,56,70,65,52,40,53,52,53,60,59,50
