Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Alex Pietrangelo,15,Blue Jackets,CAN,19,206,75,4,2,True,False,False,False,False,850000,,0,100,0,0,54,40,84,76,78,76,65,40,65,59,56,44,46,70,95,61,16,7,1,2,3,-1,14,11,7,8,0,0,0,1,0,0,0,0,0,237,0,64,220,25,66,91,23,18,66,73,68,16,0,7,0,4,10,0,1,0,1169,0,0,2,1,0
Dan Fritsche,16,Ducks,USA,24,204,73,1,3,False,False,False,False,False,1100000,,0,99,0,0,71,42,79,69,77,75,66,61,66,65,60,64,63,70,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,350,52,72,124,52,22,18,113,229,25,0,5,2,1233,2129,0,0,0,1565,3,1,1,0,0
Darren McCarty,17,Panthers,CAN,37,210,73,3,3,False,False,False,False,False,600000,,2,100,0,0,53,70,40,65,80,61,60,41,58,62,50,88,88,43,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,392,52,57,109,16,39,20,43,170,33,2,7,2,105,185,0,1,0,1242,3,0,4,2,0
Trevor Daley,18,Thrashers,CAN,25,207,71,4,1,False,False,False,False,False,1250000,,0,100,0,2,54,44,74,71,78,84,74,40,75,69,80,71,61,94,50,69,82,104,8,21,29,15,36,88,37,55,5,0,2,0,0,0,0,0,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Dion Phaneuf,19,Ducks,CAN,24,214,75,4,4,False,False,False,False,False,6750000,,0,100,0,2,90,60,73,85,82,97,84,40,83,73,78,70,81,51,70,78,82,127,14,56,70,24,181,86,155,81,10,0,1,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
Brooks Laich,20,Rangers,CAN,26,210,74,1,4,False,False,False,False,False,2200000,,0,100,0,2,74,43,82,80,80,87,75,74,75,74,74,67,62,35,70,71,81,143,21,36,57,-1,44,21,120,106,12,1,1,1,723,1529,1,3,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
David Moss,21,Red Wings,USA,28,200,75,2,2,False,False,False,False,False,1400000,,0,100,0,2,74,40,79,75,75,79,72,43,71,71,62,63,60,57,35,66,82,113,9,10,19,-18,74,18,86,67,0,0,1,0,26,69,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
Ryan Getzlaf,22,Ducks,CAN,23,221,76,1,3,False,False,False,False,False,5000000,,0,100,0,2,84,48,63,89,85,91,92,78,93,81,68,72,66,67,35,78,82,240,41,55,96,21,136,4,248,133,17,1,7,2,880,1710,0,2,0,1389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Paul Stastny,23,Islanders,CAN,23,205,72,1,4,False,False,False,False,False,6250000,,0,100,0,2,55,40,84,88,77,91,82,83,83,74,72,60,62,69,45,72,82,211,20,34,54,7,7,9,23,170,8,0,5,0,961,1762,0,1,0,1459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
Milan Jurcina,24,Canucks,SVK,25,233,76,4,1,False,False,False,False,False,850000,,0,100,0,1,90,40,72,66,91,78,60,40,65,61,72,74,62,47,70,68,50,18,4,6,10,-1,70,34,76,18,2,0,0,0,0,1,0,0,0,819,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,39,10
Randy Jones,25,Capitals,CAN,27,200,74,4,2,False,False,False,False,False,1500000,,0,100,0,2,55,41,80,79,75,85,60,40,62,62,79,63,64,72,80,67,82,84,8,25,33,-25,16,120,19,85,2,0,0,3,0,0,0,0,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Mika Pyorala,26,Coyotes,FIN,28,190,72,1,2,False,False,False,False,False,1050000,,1,100,0,0,61,40,79,70,61,75,65,67,63,60,60,56,58,55,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,245,34,49,83,8,26,23,54,132,17,1,6,1,547,960,0,0,0,864,3,0,10,1,0
Darren Helm,27,Oilers,CAN,22,172,71,2,2,True,False,False,False,False,630000,,0,100,0,2,88,40,85,80,59,85,67,84,67,67,77,62,63,98,78,67,81,93,8,13,21,-6,28,9,70,78,1,0,2,0,138,270,0,0,0,971,0,1,15,2,1,3,0,0,1,2,9,2,0,1,0,15,24,0,0,0,21,0,0,0,7,1
Patrick Kaleta,28,Sabres,USA,22,195,71,3,2,False,False,False,False,False,625000,,0,100,0,2,96,70,43,68,72,66,64,41,64,63,63,61,57,99,45,62,82,48,3,5,8,3,65,12,102,25,0,0,0,0,7,29,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
Alexandre Picard,29,Blues,CAN,24,210,74,2,3,False,False,False,False,False,825000,,0,100,0,2,71,57,86,66,80,76,68,40,70,68,58,64,64,42,65,64,59,50,4,5,9,-14,30,4,21,19,0,0,1,1,8,32,0,0,0,660,0,23,144,10,23,33,4,35,5,27,54,3,0,0,1,96,194,0,0,0,410,0,0,0,1,1
Brent Sopel,30,Blackhawks,CAN,32,211,73,4,1,False,False,False,False,False,3100000,,0,100,0,2,58,40,77,63,80,68,60,40,62,62,73,78,77,30,1,64,46,21,0,7,7,-18,48,70,32,23,0,0,0,0,7,12,0,0,0,798,0,12,26,2,8,10,3,8,17,12,19,1,0,0,1,0,0,0,0,0,174,0,0,0,40,4
Jack Hillen,31,Ducks,USA,24,200,71,4,2,True,False,False,False,False,850000,,0,100,0,0,59,40,81,65,75,76,60,40,65,61,57,57,57,70,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,175,18,49,67,20,20,53,63,61,11,0,4,0,0,0,0,0,0,1531,0,0,0,3,3
Keith Yandle,32,Lightning,USA,23,195,74,4,2,False,False,False,False,False,1300000,,0,100,0,2,59,42,78,80,72,76,78,40,78,69,56,57,62,70,60,66,84,110,10,27,37,-10,25,54,33,68,6,0,2,0,0,1,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Andrew Ladd,33,Canucks,CAN,24,198,74,2,1,False,False,False,False,False,1500000,,0,100,0,2,79,42,77,79,74,81,80,42,79,71,70,63,65,64,60,70,82,212,19,28,47,-9,98,18,178,109,7,0,4,1,39,130,0,2,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Eric Fehr,34,Ducks,CAN,24,212,76,3,2,False,False,False,False,False,900000,,0,99,0,0,54,40,77,70,81,75,68,40,68,68,63,65,62,70,35,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,417,51,70,121,39,10,18,31,143,22,1,10,3,260,511,1,1,0,1603,3,0,3,2,0
Mike Green,35,Rangers,CAN,23,208,74,4,4,False,False,False,False,False,5750000,,0,100,0,2,76,40,77,90,79,91,89,40,90,84,77,67,65,40,70,77,81,222,17,46,63,-19,117,84,142,97,7,0,2,2,0,0,1,3,0,1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Brian Lee,36,Blackhawks,USA,22,202,74,4,2,True,False,False,False,False,850000,,0,100,0,0,72,43,77,67,76,82,67,40,70,63,70,61,57,34,80,66,57,34,2,8,10,-6,59,52,41,36,0,0,0,0,15,32,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Fraser,37,Panthers,CAN,24,188,73,1,2,True,False,False,False,False,500000,,0,100,0,2,59,70,70,71,68,76,64,72,65,63,75,66,64,82,55,64,82,33,3,3,6,2,41,20,19,93,0,0,1,0,505,1124,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16
Dany Heatley,38,Thrashers,DEU,28,221,76,3,4,False,False,False,False,False,8500000,,0,100,0,2,71,40,72,85,85,93,86,42,81,88,64,79,94,95,85,77,82,193,30,31,61,12,22,12,32,83,11,2,5,3,59,141,3,10,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Henrik Zetterberg,39,Thrashers,SWE,29,195,71,1,4,False,False,False,False,False,7750000,,0,100,0,2,60,40,80,90,72,88,89,87,86,85,76,81,82,95,65,78,82,243,37,44,81,18,14,16,8,175,7,1,3,4,1257,2272,0,10,0,1667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Jared Ross,40,Blues,USA,27,165,69,1,2,True,False,False,False,False,750000,,1,100,0,0,53,40,75,67,45,70,60,51,64,64,58,60,57,65,60,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,317,35,41,76,17,8,26,21,203,14,2,5,0,542,1104,2,3,0,934,2,5,18,0,0
Ilya Kovalchuk,41,Maple Leafs,RUS,26,230,73,2,1,False,False,False,False,False,7800000,,0,100,0,2,57,45,81,93,90,94,92,42,89,92,56,74,86,77,45,79,79,259,34,46,80,6,81,5,39,110,15,1,5,2,74,197,3,9,0,1496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Brian Gionta,42,Stars,USA,30,175,67,3,2,False,False,False,False,False,4000000,,0,100,0,2,57,40,81,88,55,84,82,49,81,74,65,77,80,61,35,71,83,198,22,34,56,-9,33,16,73,103,11,0,2,2,43,129,4,10,1,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Dave Bolland,43,Sharks,CAN,23,181,72,1,2,False,False,False,False,False,750000,,0,100,0,2,64,40,76,84,61,83,80,73,75,72,77,66,68,99,45,70,82,113,5,16,21,-3,13,10,32,127,0,0,0,1,655,1334,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
Matt Gilroy,44,Avalanche,USA,25,205,74,4,3,False,False,False,False,False,2995000,,0,100,0,2,68,43,82,78,75,86,67,40,66,68,72,45,50,33,30,65,74,78,9,17,26,-13,90,59,73,51,5,0,2,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Samuel Pahlsson,45,Maple Leafs,SWE,31,204,72,1,3,False,False,False,False,False,2650000,,0,100,0,2,88,40,79,77,77,83,62,88,65,64,77,84,79,77,1,68,85,145,13,25,38,-1,78,12,70,177,2,0,4,0,961,1681,1,1,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Matt Cooke,46,Flames,CAN,32,205,71,2,2,False,False,False,False,False,1750000,,0,100,0,2,99,44,57,79,77,79,72,42,71,69,73,76,65,55,45,69,80,171,12,17,29,-5,128,18,185,76,3,0,2,0,48,118,1,2,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Evander Kane,47,Coyotes,CAN,18,176,73,1,3,True,False,False,False,False,900000,,0,100,0,0,69,45,74,68,75,76,63,62,64,63,60,45,45,67,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,216,23,23,46,16,26,21,55,137,1,0,3,0,486,855,0,0,0,599,2,0,0,2,2
Scott Parker,48,Canadiens,USA,31,240,77,2,1,False,False,False,False,False,500000,,0,100,0,1,59,82,34,45,95,56,48,25,50,45,51,72,71,30,35,52,45,4,1,1,2,2,46,4,33,8,0,0,0,0,19,51,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23
Brenden Morrow,49,Thrashers,CAN,30,205,71,2,2,False,False,False,False,False,3000000,,0,100,0,2,97,52,49,88,77,93,82,42,82,76,66,82,83,86,50,75,82,151,13,30,43,8,177,10,213,76,4,0,0,0,61,190,4,9,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9
David Jones,50,Avalanche,CAN,24,210,74,3,2,False,False,False,False,False,725000,LeftHandinjury,1,93,0,1,77,40,80,70,80,76,65,41,65,66,66,62,59,40,50,64,79,116,9,20,29,-8,41,13,78,52,0,0,0,0,18,72,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
Nick Boynton,51,Devils,CAN,30,225,77,4,2,False,False,False,False,False,2800000,,0,100,0,2,61,64,61,71,87,74,70,40,72,67,76,77,78,31,1,69,82,82,7,28,35,-3,109,89,72,48,5,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Jason Strudwick,52,Senators,CAN,34,225,76,2,2,False,False,False,False,False,800000,,0,100,0,2,71,71,67,62,87,70,60,40,64,61,63,77,68,65,5,62,22,3,0,0,0,-1,11,2,16,7,0,0,0,0,7,10,0,0,0,175,0,60,128,17,47,64,17,76,57,115,47,10,0,4,0,3,6,0,0,0,1005,0,0,0,22,22
Derek MacKenzie,53,Thrashers,CAN,28,180,71,1,2,False,False,False,False,False,863155,,0,100,0,0,67,40,85,75,60,75,63,49,63,62,56,70,63,30,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,302,37,54,91,6,28,39,94,281,12,1,2,0,828,1645,0,6,0,1260,1,1,5,0,0
Dan Jancevski,54,Penguins,CAN,27,212,75,4,1,False,False,False,False,False,500000,,0,100,0,0,72,44,69,56,81,68,55,40,59,50,63,71,64,63,40,60,5,1,0,2,2,2,2,4,1,2,0,0,0,0,0,0,0,0,0,74,0,69,185,19,73,92,16,66,80,150,39,14,0,6,0,2,5,0,0,0,1222,0,0,3,1,0
Benn Ferriero,55,Coyotes,USA,22,191,70,3,3,True,False,False,False,False,725000,,0,100,0,0,56,45,76,72,61,71,63,66,61,60,58,45,45,58,50,57,8,2,0,0,0,1,2,0,3,1,0,0,0,0,3,9,0,0,0,80,0,28,147,19,26,45,16,11,11,28,81,7,0,1,0,38,67,0,0,0,438,0,4,4,0,0
Tyler Bozak,56,Islanders,CAN,23,180,73,1,4,True,False,False,False,False,1850000,,0,100,0,0,60,40,80,60,69,64,57,51,60,56,56,45,45,45,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,168,19,23,42,22,8,17,20,98,1,0,2,0,224,459,0,0,0,412,0,0,0,18,5
Jesse Boulerice,57,Flyers,USA,31,215,74,2,2,False,False,False,False,False,550000,,1,100,0,0,50,69,79,63,82,62,60,40,58,59,54,71,65,45,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,177,27,17,44,8,21,12,13,102,3,0,2,2,21,34,0,0,0,380,3,0,3,1,0
Dean McAmmond,58,Thrashers,CAN,36,193,71,2,2,False,False,False,False,False,1375000,,0,100,0,2,56,40,76,72,71,73,62,67,65,63,74,83,72,84,50,65,48,19,2,1,3,-2,2,4,0,15,0,0,1,0,15,26,0,0,0,354,0,34,112,15,15,30,10,10,16,10,100,2,0,1,0,255,430,0,2,0,547,1,0,0,1,1
Colin White,59,Canadiens,CAN,32,220,76,4,3,False,False,False,False,False,4500000,,0,100,0,2,86,40,76,71,85,77,68,40,72,62,83,78,70,69,50,71,79,84,6,18,24,-8,161,98,141,68,4,0,0,0,0,1,0,0,0,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Patrice Bergeron,60,Blues,CAN,23,194,74,1,1,False,False,False,False,False,1955000,,0,100,0,2,65,40,84,84,72,85,77,92,79,71,78,66,74,71,70,72,80,207,22,41,63,-2,18,12,35,178,7,0,3,3,1145,2015,3,5,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0
Devin Setoguchi,61,Ducks,CAN,22,200,72,3,2,False,False,False,False,False,850000,,0,100,0,2,79,42,83,84,75,85,81,42,79,81,65,62,57,70,50,71,82,238,24,24,48,3,40,14,66,96,5,0,3,4,43,88,1,1,0,1238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Rob Blake,62,Maple Leafs,CAN,39,225,76,4,1,False,False,False,False,False,6000000,,0,100,0,2,67,44,63,73,87,81,86,40,85,74,82,95,99,85,20,76,82,124,16,42,58,19,122,95,100,67,8,0,2,1,0,0,1,2,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Mark Fistric,63,Ducks,CAN,22,232,74,4,2,False,False,False,False,False,650000,,1,100,0,0,82,40,80,50,91,72,53,40,55,51,72,65,59,70,70,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,123,14,33,47,21,90,76,145,31,7,0,2,0,0,0,0,0,0,1333,0,0,0,11,3
Tyler Arnason,64,Avalanche,USA,30,204,71,1,1,False,False,False,False,False,865000,,0,100,0,0,50,40,80,73,77,81,62,72,66,63,61,68,70,36,55,63,16,5,0,0,0,-2,0,2,1,1,0,0,0,0,15,43,0,0,0,60,0,39,200,32,24,56,4,10,22,8,182,13,0,4,2,732,1152,0,1,0,698,2,1,1,0,0
Nicklas Grossman,65,Maple Leafs,SWE,23,206,75,4,2,False,False,False,False,False,800000,,0,100,0,2,92,42,76,67,78,80,60,40,65,61,73,65,58,78,50,66,64,20,1,6,7,3,139,35,124,24,0,0,0,0,0,0,0,0,0,898,0,16,22,1,11,12,14,22,20,55,10,1,0,0,0,2,6,0,0,0,240,0,0,0,19,19
Brian Boyle,66,Avalanche,USA,24,252,79,1,2,True,False,False,False,False,750000,,1,97,0,0,93,52,53,70,99,75,60,67,61,64,53,60,61,54,50,63,11,6,1,1,2,-2,11,0,11,7,0,0,0,0,31,72,0,0,0,94,0,62,389,62,45,107,11,146,24,250,185,34,0,2,3,928,1482,0,1,1,1071,5,0,0,1,1
Erik Cole,67,Thrashers,USA,31,205,74,3,5,False,False,False,False,False,4150000,,0,100,0,2,92,43,71,84,77,87,72,43,72,70,71,72,71,95,50,70,82,160,20,30,50,17,104,11,128,88,3,0,1,1,22,57,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Doug Weight,68,Kings,USA,38,196,71,2,1,False,False,False,False,False,2250000,,0,99,0,2,59,51,68,85,73,83,80,72,81,71,58,94,77,51,55,72,83,173,18,41,59,1,55,9,78,145,9,0,2,2,630,1219,3,5,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0
Douglas Murray,69,Canadiens,SWE,29,240,75,4,3,False,False,False,False,False,1750000,,0,100,0,2,93,60,79,66,95,72,60,40,64,59,80,64,77,71,20,69,83,62,5,17,22,-7,190,101,223,59,2,0,0,0,1,1,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
Brendan Witt,70,Sabres,CAN,34,223,74,4,2,False,False,False,False,True,1600000,,0,100,0,2,91,53,64,75,86,81,60,40,65,59,78,81,83,99,15,71,82,62,6,16,22,21,237,84,205,50,2,0,3,0,0,0,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Mathieu Dandenault,71,Predators,CAN,33,208,72,4,2,False,False,False,False,False,1500000,,0,100,0,2,71,46,76,76,79,76,63,41,66,64,72,82,75,33,25,68,82,84,11,17,28,-13,56,74,87,57,7,0,2,1,8,22,0,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Michal Handzus,72,Ducks,SVK,32,218,76,1,1,False,False,False,False,False,4299000,,0,100,0,2,67,41,81,78,84,90,70,83,71,69,76,83,70,53,60,71,83,98,8,12,20,-10,10,19,26,152,0,0,1,0,823,1561,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
