Name,Number,Team,Country,Age,Weight,Height,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,SK,DU,ST,SZ,AG,RB,SC,HS,RT,EX,LD,MO,PO,OV,Pro GP,Pro Minutes Played,Pro W,Pro L,Pro OTL,Pro Shutouts,Pro GA,Pro SA,Pro PIM,Pro A,Pro PenalityShots Shots, Pro PenalityShots Goals,Pro Empty Net Goal,Farm GP,Farm Minutes Played,Farm W,Farm L,Farm OTL,Farm Shutouts,Farm GA,Farm SA,Farm PIM,Farm A,Farm PenalityShots Shots, Farm PenalityShots Goals,Farm Empty Net Goal
Antti Niemi,49,Blackhawks,FIN,26,204,74,3,True,False,False,False,False,750000,,0,100,0,0,86,80,77,82,84,87,87,84,85,47,47,46,41,67,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2450,34,5,1,2,106,1059,17,3,0,0,0
Jean-Sébastien Giguère,50,Flames,CAN,32,201,73,4,False,False,False,False,False,7600000,,0,99,0,2,84,77,75,80,82,86,85,89,87,80,79,30,30,70,80,4719,33,42,4,1,247,2201,15,2,39,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Carey Price,51,Wild,CAN,22,219,75,1,False,False,False,False,False,850000,,0,100,0,2,88,87,84,84,86,86,87,86,88,66,70,31,80,71,54,2835,23,19,4,4,148,1309,4,1,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristobal Huet,52,Blues,FRA,34,205,73,2,False,False,False,False,False,5500000,,1,100,0,2,85,78,77,80,83,87,87,90,87,81,75,36,1,71,60,2799,21,24,2,1,144,1346,2,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaroslav Halak,53,Canadiens,SVK,24,182,71,1,False,False,False,False,False,750000,,0,100,0,2,88,80,72,68,89,90,90,91,92,68,59,27,51,70,64,3439,26,33,0,2,194,1644,17,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Conklin,54,Blackhawks,USA,33,184,72,2,False,False,False,False,True,3350000,,0,99,0,2,88,77,64,78,82,87,88,89,87,75,73,26,72,70,32,1594,8,16,2,1,93,750,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Osgood,55,Canucks,CAN,37,178,70,2,False,False,False,False,False,1600000,,0,100,0,2,85,80,58,74,79,88,85,83,86,88,83,55,1,69,47,2448,23,18,0,1,120,1041,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Finley,56,Predators,CAN,28,205,75,2,False,False,False,False,False,500000,,2,100,0,0,62,72,68,68,65,69,73,62,68,47,47,24,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3171,28,23,6,1,208,2158,6,1,10,5,0
Vesa Toskala,57,Predators,FIN,31,195,70,4,False,False,False,False,False,4750000,,0,100,0,2,85,92,72,74,87,83,85,85,87,81,77,29,82,71,48,2363,15,23,4,1,123,1000,0,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Weekes,58,Devils,CAN,34,215,74,1,False,False,False,False,False,1150000,,0,100,0,2,78,63,82,82,78,78,78,78,78,73,70,30,10,65,30,1274,7,11,4,0,81,595,15,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Clemmensen,59,Blackhawks,USA,32,205,75,2,False,False,False,False,False,1500000,,0,100,0,0,84,74,77,84,79,84,85,82,83,69,72,21,66,68,39,1602,7,12,3,0,101,823,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Brodeur,60,Devils,CAN,37,215,74,4,False,False,False,False,True,7000000,,0,100,0,2,91,97,82,82,92,95,92,92,92,97,99,30,1,78,65,3685,23,32,5,1,187,1853,6,1,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Vokoun,61,Lightning,CZE,32,195,72,5,False,False,False,False,False,7000000,,0,100,0,2,91,88,72,78,90,90,90,99,92,80,80,37,80,75,64,3325,22,27,8,3,171,1427,2,4,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Leclaire,62,Kings,CAN,27,200,74,3,False,False,False,False,False,2000000,,0,100,0,2,81,87,75,82,80,82,82,77,82,68,71,61,69,67,16,597,5,4,0,0,35,265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Kerserich,64,Wild,USA,23,200,74,2,True,False,False,False,False,500000,,2,100,0,0,55,75,55,55,55,55,55,55,55,27,27,34,50,44,0,0,0,0,0,0,0,0,0,0,0,0,0,10,525,2,7,0,0,49,479,0,2,0,0,0
Stephen Valiquette,66,Blue Jackets,CAN,32,210,78,3,False,False,False,False,False,650000,,0,100,0,0,75,63,80,90,74,82,82,77,78,74,73,67,74,66,23,882,6,5,1,1,39,385,8,0,0,0,0,15,821,11,3,0,1,42,448,2,1,0,0,0
Josh Tordjman,67,Oilers,CAN,25,155,73,1,False,False,False,False,False,976000,,0,99,0,0,67,70,35,80,67,67,67,68,67,47,47,63,40,54,0,0,0,0,0,0,0,0,0,0,0,0,0,19,851,7,2,0,0,50,583,2,1,6,1,0
Alex Auld,68,Senators,CAN,28,223,76,1,False,False,False,False,False,1600000,,0,100,0,2,85,79,86,86,84,87,86,85,86,72,70,37,40,70,36,1044,10,6,2,1,45,390,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Elliott,69,Flames,CAN,24,202,74,1,True,False,False,False,False,800000,,0,100,0,2,81,71,76,82,80,82,82,80,81,47,47,44,45,64,9,392,4,2,0,0,20,151,2,1,2,0,0,1,49,0,1,0,0,5,28,0,0,0,0,0
Josh Harding,70,Stars,CAN,25,197,73,3,False,False,False,False,False,2500000,,0,100,0,2,79,52,73,80,79,84,84,87,83,68,69,50,60,67,21,955,8,6,2,0,53,404,15,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dany Sabourin,71,Oilers,CAN,29,200,76,1,False,False,False,False,False,700000,,0,100,0,0,63,57,75,86,63,63,63,74,63,71,70,76,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,2,0,0,10,60,0,0,0,0,0
Chris Mason,72,Thrashers,CAN,33,195,72,3,False,False,False,False,False,3000000,,1,100,0,2,89,87,72,78,89,89,89,94,89,74,74,52,1,72,51,2841,23,21,3,1,151,1392,6,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Théodore,73,Rangers,CAN,33,182,71,1,False,False,False,False,False,2000000,,0,100,0,2,86,88,62,76,84,85,85,89,87,78,84,30,50,71,78,4417,30,39,8,5,224,2009,17,3,27,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Fernandez,74,Blackhawks,CAN,35,207,72,1,False,False,False,False,False,1500000,,0,100,0,2,84,74,78,78,82,85,85,83,85,82,80,22,5,70,43,2095,9,24,5,1,132,1154,4,1,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Boucher,75,Bruins,USA,32,200,74,2,False,False,False,False,False,2225000,,0,100,0,2,82,67,75,82,81,84,85,83,85,78,71,30,25,68,40,945,4,5,4,0,44,447,2,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey MacDonald,76,Oilers,CAN,29,197,72,2,False,False,False,False,False,1250000,,0,100,0,2,83,86,73,78,82,84,84,84,84,68,63,51,15,67,35,1821,12,13,4,1,106,773,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Ward,78,Penguins,CAN,25,200,73,4,False,False,False,False,False,6000000,,0,100,0,2,90,94,75,80,91,91,91,94,92,68,83,89,60,74,79,4733,53,23,3,2,219,2089,4,0,21,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Sauer,79,Blues,USA,21,180,74,1,False,False,False,False,False,500000,,0,100,0,0,47,66,55,55,51,65,70,49,61,27,27,54,99,46,0,0,0,0,0,0,0,0,0,0,0,0,0,21,823,5,5,0,0,54,471,2,2,0,0,0
Rick Dipietro,80,Bruins,USA,27,210,73,2,False,False,False,False,False,5000000,,0,100,0,2,89,91,80,80,85,84,88,79,86,74,76,1,75,71,77,3916,23,35,8,1,243,1840,23,3,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Antero Niittymaki,81,Blues,FIN,29,195,73,3,False,False,False,False,False,2200000,,0,100,0,2,83,73,72,80,83,83,83,87,83,76,71,21,25,68,48,2234,19,15,3,3,117,1022,2,2,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilja Bryzgalov,82,Oilers,RUS,29,199,75,3,False,False,False,False,False,4000000,,0,99,0,2,92,91,75,84,91,93,93,94,93,73,73,86,40,74,81,4911,47,28,6,7,214,2113,27,2,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Climie,83,Sabres,CAN,27,185,75,2,True,False,False,False,False,875000,,0,97,0,0,60,50,65,84,60,60,60,57,60,47,47,70,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4794,68,9,2,1,230,2296,4,6,8,4,0
Evgeni Nabokov,84,Flyers,KAZ,34,200,72,3,False,False,False,False,False,6150000,,0,100,0,2,93,94,75,78,92,94,92,93,92,95,79,86,1,76,75,4492,47,19,9,5,179,1878,2,3,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen York,85,Thrashers,CAN,20,185,76,2,True,False,False,False,False,863155,,1,100,0,0,70,65,70,80,70,70,70,70,70,27,27,46,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,15,864,8,7,0,1,57,654,2,0,3,0,0
Jimmy Howard,86,Lightning,USA,25,205,72,2,True,False,True,False,False,800000,,0,100,0,2,87,80,80,77,87,89,88,90,89,88,80,36,41,73,42,2194,19,14,3,1,106,1015,15,2,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Garnett,87,Lightning,CAN,27,205,73,3,False,False,False,False,False,550000,,1,99,0,0,47,66,65,65,56,66,70,49,62,48,48,46,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4482,60,10,2,5,261,2340,8,8,7,2,0
Curtis Joseph,88,Maple Leafs,CAN,42,193,71,1,False,False,False,False,False,550000,,0,100,0,0,63,63,71,76,63,63,63,67,63,94,81,28,1,58,9,301,3,5,0,0,23,135,2,0,3,1,0,7,381,3,4,0,0,24,271,0,0,0,0,0
Pekka Rinne,89,Coyotes,FIN,26,206,77,2,False,False,False,False,False,500000,,0,100,0,2,88,83,78,88,88,88,88,89,91,65,69,41,64,72,29,708,2,6,1,0,35,334,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Berkhoel,90, ,USA,28,185,71,1,False,False,False,False,False,600000,,0,100,0,0,61,63,65,76,61,61,61,61,61,68,71,50,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc-André Fleury,92,Maple Leafs,CAN,25,180,74,2,False,False,False,False,False,3850000,,0,100,0,2,91,96,60,82,90,91,91,94,92,71,69,44,75,73,79,4294,34,32,5,7,202,1806,15,3,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrik Lundqvist,93,Blue Jackets,SWE,27,195,73,3,False,False,False,False,False,7800000,,0,100,0,2,93,96,72,80,92,95,94,95,93,79,76,41,30,75,71,3929,38,26,4,3,184,1735,2,2,29,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Denis,94,Penguins,CAN,32,190,75,1,False,False,False,False,False,750000,,4,100,0,0,68,67,70,84,68,68,68,73,68,78,73,40,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3992,43,21,1,2,232,2562,4,10,7,1,0
Jonas Hiller,95,Islanders,CHE,27,193,74,1,False,False,False,False,False,500000,,0,99,0,2,87,79,71,82,85,88,86,85,88,66,63,34,25,69,51,2417,20,18,2,0,116,1107,2,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason LaBarbera,97,Capitals,CAN,29,225,75,2,False,False,False,False,False,1000000,,0,100,0,2,74,69,87,84,74,74,74,79,74,72,78,72,30,64,18,507,2,2,1,0,23,238,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Courchaine,98, ,CAN,20,185,75,1,False,False,False,False,False,600000,,0,100,0,0,53,50,65,84,53,53,53,56,53,56,61,50,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marty Turco,99,Capitals,CAN,34,185,71,1,False,False,False,False,True,6250000,,0,100,0,2,91,95,65,76,89,89,88,89,89,76,86,30,1,72,81,4466,38,33,6,4,239,2152,23,6,28,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Dennis,100, ,CAN,24,190,72,1,False,False,False,False,False,600000,,0,100,0,0,54,57,70,78,54,54,54,57,54,62,66,50,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Munro,101, ,CAN,27,199,73,1,False,False,False,False,False,600000,,0,100,0,0,62,62,74,80,62,62,62,60,62,70,68,50,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Montoya,102,Islanders,USA,24,193,73,3,True,False,False,False,False,700000,,1,100,0,0,69,66,71,80,69,69,69,60,69,64,68,45,70,59,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2305,31,7,1,0,126,1275,19,7,8,3,0
Barry Brust,103, ,CAN,26,216,74,1,True,False,False,False,False,600000,,0,100,0,0,60,62,83,82,60,60,60,61,60,70,63,50,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Goepfert,104, ,USA,26,170,70,1,True,False,False,False,False,600000,,0,100,0,0,54,51,50,74,54,54,54,57,54,65,66,50,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Krahn,105, ,CAN,27,220,77,1,False,False,False,False,False,600000,,0,100,0,0,61,57,85,88,61,61,61,55,61,68,69,50,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrick Desjardins,106, ,CAN,24,183,72,1,False,False,False,False,False,600000,,0,100,0,0,63,65,63,78,63,63,63,65,63,70,61,50,40,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Beckford-Tseu,107, ,CAN,25,201,74,1,False,False,False,False,False,600000,,0,100,0,0,53,60,75,82,53,53,53,55,53,67,64,50,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Holt,108, ,CAN,24,221,75,1,False,False,False,False,False,600000,,0,100,0,0,69,60,85,84,69,69,69,64,69,64,64,50,45,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Kowalski,109, ,USA,28,190,68,1,False,False,False,False,False,600000,,0,100,0,0,55,56,70,70,55,55,55,59,55,67,72,50,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
