Team Number,Prospect Name,Year,Overall Pick
27,Noah Rod,2014,60
14,Ryan Kujawinski,2013,66
5,Lukas Dostal,2018,80
23,Philippe Desrosiers,2013,68
16,Tyler Soy,2016,127
19,Kirill Ustimenko,2017,113
11,Ben Mirageas,2017,114
22,Linus Arnesson,2013,72
16,Chase Priskie,2016,128
27,Nick Ebert,2012,84
3,Todd Burgess,2016,129
8,Oskar Back,2018,81
6,Matej Pekar,2018,82
22,Nolan Stevens,2016,130
3,Semyon Der-Arguchintsev,2018,83
31,Kyle Olson,2017,115
6,Michael Anderson,2017,116
11,Graham McPhee,2016,131
9,Justin Kirkland,2014,61
6,Sasha Chmelevski,2017,117
11,Nicolas Mattinen,2016,132
19,Yan Pavel Laplante,2013,74
1,Linus Hogberg,2016,133
7,Linus Karlsson,2018,84
1,Noah Cates,2017,118
5,Jacob Cederholm,2016,134
6,Jack Badini,2017,119
13,Ilya Sorokin,2014,63
9,Lars Volden,2011,129
23,Peter Diliberatore,2018,191
4,Justus Annunen,2018,85
22,Denis Smirnov,2017,120
30,Jacob Larsson,2015,32
15,Mathias From,2016,135
10,Magnus Nygren,2011,133
6,Jeremy Roy,2015,33
3,Ryan Collins,2014,64
15,Slava Demin,2018,86
19,Brian Ferlin,2011,135
15,Jonathan Gruden,2018,87
3,Joel Hofer,2018,88
12,Rhett Gardner,2016,136
8,Blake Pietila,2011,138
24,Thomas Novak,2015,34
13,Garrett Meurs,2011,139
5,Oskari Laaksonen,2017,121
6,Danila Zhuravlyov,2018,122
24,Cole Fonstad,2018,89
23,Yaroslav Kosov,2011,143
14,John Persson,2011,144
12,Jakob Ragnarsson,2018,90
26,Timothy Gettinger,2016,137
6,Ty Emberson,2018,91
23,Nico Gross,2018,92
2,Jansen Harkins,2015,36
10,Alex Lepkowski,2011,149
6,Sebastian Repo,2017,122
28,Keaton Middleton,2016,138
15,Dmitry Zavgorodniy,2018,93
6,Kirill Maksimov,2017,123
2,Roman Durny,2018,94
25,Dominik Uher,2011,152
6,Pavel Koltygin,2017,124
10,Anton Zlobin,2012,91
14,Adam Gilmour,2012,92
14,Carter Verhaeghe,2013,76
13,Alexander Delnov,2012,93
1,Johnathan MacLeod,2014,67
9,Mason Geertsen,2013,77
14,Kenny Ryan,2009,58
8,Maxim Letunov,2014,68
20,Tanner Laczynski,2016,139
29,Clayton Phillips,2017,125
21,Keegan Iverson,2014,69
18,Lucas Carlsson,2016,140
31,Drake Batherson,2017,126
27,James Melindy,2012,96
2,Alex Lintuniemi,2014,71
8,Connor Chatham,2014,72
4,Michael Eyssimont,2016,141
5,Evan Cormier,2016,142
29,Igor Bobkov,2009,63
27,Austin Poganski,2014,73
19,Ludvig Rensfeldt,2010,42
6,Cayden Primeau,2017,127
8,Alfons Malmstrom,2016,143
28,Liam Gorman,2018,192
14,Ryan Mantha,2014,115
8,Daniel Altshuller,2012,102
19,Rinat Valiev,2014,74
13,Hardy Haman-Aktell,2016,144
18,Mark Friedman,2014,75
6,D'Artagnan Joly,2017,128
31,Riley Stotts,2018,95
10,Olivier Roy,2009,65
18,Christopher Paquette,2016,145
29,Gabriel Carlsson,2015,38
24,Malte Setkov,2017,129
15,Brycen Martin,2014,76
5,Alex Dostie,2016,146
22,Olle Eriksson-Ek,2017,130
11,Dylan Ferguson,2017,131
29,Tanner Kaspick,2016,147
28,Jeremy Bracco,2015,39
28,Dylan Wells,2016,148
22,Milos Roman,2018,96
17,Brandon Hagel,2016,149
27,David Bernhardt,2016,150
28,Jack Rathbone,2017,132
8,Damien Riat,2016,173
12,Elvis Merzlikins,2014,78
30,Ville Husso,2014,79
23,Kaapo Kahkonen,2014,80
2,Veini Vehvilainen,2018,97
30,Nikita Gusev,2012,109
18,Ben Thomson,2012,110
26,Austin Wong,2018,193
3,Manuel Wiederer,2016,151
11,Travis Barron,2016,152
15,Gustav Possler,2013,111
16,Felix Sandstrom,2015,40
19,Jacob Bryson,2017,133
2,Jeremy Helvig,2016,153
30,Aidan Dudas,2018,98
22,Dylan Sadowy,2014,81
6,Riley Sutter,2018,99
2,Juho Lammikko,2014,82
5,Eetu Makiniemi,2017,134
24,Cole Fraser,2017,135
5,Jordan Subban,2013,78
27,Petr Kvaca,2017,136
6,Xavier Bernard,2018,100
4,Tim Soderlund,2017,137
26,Joey LaLeggia,2012,120
5,Jordan Harris,2018,101
28,Jeremy Swayman,2017,138
31,David Noel,2017,139
11,Ty Ronning,2016,154
11,Jake Paterson,2012,122
31,Logan Hutsko,2018,102
20,Mattias Elfstrom,2016,155
22,Nathan Clurman,2016,156
23,Maksim Sushko,2017,140
28,Jonathan Walker,2016,157
15,Curtis Hall,2018,103
26,Bryce Misley,2017,141
21,Nick Moutrey,2013,80
19,Austin Wuthrich,2012,128
8,Samuel Montembeault,2015,41
7,Fredrik Olofsson,2014,117
15,Jake Ryczek,2016,158
15,Jake Walman,2014,83
14,Nikolai Chebykin,2016,159
3,Axel Jonsson-Fjallby,2016,160
3,Markus Nurmi,2016,161
27,Marcus Karlberg,2018,104
11,Luke Henman,2018,105
9,Artur Gavrus,2012,133
25,Jesper Eliasson,2018,106
15,Thomas di Pauli,2012,136
21,Vojtech Budik,2016,162
25,Peter Thome,2016,163
21,Niklas Hansson,2013,82
1,Mitchell Stephens,2015,42
20,Joshua Brown,2013,167
23,Eamon McAdam,2013,83
27,Francois Brassard,2012,139
23,Joey Keane,2018,107
22,Tyler Wall,2016,164
21,Michael Bunting,2014,86
11,Marcus Hogberg,2013,84
1,Martin Pospisil,2018,108
28,Oleg Sosunov,2016,165
27,Axel Holmström,2014,87
9,Rourke Chartier,2014,118
23,Roope Laavainen,2017,142
14,Alexis Pepin,2014,88
12,Oskar Steen,2016,166
27,William Lagesson,2014,90
14,Gabriel Beaupre,2011,158
29,Nick Pastujov,2016,174
12,Marian Studenic,2017,143
15,Hudson Fasching,2013,86
2,Joona Koppanen,2016,167
29,Nathan Smith,2018,109
19,Evan Cowley,2013,112
9,Michael Prapavessis,2014,119
8,Brendan Woods,2012,145
15,Kyle Wood,2014,91
21,Miles Gendron,2014,92
21,Blake Siebenaler,2014,93
4,Ryan Fitzgerald,2013,87
18,Leon Gawanke,2017,144
8,Liam Hawel,2017,145
28,Jeremy Davies,2016,168
28,Stepan Falkovsky,2016,169
6,Filip Kral,2018,110
16,Alex Schoenborn,2014,94
3,Cameron Clarke,2016,175
26,Andrei Svetlakov,2017,146
28,Konstantin Volkov,2016,176
2,Toni Utunen,2018,111
10,Matt Mahalak,2011,160
8,Daniel Pribyl,2011,161
2,Petrus Palmu,2017,147
8,Dmitri Semykin,2018,112
3,Adam Werner,2016,177
20,Sondre Olden,2010,59
15,Riley Barber,2012,152
27,Jan Drozg,2017,148
23,Jacob Peterson,2017,149
1,Vasily Glotov,2016,178
1,Cole Cassels,2013,89
12,Linus Olund,2017,150
3,Connor Dewar,2018,113
9,Brian Cooper,2012,155
30,Blade Jenkins,2018,114
7,Brett McKenzie,2016,179
10,Mac Bennett,2009,84
2,Matheson Iacopelli,2014,97
8,Ben Thomas,2014,98
11,Jacob Paquette,2017,151
27,Rodrigo Abols,2016,180
28,Curtis Douglas,2018,115
15,Casey Staum,2016,181
18,Ryan O'Reilly,2018,116
22,Joseph Masonius,2016,182
23,Jonathan Dugan,2017,152
8,Kurtis Gabriel,2013,90
10,Jase Weslosky,0,0
21,Dysin Mayo,2014,99
4,Logan Cockerill,2017,153
18,Tomas Vomacka,2017,154
17,Jason Kasdorf,2011,166
4,Jocktan Chainey,2017,155
10,Brent Pedersen,2013,113
31,Demetrios Koumontzis,2018,117
31,Matthew Thiessen,2018,194
30,Riley Damiani,2018,118
29,Michael Karow,2017,156
31,Tobias Geisser,2017,157
13,Christopher Clapperton,2013,115
5,Tyrell Goulbourne,2013,116
11,Collin Adams,2016,183
15,Beau Starrett,2014,100
5,Jake Pivonka,2018,119
28,Brandon Crawley,2017,158
8,Matej Stransky,2011,168
22,Olle Lycksell,2017,159
6,Giovanni Vallati,2018,123
26,Patrik Westerholm,2011,170
2,Beck Malenstyn,2016,185
27,Richard Nejezchleb,2014,120
19,Vladislav Kara,2017,160
5,Ryan Jones,2016,186
8,Andrew O'Brien,2012,165
21,Gilles Senn,2017,161
21,Reece Scarlett,2011,173
27,Jakob Stenqvist,2016,187
11,Reece Willcox,2012,166
14,Tyler Bird,2014,121
22,Linus Weissbach,2017,162
27,Matt Tomkins,2012,168
20,Garret Ross,2012,169
9,Henrik Tommernes,2011,174
29,Max Gortz,2012,170
4,Samuel Fejes,2012,171
14,Fedor Gordeev,2017,163
31,Arnaud Durandeau,2017,164
31,Justin Almeida,2018,124
6,Jack Adams,2017,165
26,Luc Snuggerud,2014,122
5,Shane Eiserman,2014,123
21,Alexander Kadeikin,2014,124
21,Grant Besse,2013,118
29,C.J. Suess,2014,155
20,Joachim Blichfeld,2016,188
1,Anthony Salinitri,2016,189
24,Aarne Talvitte,2017,166
14,Jordan Hollett,2017,167
25,Niclas Almari,2016,190
23,Filip Larsson,2016,191
29,Michael Pezzetta,2016,192
3,Gabriel Fontaine,2016,193
29,John McCarron,2012,180
27,Ryan Tesink,2011,177
19,Mac Hollowell,2018,125
6,Tyler Weiss,2018,126
12,Paul Cotter,2018,127
19,Colin Smith,2012,181
25,Petteri Lindbohm,2012,183
15,Mikael Wikstrand,2012,184
22,Zach Fischer,2017,168
24,Skyler Brind'Amour,2017,169
3,Brandon Saigeon,2018,128
30,Mattias Lindstrom,2009,91
9,Aaron Irving,2014,127
5,Patrick Kudla,2016,194
29,Santeri Saari,2013,169
15,Jachym Kondelik,2018,129
14,Arvid Holm,2017,170
22,Alexis Gravel,2018,130
3,Calvin Thurkauf,2016,195
8,Dominik Lakatos,2017,171
29,Pavel Kraskovsky,2014,128
14,Noah Carroll,2016,196
22,Nick Swaney,2017,172
14,Ryan O'Connell,2017,173
18,Filip Sveningsson,2017,174
10,Gleason Fournier,2009,92
12,John St. Ivany,2018,131
10,Mark Shoemaker,2016,197
31,Lenni Killinen,2018,132
2,Clark Bishop,2014,130
13,Miguel Fidler,2014,156
24,Calle Sjalin,2017,175
21,Henri Ikonen,2013,120
14,Peter Ceresnak,2011,184
8,Merrick Madsen,2013,174
20,Francis Perron,2014,131
25,Saku Maenalanen,2013,123
28,Akira Schmid,2018,133
17,Dennis Robertson,2011,185
23,Dean Stewart,2016,198
1,Angus Crookshank,2018,134
8,Julien Pelletier,2014,132
18,Ryan Lohin,2016,200
22,Jermaine Loewen,2018,195
13,David Pope,2013,121
5,Christoffer Ehn,2014,133
5,Devon Toews,2014,134
3,Nikolaj Krag Christensen,2016,201
11,Jake Bischoff,2012,196
27,Mikael Hakkarainen,2018,135
3,Dmitriy Zaitsev,2016,202
22,Spencer Stastney,2018,136
8,Brett Davis,2017,176
3,Jacob Golden,2017,177
10,Teemu Eronen,2011,193
8,Vincent Desharnais,2016,203
31,Cole Guttman,2017,178
5,Colin Blackwell,2011,195
17,Zac Larraza,2011,196
22,Lauri Pajuniemi,2018,137
27,Jakub Galvas,2017,179
13,Filip Helt,2016,204
18,Linus Lindstrand Kronholm,2018,138
6,Nikolai Kovalenko,2018,139
26,Arvid Henrikson,2016,205
2,Adam Smith,2016,206
26,Edgars Kulda,2014,136
29,Sam Lafferty,2014,137
6,Yegor Sharangovich,2018,140
14,Fabrice Herzog,2013,122
24,Colton Hargrove,2012,202
29,Clifford Watson,2012,203
15,Jordan Fransoo,2011,199
12,Samuel Ersson,2018,141
19,Jackson Perbix,2018,142
12,Maxwell Willman,2014,139
28,Sebastian Walfridsson,2017,180
10,Jamie Phillips,2012,205
2,Joonas Lyytinen,2014,140
3,Erik Walli-Walterholm,2017,181
26,Austin Osmanski,2016,207
3,Victor Berglund,2017,182
28,Jiri Patera,2017,183
21,Benjamin Finkelstein,2016,208
17,Brayden Chizen,2016,209
8,Reid Duke,2014,142
4,Jacob Friend,2016,210
29,Jacob McGrew,2017,184
12,David Hrenak,2018,143
24,Morgan Barron,2017,185
28,Nick Campoli,2017,186
14,Antoine Bibeau,2013,126
28,Brendan De Jong,2017,187
29,Cole Ully,2013,127
31,Cole Hults,2017,188
2,Patrik Virta,2017,189
27,Matthew Berkovitz,2014,144
30,Nicolas Meloche,2015,49
7,Andrei Popov,0,0
30,Reilly Webb,2017,190
15,Kyle Platzer,2013,131
17,Zachary Pochiro,2013,132
20,Vladislav Yeryomenko,2018,144
5,Benton Maass,2017,191
30,Calvin Petersen,2013,134
15,Teemu Kivihalme,2013,135
21,Jeremy Gregoire,2013,136
15,Gage Ausmus,2013,137
1,Mattias Emilio Pettersen,2018,145
19,Nikolas Koberstein,2014,145
7,Skyler McKenzie,2017,192
14,Marc McNulty,2013,138
11,Robin Kovacs,2015,51
19,Tyler Ganly,2013,139
14,Nolan Vesey,2014,146
11,Kristoffer Gunnarsson,2017,193
15,Aaron Haydon,2014,147
15,Shane Gersich,2014,148
27,Michael Brodzinski,2013,141
25,Mathias Laferriere,2018,146
22,Carson Meyer,2017,194
22,Kristian Roykas-Marthinsen,2017,195
28,Jonathan Davidsson,2017,196
24,Brady Gilmour,2017,197
15,Xavier Bouchard,2018,147
19,Rushan Rafikov,2013,145
14,Jack Gorniak,2018,148
15,Quentin Shore,2013,146
31,Nicklaus Perbix,2017,198
31,Philip Kemp,2017,199
3,Robbie Stucker,2017,200
3,Ryan McGregor,2017,201
3,Ivan Nalimov,2014,150
25,Daniel Bukac,2017,202
5,Damian Giroux,2018,149
5,Alex Green,2018,150
19,Jordan Greenway,2015,52
27,Maxim Kitsyn,2010,81
28,Cedric Pare,2017,203
6,Connor Corcoran,2018,151
14,Pierre Engvall,2014,151
25,Dillon Donnelly,2011,207
6,Dennis Busby,2018,152
23,Trenton Bourque,2017,204
6,Wyatte Wylie,2018,153
2,Ville Rasanen,2017,205
17,Aaron Harstad,2011,209
23,Ivan Prosvetov,2018,154
20,Robin Norell,2013,152
3,Antti Palojarvi,2017,206
28,Nick Leivermann,2017,207
9,Dane Birks,2013,155
20,Louis-Marc Aubry,2010,84
27,Patrick McNally,2010,85
17,Anton Andersson,2017,208
4,Sean Malone,2013,156
2,Ryan Gropp,2015,53
9,Kelly Summers,2014,153
21,Jakov Novak,2018,196
27,Yegor Zaitsev,2017,209
17,Terrance Amorosa,2013,159
24,Gabriel Gagne,2015,54
5,Liam Coughlin,2014,159
31,Brandon Kruse,2018,155
27,Josh Ess,2017,210
28,Matt Brassard,2017,211
28,Samuel Walker,2017,212
7,Wyatt Kalynuk,2017,213
6,Ben Jones,2017,214
29,Declan Chisholm,2018,156
9,Wiley Sherman,2013,179
10,Danny Biega,2010,86
24,Pontus Holmberg,2018,157
12,Johan Sodergran,2018,158
