Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Rob Cookson,111,,CAN,56,71,56,54,38,45,46,52,1,500000
Kory Cooper,112,,CAN,38,60,31,35,57,47,35,44,1,500000
Greg Cronin,113,,USA,54,68,46,60,64,45,46,55,1,500000
Jack Capuano,114,,USA,47,86,56,75,80,79,60,73,1,2000000
J.J. Daigneault,116,,CAN,51,54,63,51,53,45,46,52,1,500000
Jim Playfair,117,Gulls,CAN,50,70,44,45,50,48,60,53,1,700000
Rick Tocchet,119,Stars,CAN,51,66,56,74,59,45,42,57,2,1000000
Clark Donatelli,121,,USA,51,51,79,73,55,50,49,60,1,500000
Ray Edwards,122,Unknown,CAN,44,73,63,69,62,70,68,85,0,650000
Paul MacLean,124,Reign,FRA,55,73,72,55,43,53,60,59,2,750000
Steve Spott,127,,CAN,47,45,70,54,72,45,46,55,0,300000
Patrick Roy,128,Oilers,CAN,51,82,82,86,86,73,73,72,1,1000000
Jeff Blashill,129,Avalanche,USA,40,66,61,61,83,69,54,66,1,800000
Eric Dubois,130,,CAN,47,51,35,41,39,56,43,44,1,500000
Dave Farrish,131,,CAN,60,55,41,41,54,45,46,47,1,500000
Scott Ford,132,,CAN,37,60,45,55,32,47,35,46,1,500000
Benoit Grouix,133,,CAN,49,78,47,69,35,49,43,53,1,500000
Jeff Halpern,134,,USA,41,66,40,59,30,47,35,46,1,500000
Ian Herbers,135,,USA,49,68,66,66,66,45,46,60,1,500000
J.F. Houle,136,,CAN,42,31,63,44,67,47,35,48,1,500000
Kerry Huffman,137,,CAN,49,40,44,67,54,47,35,48,1,500000
Doug Janik,138,,USA,37,62,53,41,35,47,35,46,1,500000
Sheldon Keefe,139,Comets,CAN,36,55,59,71,49,50,67,58,3,700000
Kurt Kleinendorst,140,,USA,56,71,37,41,67,59,43,53,1,500000
Mike  Knuble,141,,CAN,44,32,60,64,63,47,35,50,1,500000
Jamie Kompon,142,,CAN,50,64,40,40,40,45,46,46,1,500000
Derek Lalonde,143,,USA,44,45,67,37,76,49,41,52,1,500000
Mark Lamb,144,,CAN,52,68,46,40,44,49,37,47,1,500000
Dan Lambert,145,,CAN,47,51,44,55,73,49,37,51,1,500000
Ian  Laperriere,146,,CAN,43,68,53,53,53,45,46,53,1,500000
Brad  Larsen,147,,CAN,40,50,73,68,64,45,46,58,1,500000
Brad  Lauer,148,,CAN,50,61,57,59,44,45,46,52,1,500000
Jay Leach,149,,USA,37,42,63,57,60,47,55,54,1,500000
Doug  Lidster,150,,CAN,56,44,47,43,71,45,46,49,1,500000
A.J.  MacLean,151,Wild,CAN,33,47,50,60,42,47,35,47,1,500000
Steve McCarthy,152,,CAN,36,43,55,38,48,47,35,44,1,500000
Kenny McCudden,153,,USA,55,50,73,68,64,45,46,58,1,500000
Rob Nardella,154,,ITA,49,37,54,64,55,47,35,49,1,500000
Jay Pandolfo,155,,USA,42,56,62,57,59,45,46,54,1,500000
Domenic Pittis,156,,CAN,42,65,58,48,31,47,35,47,1,500000
Rich Preston,157,,CAN,65,73,72,55,43,45,46,56,1,500000
Bruce  Ramsay,158,,CAN,48,32,60,64,63,47,35,50,1,500000
Martin  Raymond,159,,CAN,50,53,53,53,53,45,46,51,1,500000
Pascal Rheaume,160,,CAN,44,38,57,31,65,47,35,46,1,500000
Michael Ryan,161,,USA,37,62,53,41,35,47,35,46,1,500000
Ulf  Samuelson,162,,SWE,53,40,58,57,77,49,44,54,1,500000
John  Slaney,163,Falcons,CAN,45,70,44,45,50,45,46,50,2,600000
D.J. Smith,164,,CAN,40,65,50,70,56,45,46,55,1,500000
Steve Thomas,165,,CAN,53,53,58,58,55,45,46,53,1,500000
Daniel Tkaczuk,166,,CAN,38,37,54,64,55,47,35,49,1,500000
Geoff Ward,167,,CAN,55,53,47,44,52,45,46,48,1,500000
Tom Ward,168,,USA,53,63,53,48,66,45,46,54,1,500000
Chuck Weber,169,,USA,44,43,37,47,62,47,35,45,1,500000
Todd Woodcroft,170,,CAN,44,64,40,40,40,45,46,46,1,500000
Bob Woods,171,,CAN,49,63,53,48,66,45,46,54,1,500000
Scott Allen,172,,USA,47,47,46,43,41,45,46,45,1,500000
Tim  Army,173,,USA,51,55,41,41,54,45,46,47,1,500000
Eric Boguniecki,174,,USA,38,55,47,52,40,47,35,46,1,500000
Bob Corkum,175,,USA,47,68,46,60,64,45,46,55,1,500000
David Cunniff,176,,USA,43,38,57,31,65,47,35,46,1,500000
Kevin Dean,177,,USA,44,49,74,67,71,49,48,60,1,500000
Stan Drulia,178,,USA,45,60,45,55,32,47,35,46,1,500000
Pat Ferschweiler,179,,USA,45,50,46,46,62,45,46,49,1,500000
Darby Hendrickson,180,,USA,41,43,68,73,68,45,46,57,1,500000
Phil Housley,181,Hurricanes,USA,50,52,59,63,55,45,46,53,3,3000000
Jim Johnson,182,,USA,51,68,66,66,66,45,46,60,1,500000
Joe Mullen,183,,USA,58,68,53,53,53,45,46,53,1,500000
Ryan Murphy,184,,USA,32,51,48,65,43,47,35,48,1,500000
Toby Petersen,185,,USA,46,43,55,38,48,47,35,44,1,500000
Todd Reirden,186,Monsters,USA,44,59,74,72,50,45,46,58,2,800000
Joe  Sacco,187,,USA,45,56,62,57,59,45,46,54,1,500000
Ben Simon,188,,USA,37,32,60,64,63,47,35,50,1,500000
Doug Weight,189,Canucks,USA,42,91,61,80,85,64,66,75,2,1750000
Steve Smith,190,,UK,49,48,55,53,74,45,46,54,1,500000
Mark Hardy,191,,SWI,56,58,39,34,37,47,35,42,1,500000
Sergei Brylin,192,,RUS,40,66,53,45,37,47,35,47,1,500000
Nolan Baumgartner,193,,CAN,37,31,42,38,58,35,35,40,1,500000
Ray Bennett,194,,CAN,51,53,58,58,55,45,46,53,1,500000
Jeff Beukeboom,195,,CAN,48,57,62,71,70,45,46,59,1,500000
Tony Borgford,196,,CAN,40,31,63,44,67,47,35,48,1,500000
Rick Bowness,197,,CAN,59,61,57,59,44,59,39,53,1,500000
Rob Brind'Amour,198,Knights,CAN,43,48,55,53,74,45,46,54,2,600000
Newell Brown,199,,CAN,51,70,44,45,50,45,46,50,0,1500000
Riley Cote,200,,CAN,31,40,44,67,54,47,35,48,1,500000
Trent Cull,201,,CAN,40,66,40,59,30,47,35,46,1,500000
Donald Dufresne,202,,CAN,46,48,42,50,34,47,35,43,1,500000
Blaine Forsythe,203,,CAN,60,59,74,72,50,45,46,58,1,500000
Gerald Gallant,204,Stars,CAN,50,62,61,57,54,73,54,60,3,1750000
Martin  Gelinas,205,,CAN,44,46,59,56,41,45,46,49,1,500000
Todd Gill,206,,CAN,49,65,58,48,31,47,35,47,1,500000
Chris Hajt,207,,CAN,36,63,60,43,52,47,35,50,1,500000
Jim Hiller,208,,CAN,46,65,50,70,56,45,46,55,1,500000
Doug Houda,209,,CAN,47,50,46,46,62,45,46,49,3,500000
Charlie Huddy,210,,CAN,54,64,40,40,40,45,46,46,1,500000
Doug Jarvis,211,,CAN,58,44,47,43,71,45,46,49,2,700000
Paul Jerrard,212,,CAN,70,46,59,56,41,45,46,49,1,500000
Clement Jodoin,213,,CAN,61,54,63,51,53,45,46,52,1,500000
Mike Kelly,214,,CAN,55,47,46,43,41,45,46,45,1,500000
Derek King,215,,CAN,46,58,34,30,53,47,35,43,1,500000
Jason King,216,,CAN,32,31,42,38,58,47,35,42,1,500000
Geordie Kinnear,217,,CAN,40,73,62,48,41,49,37,52,1,500000
Mike  Kitchen,218,,CAN,58,41,63,65,73,49,37,55,1,500000
Daniel Lacroix,219,,CAN,46,54,63,51,53,45,46,52,1,500000
Randy Ladouceur,220,,CAN,53,38,37,32,49,47,35,40,1,500000
John Madden,221,,CAN,41,51,65,45,56,49,44,52,1,500000
Kevin McCarthy,222,,CAN,57,52,59,63,55,45,46,53,1,500000
Mark Morrison,223,,CAN,50,51,35,41,39,47,35,41,1,500000
Ryan Mougenel,224,,CAN,38,53,65,59,45,47,35,51,1,500000
Gord Murphy,225,,CAN,48,68,53,53,53,45,46,53,1,500000
Alain Nasreddine,226,Admirals,CAN,37,53,47,44,52,45,46,48,1,500000
James Patrick,227,,CAN,50,47,43,56,57,45,46,49,1,500000
Perry Pearn,228,,CAN,64,44,47,43,71,45,46,49,1,500000
Nolan Pratt,229,,CAN,38,55,41,41,54,45,46,47,1,500000
Brad  Shaw,230,,CAN,50,50,73,68,64,46,51,59,1,500000
Scott Stevens,231,Bruins,CAN,49,43,68,73,68,45,46,57,3,500000
Steve Stirling,232,,CAN,64,60,31,35,57,54,40,46,1,500000
Darryl Sydor,233,,CAN,40,37,54,64,55,47,35,49,1,500000
Brad Tapper,234,Crunch,CAN,37,43,37,47,62,47,35,45,1,500000
Chris Taylor,235,Pirates,CAN,41,43,67,62,47,47,35,50,3,500000
Karl Taylor,236,,CAN,44,51,32,54,44,47,35,44,1,500000
Eric Veilleux,237,Griffins,CAN,43,45,44,38,58,49,32,44,1,500000
Pascal Vincent,238,,CAN,42,60,41,48,46,49,34,46,1,500000
Trent Whitfield,239,,CAN,38,42,63,57,60,47,35,51,1,500000
Marty Wilford,240,,CAN,36,55,65,53,50,47,35,51,1,500000
Darryl Williams,241,,CAN,47,57,62,71,70,45,46,59,1,500000
Rick Wilson,242,,CAN,62,53,58,58,55,46,36,51,1,500000
Jay Woodcroft,243,,CAN,37,68,66,66,66,45,46,60,1,500000
