InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Empty5,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
12,12,Nate Thompson,http://www.tsn.ca/nhl/player-bio/nate-thompson,23,USA,1984-10-05,36,214,73,True,True,False,False,2,False,False,False,False,True,True,True,False,False,False,0,1100000,1100000,1100000,0,0,0,0,0,0,0,0,,0,100,0,8470775,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,82,65,87,69,78,63,91,58,92,63,57,86,25,77,80,67,50,66,11,11,2,0,2,0,0,0,1,6,8,1,15,1,0,52,83,0,0,0,5138,0,0,0,0,181,0,0,1,674,0,0,566,0,0,0,0,0,0,125,835,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,
13,13,Steve Bernier,http://www.tsn.ca/nhl/player-bio/steve-bernier,0,QUE,1985-03-31,35,220,75,False,False,True,False,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,8470609,0,0,0,,0,2,2,2,2,2,2,2,2,2,2,87,82,99,61,82,57,60,52,50,45,47,75,45,75,79,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14,Carl Gunnarsson,http://www.tsn.ca/nhl/player-bio/carl-gunnarsson,23,SWE,1986-11-09,33,198,74,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,1750000,1750000,0,0,0,0,0,0,0,0,0,,0,100,0,8474125,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,71,43,86,72,73,68,54,59,25,51,48,82,25,75,78,61,50,66,11,10,0,1,1,6,2,0,8,4,7,10,8,0,0,0,0,0,0,0,10775,0,0,0,3,872,0,0,0,572,0,0,712,0,0,0,0,0,0,170,1050,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,
15,15,Alex Pietrangelo,http://www.tsn.ca/nhl/player-bio/alex-pietrangelo,28,ONT,1990-01-18,30,210,71,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,8250000,8250000,8250000,8250000,0,0,0,0,0,0,0,,0,100,0,8474565,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,69,43,90,85,75,90,88,87,25,74,63,79,25,79,83,75,50,75,11,20,1,9,10,-4,6,0,11,12,7,11,27,0,0,0,0,0,0,0,15823,0,0,2,6,1435,0,0,1,1066,0,0,2285,0,0,0,0,0,0,235,855,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,
16,3586,Brendan Guhle,https://www.tsn.ca/nhl/player-bio/brendan-guhle,13,AB,1997-07-29,23,186,73,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,1000000,1000000,1000000,0,0,0,0,0,0,0,0,,0,100,0,8478425,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,69,42,89,75,69,71,75,57,25,50,54,74,25,58,58,63,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1,8,9,19,8,0,8,3,9,21,12,0,0,0,0,0,0,0,17125,0,1,1,4,2289,0,0,1,2669,0,0,1993,0,0,0,0,0,0,0,1,9,0,425,3135,3135,
17,3328,Tyler Motte,http://www.tsn.ca/nhl/player-bio/tyler-motte,27,USA,1995-03-10,25,188,69,False,True,True,False,2,False,False,False,False,False,True,True,False,False,False,0,1500000,1500000,1500000,0,0,0,0,0,0,0,0,,0,100,0,8477353,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,99,46,90,74,65,64,71,57,39,61,62,89,25,59,59,70,50,65,11,27,1,4,5,1,4,0,0,7,24,24,8,0,0,5,14,0,0,1,9595,0,0,2,8,1719,0,0,0,1022,0,0,999,0,0,0,0,0,0,85,1390,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,
19,4444,Liam Foudy,,31,ONT,2000-02-04,20,182,74,True,True,True,False,3,True,False,False,False,False,True,True,False,False,False,0,1269167,1269167,1269167,1269167,0,0,0,0,0,0,0,,0,100,0,,2020,19,0,,0,1,1,1,1,1,1,1,1,1,1,51,51,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,3,5,8,15,2,0,1,3,16,5,7,0,0,24,37,0,0,0,14810,0,0,0,1,968,0,1,0,1323,0,0,892,0,0,0,0,0,0,0,1,6,0,260,2615,2615,
20,4193,Brady Keeper,https://www.tsn.ca/nhl/player-bio/brady-keeper,23,MAN,1996-06-05,24,194,74,False,False,False,True,2,True,False,False,False,False,True,True,False,False,False,1,925000,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,8481442,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,66,72,53,68,72,62,66,48,25,39,42,56,40,44,44,51,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,2,16,18,1,8,0,16,6,17,37,16,0,0,0,0,0,0,0,12703,0,1,0,2,247,0,0,0,92,0,0,3346,0,0,0,0,2,3,0,0,2,2,0,3165,3165,
21,3329,Gustav Forsling,http://www.tsn.ca/nhl/player-bio/gustav-forsling,26,SWE,1996-06-12,24,186,72,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,875000,875000,0,0,0,0,0,0,0,0,0,,0,100,0,8478055,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,73,68,84,68,68,67,70,56,25,47,48,65,46,59,59,59,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,3,6,9,11,20,0,14,6,10,23,3,0,0,0,0,0,0,0,15781,0,2,1,9,2195,0,0,0,2436,0,0,1593,0,0,0,0,0,1,0,0,3,2,0,2570,2570,
22,22,Ryan Getzlaf,http://www.tsn.ca/nhl/player-bio/ryan-getzlaf,18,SKW,1985-05-10,35,223,76,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,9000000,9000000,9000000,9000000,0,0,0,0,0,0,0,,0,100,0,8470612,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,83,66,76,74,84,79,85,79,92,81,71,72,69,86,92,75,50,74,5,7,3,0,3,1,4,0,2,2,8,10,6,0,0,52,85,0,0,0,4746,0,1,0,1,56,0,0,0,552,0,0,520,0,0,0,0,1,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,23,Paul Stastny,http://www.tsn.ca/nhl/player-bio/paul-stastny,3,QUE,1985-12-27,34,193,72,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,6500000,6500000,6500000,6500000,0,0,0,0,0,0,0,,0,100,0,8471669,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,71,42,85,78,70,76,80,78,96,82,76,69,25,82,86,75,50,72,10,27,3,3,6,0,2,0,0,12,19,8,25,1,0,145,233,1,1,0,10562,0,2,1,8,1873,0,0,0,306,0,0,1204,0,0,0,0,0,0,290,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,
24,3046,Artemi Panarin,http://www.tsn.ca/nhl/player-bio/artemi-panarin,1,RUS,1991-10-30,29,168,71,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,7500000,7500000,7500000,0,0,0,0,0,0,0,0,,0,100,0,8478550,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,63,41,90,94,61,85,91,94,44,99,91,58,85,68,70,86,50,78,11,63,8,5,13,4,0,0,1,15,37,4,26,1,0,4,10,0,0,0,13352,1,1,0,8,1860,0,0,0,157,0,0,2313,0,0,0,1,0,3,0,2430,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,
25,4194,Blake Lizotte,https://www.tsn.ca/nhl/player-bio/blake-lizotte,30,USA,1997-12-12,22,172,67,True,False,False,False,2,True,False,False,False,False,True,True,False,False,False,1,925000,925000,925000,0,0,0,0,0,0,0,0,,0,100,0,8481481,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,67,41,90,81,59,66,69,69,82,71,59,69,25,51,51,67,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,3048,Jack Eichel,http://www.tsn.ca/nhl/player-bio/jack-eichel,30,USA,1996-10-28,24,206,74,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,10000000,10000000,10000000,10000000,0,0,0,0,0,0,0,,0,100,0,8478403,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,67,43,85,96,76,89,90,94,84,91,95,60,59,67,67,87,50,79,12,70,6,10,16,2,4,0,0,14,41,19,26,0,0,180,324,1,2,0,15452,0,2,2,13,1962,0,0,0,354,0,0,2445,0,0,0,1,1,0,215,3055,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
27,27,Darren Helm,http://www.tsn.ca/nhl/player-bio/darren-helm,13,MB,1987-01-21,33,196,72,False,True,True,False,3,False,False,False,False,True,True,True,False,False,False,0,3750000,3750000,3750000,3750000,0,0,0,0,0,0,0,,0,100,0,8471794,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,78,54,84,85,72,65,82,63,52,60,64,82,63,77,82,70,50,68,10,23,0,2,2,0,4,0,5,6,11,12,14,0,0,2,7,0,1,0,8354,0,0,0,1,152,0,0,0,1468,0,0,1095,0,0,0,0,0,0,75,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,
28,3587,Mike Vecchione,https://www.tsn.ca/nhl/player-bio/mike-vecchione,8,USA,1993-02-25,27,194,70,True,False,True,False,1,False,False,False,False,False,True,True,False,False,False,0,700000,700000,0,0,0,0,0,0,0,0,0,,0,100,0,8480087,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,74,68,88,60,68,77,81,61,76,53,64,63,61,44,44,64,50,60,11,3,1,1,2,1,0,0,1,0,1,1,4,0,0,16,34,0,0,0,2564,0,0,0,2,199,0,0,0,187,0,0,95,0,0,0,0,0,0,0,365,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,
29,3049,Max Domi,http://www.tsn.ca/nhl/player-bio/max-domi,13,MB,1995-03-01,25,195,70,True,True,False,False,1,False,False,False,False,False,True,True,False,False,False,0,6000000,6000000,0,0,0,0,0,0,0,0,0,,0,100,0,8477503,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,66,53,79,88,70,75,96,77,81,83,80,60,25,66,66,75,50,72,10,29,2,3,5,-1,4,0,0,9,18,10,12,1,0,4,10,0,0,1,9911,0,0,2,6,1644,0,0,0,88,0,0,1156,0,0,0,0,0,1,190,980,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,
30,1587,Matt Calvert,http://www.tsn.ca/nhl/player-bio/matt-calvert,7,MB,1989-12-23,30,186,71,False,True,True,False,3,False,False,False,False,True,True,True,False,False,False,0,3350000,3350000,3350000,3350000,0,0,0,0,0,0,0,,0,100,0,8474685,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,77,99,78,78,70,67,83,62,41,71,75,81,35,71,72,75,50,69,11,24,6,3,9,7,8,0,4,4,12,18,8,1,3,6,13,0,0,0,12090,0,0,0,1,177,0,0,0,1101,0,0,766,0,0,0,2,1,0,105,2240,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,
31,3879,Rasmus Dahlin,https://www.tsn.ca/nhl/player-bio/rasmus-dahlin,22,SWE,2000-04-12,20,185,75,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,3775000,3775000,3775000,0,0,0,0,0,0,0,0,,0,100,0,8480839,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,77,44,81,88,71,78,88,89,25,79,49,59,75,59,59,67,50,69,11,0,0,1,1,-2,15,5,6,1,1,21,8,0,0,0,0,0,0,0,10503,0,0,0,0,91,0,0,0,510,0,0,1347,0,0,1,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,
32,32,Keith Yandle,http://www.tsn.ca/nhl/player-bio/keith-yandle,22,USA,1986-09-09,34,196,73,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,6350000,6350000,6350000,6350000,0,0,0,0,0,0,0,,0,100,0,8471735,0,0,0,,0,3,3,3,3,3,3,3,3,3,3,61,41,90,88,72,78,93,89,25,78,49,58,25,83,86,67,50,70,11,7,1,5,6,0,0,0,4,1,8,1,5,1,0,0,0,0,0,0,14977,0,1,1,4,1474,0,0,0,1493,0,0,1558,0,0,0,0,0,0,0,865,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
33,33,Andrew Ladd,http://www.tsn.ca/nhl/player-bio/andrew-ladd,25,BC,1985-12-12,34,192,75,False,True,True,False,1,False,False,False,False,False,True,True,False,False,False,0,6000000,6000000,0,0,0,0,0,0,0,0,0,,0,100,0,8471217,0,0,0,,0,1,1,1,1,1,1,1,1,1,1,78,73,90,76,73,55,56,59,50,44,62,75,59,85,89,64,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
