GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro169,OTHL-PRE-169.html,Sharks,SJS,2,Aleksander Barkov(2:3),Darcy Kuemper (SJS): 33 saves from 38 shots - (0.868): L: 5-7-0: 60:00 minutes ,Predators,NSH,5,Dominik Kubalik(2): Jack Johnson(2): Alex Tuch(2): Logan Couture(8): Reilly Smith(4),Carey Price (NSH): 31 saves from 33 shots - (0.939): W: 7-2-2: 60:00 minutes 
Pro170,OTHL-PRE-170.html,Blues,STL,3,Samuel Girard(2): Jonathan Drouin(3): David Savard(2),Antti Raanta (STL): 24 saves from 28 shots - (0.857): OTL: 3-7-2: 61:18 minutes ,Golden Knights,VGK,4,Eric Staal(1): Nicklas Backstrom(4): Craig Smith(1): Calvin de Haan(1),Mackenzie Blackwood (VGK): 28 saves from 31 shots - (0.903): W: 5-4-2: 61:18 minutes 
Pro171,OTHL-PRE-171.html,Islanders,NYI,2,Calle Jarnkrok(1): Ryan O'Reilly(4),Philipp Grubauer (NYI): 31 saves from 35 shots - (0.886): L: 3-8-0: 60:00 minutes ,Blue Jackets,CLB,4,Jamie Benn(4): Sam Steel(3): Miles Wood(2): Danny DeKeyser(4),Jacob Markstrom (CLB): 29 saves from 31 shots - (0.935): W: 4-2-3: 60:00 minutes 
Farm203,OTHL-PRE-Farm-203.html,Senators,BEL,5,Unknown Player(1:2): Michael Bunting(13:14:15),Unknown Goalie (BEL): 13 saves from 18 shots - (0.722): 19:48 minutes Unknown Goalie (BEL): 35 saves from 37 shots - (0.946): L: 0-1-0: 40:12 minutes ,Wolf Pack,HFD,7,Unknown Player(1:2:3:4:5:6:7),Unknown Goalie (HFD): 48 saves from 53 shots - (0.906): W: 1-0-0: 60:00 minutes 
Farm204,OTHL-PRE-Farm-204.html,Penguins,WBS,10,Unknown Player(1:2:3:4): Tyson Jost(9:10): Gabriel Gagne(11): Alexandre Fortin(4): Steven Fogarty(8): Tomas Jurco(13),Tom McCollum (WBS): 17 saves from 17 shots - (1.000): W: 11-3-0: 60:00 minutes ,Sound Tigers,BPT,0,,Unknown Goalie (BPT): 10 saves from 15 shots - (0.667): L: 0-1-0: 26:07 minutes Unknown Goalie (BPT): 16 saves from 21 shots - (0.762): 33:53 minutes 
Farm205,OTHL-PRE-Farm-205.html,Comets,UTI,2,Joel Farabee(9): Anton Blidh(10),Hunter Miska (UTI): 11 saves from 15 shots - (0.733): L: 12-2-0: 36:53 minutes Landon Bow (UTI): 6 saves from 6 shots - (1.000): 23:07 minutes ,Rocket,LAV,4,Henrik Borgstrom(9:10): Ryan Lomberg(11): Jonny Brodzinski(4),Alex Nedeljkovic (LAV): 15 saves from 17 shots - (0.882): W: 8-3-1: 60:00 minutes 
Farm206,OTHL-PRE-Farm-206.html,Admirals,MIL,3,Unknown Player(1:2:3),Unknown Goalie (MIL): 53 saves from 59 shots - (0.898): L: 0-1-0: 60:00 minutes ,Wild,IOA,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (IOA): 40 saves from 43 shots - (0.930): W: 1-0-0: 60:00 minutes 
Farm207,OTHL-PRE-Farm-207.html,Rampage ,SAR,0,,Unknown Goalie (SAR): 3 saves from 7 shots - (0.429): L: 0-1-0: 13:23 minutes Unknown Goalie (SAR): 29 saves from 35 shots - (0.829): 46:37 minutes , Americans,ROC,10,Chris Terry(3:4): Michael Spacek(7:8): Cole Schneider(6): Michael Amadio(11): Mario Kempe(4): Laurent Dauphin(5): Turner Elson(2): Remi Elie(4),Ilya Samsonov (ROC): 8 saves from 8 shots - (1.000): W: 13-0-0: 60:00 minutes 
Farm208,OTHL-PRE-Farm-208.html,Thunderbirds,SPR,8,Max Jones(13): Lawson Crouse(15): Michael McCarron(4:5:6): Alexander Nylander(8:9): Luke Johnson(4),Collin Delia (SPR): 19 saves from 22 shots - (0.864): W: 9-3-0: 60:00 minutes ,Marlies,TOR,3,Steven Lorentz(22): Unknown Player(1:2),Unknown Goalie (TOR): 7 saves from 11 shots - (0.636): L: 0-1-0: 32:55 minutes Unknown Goalie (TOR): 10 saves from 14 shots - (0.714): 27:05 minutes 
Farm209,OTHL-PRE-Farm-209.html,Barracudas,SJB,5,Michael Downing(2): Warren Foegele(10:11): Brendan Leipsic(6): Dylan Sikura(9),Laurent Brossoit (SJB): 29 saves from 32 shots - (0.906): W: 9-1-2: 60:00 minutes ,Moose,MAN,3,Jansen Harkins(8:9): Carsen Twarynski(7),Connor Ingram (MAN): 10 saves from 14 shots - (0.714): L: 10-4-0: 21:36 minutes Vitek Vanecek (MAN): 15 saves from 16 shots - (0.938): 38:24 minutes 
Farm210,OTHL-PRE-Farm-210.html,Bears,HER,2,Unknown Player(1): A.J. Greer(24),Unknown Goalie (HER): 45 saves from 51 shots - (0.882): L: 0-1-0: 60:00 minutes ,Bruins,PRO,6,Jan Drozg(9): Ondrej Kase(5:6): Anthony Angello(7:8): Nathan Walker(9),Mikhail Berdin (PRO): 11 saves from 13 shots - (0.846): W: 13-1-0: 60:00 minutes 
Farm211,OTHL-PRE-Farm-211.html,Roadrunners,TUC,3,Unknown Player(1): Filip Chytil(29:30),Unknown Goalie (TUC): 26 saves from 30 shots - (0.867): L: 0-1-0: 60:00 minutes ,Wolves,CHI,4,Jake Evans(9): Nicholas Baptiste(5): Juuso Valimaki(1): Colton White(1),Adam Werner (CHI): 12 saves from 15 shots - (0.800): W: 9-5-0: 60:00 minutes 
Farm212,OTHL-PRE-Farm-212.html,Reign,ONT,1,Unknown Player(1),Unknown Goalie (ONT): 12 saves from 16 shots - (0.750): L: 0-1-0: 24:09 minutes Unknown Goalie (ONT): 34 saves from 37 shots - (0.919): 35:51 minutes ,Gulls,SDG,7,Trent Frederic(11:12): Unknown Player(1:2:3): Zach Senyshyn(12:13),Ian Scott (SDG): 30 saves from 31 shots - (0.968): W: 6-8-0: 60:00 minutes 
