Day,Visitor,Home
13,Colorado Avalanche,Edmonton Oilers
14,Carolina Hurricanes,New Jersey Devils
14,Tampa Bay Lightning,New York Rangers
14,Calgary Flames,Atlanta Thrashers
14,Colorado Avalanche,Phoenix Coyotes
15,Montreal Canadiens,Vancouver Canucks
16,Nashville Predators,Detroit Red Wings
16,Ottawa Senators,New York Rangers
16,New York Islanders,Los Angeles Kings
16,Washington Capitals,Pittsburgh Penguins
16,Carolina Hurricanes,Philadelphia Flyers
16,Buffalo Sabres,Columbus Blue Jackets
16,Tampa Bay Lightning,Anaheim Ducks
16,Phoenix Coyotes,Edmonton Oilers
16,Calgary Flames,Chicago Blackhawks
16,Montreal Canadiens,Vancouver Canucks
16,Colorado Avalanche,Dallas Stars
16,St.Louis Blues,Minnesota Wild
17,Edmonton Oilers,Toronto Maple Leafs
17,Tampa Bay Lightning,New Jersey Devils
17,Anaheim Ducks,New York Rangers
17,Philadelphia Flyers,Washington Capitals
17,New York Islanders,Buffalo Sabres
17,Los Angeles Kings,Columbus Blue Jackets
17,Boston Bruins,San Jose Sharks
17,Ottawa Senators,Pittsburgh Penguins
17,Detroit Red Wings,Florida Panthers
17,Calgary Flames,Nashville Predators
17,Minnesota Wild,Phoenix Coyotes
17,St.Louis Blues,Dallas Stars
17,Atlanta Thrashers,Chicago Blackhawks
18,Edmonton Oilers,Montreal Canadiens
18,Carolina Hurricanes,Los Angeles Kings
18,Tampa Bay Lightning,San Jose Sharks
18,Nashville Predators,Atlanta Thrashers
18,St.Louis Blues,Phoenix Coyotes
18,Philadelphia Flyers,Washington Capitals
18,Colorado Avalanche,Minnesota Wild
18,Detroit Red Wings,Toronto Maple Leafs
19,Florida Panthers,Calgary Flames
20,St.Louis Blues,Dallas Stars
20,Florida Panthers,Calgary Flames
21,Anaheim Ducks,Montreal Canadiens
21,New Jersey Devils,New York Rangers
21,Dallas Stars,Chicago Blackhawks
21,Edmonton Oilers,Atlanta Thrashers
22,Dallas Stars,Atlanta Thrashers
23,Edmonton Oilers,Detroit Red Wings
23,Toronto Maple Leafs,Montreal Canadiens
23,Columbus Blue Jackets,New York Rangers
23,New York Islanders,Los Angeles Kings
23,Carolina Hurricanes,Ottawa Senators
23,New Jersey Devils,Boston Bruins
23,Pittsburgh Penguins,Philadelphia Flyers
23,Vancouver Canucks,Colorado Avalanche
23,Buffalo Sabres,Tampa Bay Lightning
23,Washington Capitals,Anaheim Ducks
23,Florida Panthers,San Jose Sharks
23,Minnesota Wild,Phoenix Coyotes
23,Nashville Predators,Calgary Flames
24,Boston Bruins,San Jose Sharks
24,Colorado Avalanche,Toronto Maple Leafs
24,Florida Panthers,Philadelphia Flyers
24,Los Angeles Kings,New York Islanders
24,Vancouver Canucks,Detroit Red Wings
24,Pittsburgh Penguins,Washington Capitals
24,New York Rangers,Columbus Blue Jackets
24,Carolina Hurricanes,Ottawa Senators
24,Buffalo Sabres,Tampa Bay Lightning
24,New Jersey Devils,Anaheim Ducks
24,Chicago Blackhawks,Atlanta Thrashers
24,Minnesota Wild,Dallas Stars
24,Edmonton Oilers,St.Louis Blues
24,Nashville Predators,Calgary Flames
25,San Jose Sharks,Boston Bruins
25,Vancouver Canucks,Colorado Avalanche
25,Los Angeles Kings,Washington Capitals
25,Dallas Stars,Minnesota Wild
27,Buffalo Sabres,Carolina Hurricanes
27,Vancouver Canucks,Montreal Canadiens
28,Columbus Blue Jackets,New York Islanders
28,Buffalo Sabres,Carolina Hurricanes
28,Vancouver Canucks,Montreal Canadiens
28,Los Angeles Kings,New York Rangers
28,Chicago Blackhawks,Nashville Predators
28,Toronto Maple Leafs,Phoenix Coyotes
30,Tampa Bay Lightning,Carolina Hurricanes
30,Vancouver Canucks,Detroit Red Wings
30,New York Rangers,Los Angeles Kings
30,New York Islanders,Boston Bruins
30,Ottawa Senators,Montreal Canadiens
30,Atlanta Thrashers,Colorado Avalanche
30,Philadelphia Flyers,Buffalo Sabres
30,Anaheim Ducks,Columbus Blue Jackets
30,New Jersey Devils,San Jose Sharks
30,Pittsburgh Penguins,Florida Panthers
30,St.Louis Blues,Nashville Predators
30,Dallas Stars,Edmonton Oilers
30,Toronto Maple Leafs,Minnesota Wild
30,Phoenix Coyotes,Calgary Flames
31,Florida Panthers,New Jersey Devils
31,New York Rangers,New York Islanders
31,Atlanta Thrashers,Detroit Red Wings
31,Boston Bruins,Buffalo Sabres
31,Los Angeles Kings,San Jose Sharks
31,Philadelphia Flyers,Ottawa Senators
31,Anaheim Ducks,Pittsburgh Penguins
31,Carolina Hurricanes,Tampa Bay Lightning
31,Toronto Maple Leafs,Dallas Stars
31,Minnesota Wild,Edmonton Oilers
31,Vancouver Canucks,Chicago Blackhawks
31,Phoenix Coyotes,Calgary Flames
32,Washington Capitals,Carolina Hurricanes
32,Boston Bruins,New Jersey Devils
32,Detroit Red Wings,Colorado Avalanche
32,Atlanta Thrashers,Nashville Predators
32,Anaheim Ducks,Ottawa Senators
32,Chicago Blackhawks,St.Louis Blues
32,Pittsburgh Penguins,Florida Panthers
32,Toronto Maple Leafs,Edmonton Oilers
32,New York Islanders,New York Rangers
33,Minnesota Wild,Calgary Flames
34,Washington Capitals,Carolina Hurricanes
34,Toronto Maple Leafs,New York Rangers
34,St.Louis Blues,Chicago Blackhawks
34,Phoenix Coyotes,Edmonton Oilers
34,Minnesota Wild,Calgary Flames
35,Montreal Canadiens,Colorado Avalanche
35,Nashville Predators,Detroit Red Wings
35,Atlanta Thrashers,Dallas Stars
35,Tampa Bay Lightning,New Jersey Devils
35,Buffalo Sabres,Columbus Blue Jackets
35,Florida Panthers,Ottawa Senators
36,Toronto Maple Leafs,Philadelphia Flyers
36,New York Islanders,Carolina Hurricanes
36,Chicago Blackhawks,Phoenix Coyotes
37,Anaheim Ducks,New Jersey Devils
37,New York Islanders,Carolina Hurricanes
37,Toronto Maple Leafs,Washington Capitals
37,San Jose Sharks,Los Angeles Kings
37,Atlanta Thrashers,Edmonton Oilers
37,Calgary Flames,Boston Bruins
37,Ottawa Senators,Pittsburgh Penguins
37,Tampa Bay Lightning,Philadelphia Flyers
37,Nashville Predators,Colorado Avalanche
37,Chicago Blackhawks,Phoenix Coyotes
37,Florida Panthers,Vancouver Canucks
38,Nashville Predators,Colorado Avalanche
38,Detroit Red Wings,Montreal Canadiens
38,Calgary Flames,Philadelphia Flyers
38,Tampa Bay Lightning,New York Islanders
38,Columbus Blue Jackets,New York Rangers
38,Boston Bruins,Los Angeles Kings
38,New Jersey Devils,Buffalo Sabres
38,Pittsburgh Penguins,San Jose Sharks
38,Toronto Maple Leafs,Ottawa Senators
38,Washington Capitals,Anaheim Ducks
38,Minnesota Wild,St.Louis Blues
38,Florida Panthers,Vancouver Canucks
39,Columbus Blue Jackets,Los Angeles Kings
39,Tampa Bay Lightning,San Jose Sharks
39,Detroit Red Wings,Montreal Canadiens
39,Atlanta Thrashers,Phoenix Coyotes
39,Minnesota Wild,St.Louis Blues
39,Calgary Flames,Boston Bruins
39,Ottawa Senators,Washington Capitals
41,Pittsburgh Penguins,New Jersey Devils
41,Toronto Maple Leafs,Montreal Canadiens
41,New York Islanders,Columbus Blue Jackets
41,Atlanta Thrashers,Dallas Stars
42,New York Rangers,Los Angeles Kings
42,Ottawa Senators,Anaheim Ducks
42,Phoenix Coyotes,St.Louis Blues
42,Philadelphia Flyers,Carolina Hurricanes
42,Detroit Red Wings,Colorado Avalanche
42,Atlanta Thrashers,Minnesota Wild
43,Chicago Blackhawks,Vancouver Canucks
44,Philadelphia Flyers,Carolina Hurricanes
44,Minnesota Wild,Detroit Red Wings
44,San Jose Sharks,Los Angeles Kings
44,Washington Capitals,Ottawa Senators
44,New York Islanders,Boston Bruins
44,Tampa Bay Lightning,Pittsburgh Penguins
44,Toronto Maple Leafs,Colorado Avalanche
44,New York Rangers,Columbus Blue Jackets
44,New Jersey Devils,Anaheim Ducks
44,Montreal Canadiens,Florida Panthers
44,Nashville Predators,Phoenix Coyotes
44,Dallas Stars,Edmonton Oilers
44,Calgary Flames,St.Louis Blues
44,Chicago Blackhawks,Vancouver Canucks
45,Montreal Canadiens,Toronto Maple Leafs
45,Los Angeles Kings,New York Islanders
45,Colorado Avalanche,Detroit Red Wings
45,Pittsburgh Penguins,Washington Capitals
45,San Jose Sharks,Buffalo Sabres
45,New York Rangers,Ottawa Senators
45,Philadelphia Flyers,Tampa Bay Lightning
45,Columbus Blue Jackets,Anaheim Ducks
45,New Jersey Devils,Florida Panthers
45,Minnesota Wild,Atlanta Thrashers
45,Nashville Predators,Dallas Stars
45,Calgary Flames,St.Louis Blues
46,Montreal Canadiens,Toronto Maple Leafs
46,Buffalo Sabres,New York Islanders
46,Boston Bruins,Los Angeles Kings
46,Columbus Blue Jackets,San Jose Sharks
46,Ottawa Senators,Pittsburgh Penguins
46,Chicago Blackhawks,St.Louis Blues
46,Colorado Avalanche,Atlanta Thrashers
46,New York Rangers,Washington Capitals
46,Dallas Stars,Minnesota Wild
46,Anaheim Ducks,Florida Panthers
46,Nashville Predators,Edmonton Oilers
47,Tampa Bay Lightning,Carolina Hurricanes
48,Colorado Avalanche,Atlanta Thrashers
48,Nashville Predators,Edmonton Oilers
49,Detroit Red Wings,Toronto Maple Leafs
49,Montreal Canadiens,Philadelphia Flyers
49,Boston Bruins,New York Islanders
49,San Jose Sharks,Washington Capitals
49,Los Angeles Kings,Columbus Blue Jackets
49,New Jersey Devils,Pittsburgh Penguins
49,Carolina Hurricanes,Tampa Bay Lightning
49,Colorado Avalanche,Chicago Blackhawks
49,Minnesota Wild,Dallas Stars
50,Pittsburgh Penguins,Ottawa Senators
51,New York Rangers,New York Islanders
51,Chicago Blackhawks,Detroit Red Wings
51,New Jersey Devils,Los Angeles Kings
51,Columbus Blue Jackets,Buffalo Sabres
51,San Jose Sharks,Boston Bruins
51,Tampa Bay Lightning,Philadelphia Flyers
51,Montreal Canadiens,Ottawa Senators
51,Edmonton Oilers,Colorado Avalanche
51,Washington Capitals,Anaheim Ducks
51,Toronto Maple Leafs,Florida Panthers
51,Atlanta Thrashers,St.Louis Blues
51,Nashville Predators,Dallas Stars
51,Phoenix Coyotes,Minnesota Wild
51,Vancouver Canucks,Calgary Flames
52,Edmonton Oilers,Colorado Avalanche
52,Anaheim Ducks,Toronto Maple Leafs
52,Ottawa Senators,New Jersey Devils
52,New York Islanders,New York Rangers
52,Philadelphia Flyers,Washington Capitals
52,Buffalo Sabres,Los Angeles Kings
52,Carolina Hurricanes,San Jose Sharks
52,Florida Panthers,Pittsburgh Penguins
52,Tampa Bay Lightning,Columbus Blue Jackets
52,Detroit Red Wings,Atlanta Thrashers
52,Phoenix Coyotes,Dallas Stars
52,St.Louis Blues,Chicago Blackhawks
52,Nashville Predators,Minnesota Wild
52,Vancouver Canucks,Calgary Flames
53,Tampa Bay Lightning,New York Islanders
53,Pittsburgh Penguins,Columbus Blue Jackets
53,Montreal Canadiens,Anaheim Ducks
53,Los Angeles Kings,San Jose Sharks
53,St.Louis Blues,Detroit Red Wings
53,Nashville Predators,Phoenix Coyotes
53,Buffalo Sabres,Boston Bruins
53,Philadelphia Flyers,New York Rangers
53,Carolina Hurricanes,Washington Capitals
55,Vancouver Canucks,Atlanta Thrashers
55,Edmonton Oilers,Dallas Stars
56,Pittsburgh Penguins,New Jersey Devils
56,Calgary Flames,Montreal Canadiens
56,New York Rangers,San Jose Sharks
56,Vancouver Canucks,Nashville Predators
57,Chicago Blackhawks,Minnesota Wild
58,Washington Capitals,New Jersey Devils
58,St.Louis Blues,Montreal Canadiens
58,Tampa Bay Lightning,Los Angeles Kings
58,Calgary Flames,Toronto Maple Leafs
58,New York Rangers,Boston Bruins
58,Ottawa Senators,Pittsburgh Penguins
58,Atlanta Thrashers,Colorado Avalanche
58,New York Islanders,Columbus Blue Jackets
58,Anaheim Ducks,Florida Panthers
58,Detroit Red Wings,Nashville Predators
58,Edmonton Oilers,Vancouver Canucks
58,Phoenix Coyotes,Dallas Stars
58,Chicago Blackhawks,Minnesota Wild
59,Calgary Flames,Toronto Maple Leafs
59,Atlanta Thrashers,Montreal Canadiens
59,Phoenix Coyotes,Detroit Red Wings
59,San Jose Sharks,New York Rangers
59,Ottawa Senators,Washington Capitals
59,Columbus Blue Jackets,Los Angeles Kings
59,Tampa Bay Lightning,Buffalo Sabres
59,Philadelphia Flyers,Pittsburgh Penguins
59,St.Louis Blues,Colorado Avalanche
59,New Jersey Devils,Florida Panthers
59,Boston Bruins,New York Islanders
59,Minnesota Wild,Dallas Stars
59,Edmonton Oilers,Vancouver Canucks
60,Anaheim Ducks,Carolina Hurricanes
60,Tampa Bay Lightning,Columbus Blue Jackets
60,Atlanta Thrashers,Toronto Maple Leafs
60,Buffalo Sabres,San Jose Sharks
60,Philadelphia Flyers,New Jersey Devils
60,Phoenix Coyotes,Detroit Red Wings
60,Los Angeles Kings,Boston Bruins
60,Nashville Predators,St.Louis Blues
61,Anaheim Ducks,Carolina Hurricanes
62,San Jose Sharks,Buffalo Sabres
62,Minnesota Wild,Edmonton Oilers
62,Vancouver Canucks,Dallas Stars
62,Colorado Avalanche,Calgary Flames
63,Washington Capitals,New Jersey Devils
63,Columbus Blue Jackets,New York Islanders
63,Nashville Predators,Detroit Red Wings
63,Montreal Canadiens,Florida Panthers
63,Toronto Maple Leafs,Pittsburgh Penguins
63,Anaheim Ducks,Tampa Bay Lightning
63,Dallas Stars,Chicago Blackhawks
63,Phoenix Coyotes,Atlanta Thrashers
63,Colorado Avalanche,Calgary Flames
65,Washington Capitals,Carolina Hurricanes
65,Dallas Stars,Detroit Red Wings
65,San Jose Sharks,Los Angeles Kings
65,New Jersey Devils,Ottawa Senators
65,Buffalo Sabres,Boston Bruins
65,Pittsburgh Penguins,Tampa Bay Lightning
65,Philadelphia Flyers,Anaheim Ducks
65,Montreal Canadiens,Florida Panthers
65,Vancouver Canucks,Edmonton Oilers
65,Nashville Predators,Chicago Blackhawks
65,Phoenix Coyotes,Minnesota Wild
65,Atlanta Thrashers,Calgary Flames
66,Buffalo Sabres,Philadelphia Flyers
66,San Jose Sharks,New Jersey Devils
66,Los Angeles Kings,New York Rangers
66,Florida Panthers,Ottawa Senators
66,Tampa Bay Lightning,Pittsburgh Penguins
66,Toronto Maple Leafs,Colorado Avalanche
66,Boston Bruins,Columbus Blue Jackets
66,New York Islanders,Anaheim Ducks
66,Vancouver Canucks,Phoenix Coyotes
66,Detroit Red Wings,St.Louis Blues
66,Edmonton Oilers,Chicago Blackhawks
66,Dallas Stars,Nashville Predators
66,Atlanta Thrashers,Calgary Flames
67,Toronto Maple Leafs,Montreal Canadiens
67,Washington Capitals,Carolina Hurricanes
67,Philadelphia Flyers,New York Rangers
67,Minnesota Wild,Colorado Avalanche
67,Buffalo Sabres,Los Angeles Kings
67,New York Islanders,San Jose Sharks
67,Pittsburgh Penguins,New Jersey Devils
67,Dallas Stars,Detroit Red Wings
67,Columbus Blue Jackets,Boston Bruins
67,Ottawa Senators,Florida Panthers
67,Edmonton Oilers,Nashville Predators
69,Minnesota Wild,Montreal Canadiens
69,Calgary Flames,Florida Panthers
69,Vancouver Canucks,Dallas Stars
70,New York Rangers,Philadelphia Flyers
70,Minnesota Wild,Detroit Red Wings
70,Calgary Flames,Pittsburgh Penguins
70,Atlanta Thrashers,Chicago Blackhawks
72,Columbus Blue Jackets,New York Islanders
72,St.Louis Blues,Detroit Red Wings
72,San Jose Sharks,New York Rangers
72,Buffalo Sabres,Los Angeles Kings
72,Anaheim Ducks,Ottawa Senators
72,Montreal Canadiens,Edmonton Oilers
72,Carolina Hurricanes,Boston Bruins
72,Calgary Flames,Pittsburgh Penguins
72,Washington Capitals,Philadelphia Flyers
72,New Jersey Devils,Tampa Bay Lightning
72,Toronto Maple Leafs,Florida Panthers
72,Colorado Avalanche,Nashville Predators
72,Dallas Stars,Phoenix Coyotes
72,Atlanta Thrashers,Chicago Blackhawks
72,Minnesota Wild,Vancouver Canucks
73,Florida Panthers,Toronto Maple Leafs
73,Calgary Flames,Philadelphia Flyers
73,San Jose Sharks,New York Islanders
73,Boston Bruins,Washington Capitals
73,Los Angeles Kings,Buffalo Sabres
73,Carolina Hurricanes,Ottawa Senators
73,New Jersey Devils,Tampa Bay Lightning
73,Pittsburgh Penguins,Anaheim Ducks
73,Nashville Predators,Atlanta Thrashers
73,Phoenix Coyotes,Edmonton Oilers
73,Detroit Red Wings,St.Louis Blues
73,Colorado Avalanche,Chicago Blackhawks
73,Minnesota Wild,Vancouver Canucks
73,Montreal Canadiens,Dallas Stars
74,Buffalo Sabres,New York Islanders
74,San Jose Sharks,Los Angeles Kings
74,New York Rangers,Anaheim Ducks
74,Colorado Avalanche,St.Louis Blues
74,Columbus Blue Jackets,Boston Bruins
74,Carolina Hurricanes,Washington Capitals
74,Ottawa Senators,Florida Panthers
74,Montreal Canadiens,Phoenix Coyotes
75,Edmonton Oilers,Dallas Stars
76,New York Rangers,Los Angeles Kings
76,Nashville Predators,Atlanta Thrashers
76,Montreal Canadiens,Minnesota Wild
76,Toronto Maple Leafs,St.Louis Blues
77,Toronto Maple Leafs,Detroit Red Wings
81,New York Rangers,New York Islanders
81,Boston Bruins,Columbus Blue Jackets
81,Montreal Canadiens,Toronto Maple Leafs
81,Colorado Avalanche,Detroit Red Wings
81,Tampa Bay Lightning,Washington Capitals
81,Philadelphia Flyers,Ottawa Senators
81,Dallas Stars,Minnesota Wild
81,Anaheim Ducks,Florida Panthers
81,New Jersey Devils,Pittsburgh Penguins
81,Buffalo Sabres,San Jose Sharks
81,Nashville Predators,Chicago Blackhawks
82,Columbus Blue Jackets,Los Angeles Kings
82,Detroit Red Wings,Atlanta Thrashers
82,Minnesota Wild,Phoenix Coyotes
82,St.Louis Blues,Vancouver Canucks
83,Boston Bruins,Buffalo Sabres
83,New York Islanders,New Jersey Devils
83,Atlanta Thrashers,Montreal Canadiens
83,Ottawa Senators,Washington Capitals
83,Philadelphia Flyers,Anaheim Ducks
83,Carolina Hurricanes,Tampa Bay Lightning
83,Chicago Blackhawks,Nashville Predators
83,Dallas Stars,Edmonton Oilers
83,St.Louis Blues,Vancouver Canucks
84,Los Angeles Kings,Philadelphia Flyers
84,Buffalo Sabres,New York Rangers
84,Florida Panthers,Colorado Avalanche
84,San Jose Sharks,Columbus Blue Jackets
84,Atlanta Thrashers,Toronto Maple Leafs
84,Anaheim Ducks,Pittsburgh Penguins
84,Minnesota Wild,Nashville Predators
84,Edmonton Oilers,Phoenix Coyotes
85,Colorado Avalanche,Montreal Canadiens
85,Florida Panthers,Toronto Maple Leafs
85,New York Islanders,San Jose Sharks
85,Carolina Hurricanes,Tampa Bay Lightning
85,Minnesota Wild,Chicago Blackhawks
85,Washington Capitals,Pittsburgh Penguins
85,Dallas Stars,Calgary Flames
86,San Jose Sharks,New York Islanders
86,Columbus Blue Jackets,Philadelphia Flyers
86,Anaheim Ducks,Washington Capitals
86,Atlanta Thrashers,Vancouver Canucks
86,New York Rangers,Buffalo Sabres
86,Toronto Maple Leafs,Detroit Red Wings
86,New Jersey Devils,Ottawa Senators
86,Boston Bruins,Los Angeles Kings
86,Nashville Predators,St.Louis Blues
86,Edmonton Oilers,Phoenix Coyotes
86,Dallas Stars,Calgary Flames
87,New Jersey Devils,Philadelphia Flyers
87,Ottawa Senators,Carolina Hurricanes
87,St.Louis Blues,Detroit Red Wings
87,Boston Bruins,New York Rangers
87,Los Angeles Kings,Columbus Blue Jackets
87,Tampa Bay Lightning,Pittsburgh Penguins
87,Montreal Canadiens,Colorado Avalanche
87,Anaheim Ducks,Florida Panthers
87,Chicago Blackhawks,Edmonton Oilers
87,Atlanta Thrashers,Vancouver Canucks
87,Phoenix Coyotes,Minnesota Wild
88,Boston Bruins,New York Islanders
88,Ottawa Senators,Carolina Hurricanes
88,Los Angeles Kings,New York Rangers
88,Buffalo Sabres,San Jose Sharks
88,Anaheim Ducks,New Jersey Devils
88,Chicago Blackhawks,Edmonton Oilers
88,Tampa Bay Lightning,Washington Capitals
88,Philadelphia Flyers,Florida Panthers
88,Phoenix Coyotes,Nashville Predators
89,Vancouver Canucks,Calgary Flames
90,Pittsburgh Penguins,Carolina Hurricanes
90,Florida Panthers,Colorado Avalanche
90,Vancouver Canucks,Calgary Flames
91,Philadelphia Flyers,New Jersey Devils
91,Buffalo Sabres,New York Islanders
91,Pittsburgh Penguins,Carolina Hurricanes
91,Montreal Canadiens,Detroit Red Wings
91,New York Rangers,San Jose Sharks
91,Toronto Maple Leafs,Atlanta Thrashers
91,Phoenix Coyotes,St.Louis Blues
92,Detroit Red Wings,Nashville Predators
93,Carolina Hurricanes,New Jersey Devils
93,Columbus Blue Jackets,Buffalo Sabres
93,Anaheim Ducks,Ottawa Senators
93,Los Angeles Kings,Boston Bruins
93,New York Islanders,Pittsburgh Penguins
93,New York Rangers,Tampa Bay Lightning
93,Dallas Stars,Phoenix Coyotes
93,St.Louis Blues,Edmonton Oilers
93,Toronto Maple Leafs,Chicago Blackhawks
93,Washington Capitals,Vancouver Canucks
93,Colorado Avalanche,Minnesota Wild
93,Philadelphia Flyers,Calgary Flames
94,Anaheim Ducks,New Jersey Devils
94,Los Angeles Kings,Buffalo Sabres
94,Carolina Hurricanes,Columbus Blue Jackets
94,Florida Panthers,Ottawa Senators
94,St.Louis Blues,Edmonton Oilers
94,Boston Bruins,Pittsburgh Penguins
94,New York Rangers,Tampa Bay Lightning
94,San Jose Sharks,New York Islanders
94,Montreal Canadiens,Atlanta Thrashers
94,Toronto Maple Leafs,Nashville Predators
94,Minnesota Wild,Phoenix Coyotes
94,Colorado Avalanche,Dallas Stars
94,Detroit Red Wings,Chicago Blackhawks
94,Washington Capitals,Vancouver Canucks
94,Philadelphia Flyers,Calgary Flames
95,Columbus Blue Jackets,San Jose Sharks
95,Toronto Maple Leafs,Atlanta Thrashers
95,Ottawa Senators,Boston Bruins
95,Phoenix Coyotes,Minnesota Wild
95,Montreal Canadiens,Nashville Predators
95,Colorado Avalanche,Edmonton Oilers
97,Ottawa Senators,Buffalo Sabres
97,New Jersey Devils,San Jose Sharks
97,Carolina Hurricanes,Tampa Bay Lightning
98,Dallas Stars,Atlanta Thrashers
98,Colorado Avalanche,Montreal Canadiens
98,Minnesota Wild,Chicago Blackhawks
99,Los Angeles Kings,Carolina Hurricanes
99,Detroit Red Wings,Phoenix Coyotes
99,Edmonton Oilers,St.Louis Blues
99,Nashville Predators,Vancouver Canucks
100,Ottawa Senators,New Jersey Devils
100,Los Angeles Kings,Carolina Hurricanes
100,Anaheim Ducks,Montreal Canadiens
100,New York Rangers,Buffalo Sabres
100,Pittsburgh Penguins,Boston Bruins
100,Washington Capitals,Philadelphia Flyers
100,New York Islanders,Tampa Bay Lightning
100,San Jose Sharks,Columbus Blue Jackets
100,Colorado Avalanche,Florida Panthers
100,Edmonton Oilers,St.Louis Blues
100,Dallas Stars,Chicago Blackhawks
100,Minnesota Wild,Atlanta Thrashers
100,Toronto Maple Leafs,Calgary Flames
101,Pittsburgh Penguins,Philadelphia Flyers
101,Columbus Blue Jackets,New Jersey Devils
101,Boston Bruins,New York Rangers
101,Colorado Avalanche,Washington Capitals
101,San Jose Sharks,Buffalo Sabres
101,Los Angeles Kings,Ottawa Senators
101,New York Islanders,Tampa Bay Lightning
101,Florida Panthers,Anaheim Ducks
101,Chicago Blackhawks,Atlanta Thrashers
101,Edmonton Oilers,Phoenix Coyotes
101,Dallas Stars,St.Louis Blues
101,Nashville Predators,Vancouver Canucks
101,Detroit Red Wings,Minnesota Wild
102,Toronto Maple Leafs,Calgary Flames
102,Pittsburgh Penguins,New York Rangers
102,Buffalo Sabres,Columbus Blue Jackets
102,Philadelphia Flyers,Anaheim Ducks
102,San Jose Sharks,Boston Bruins
102,Tampa Bay Lightning,Carolina Hurricanes
102,Phoenix Coyotes,Atlanta Thrashers
102,Washington Capitals,Ottawa Senators
102,Detroit Red Wings,Minnesota Wild
102,Colorado Avalanche,Florida Panthers
103,Phoenix Coyotes,Chicago Blackhawks
104,Boston Bruins,New York Islanders
104,Florida Panthers,Montreal Canadiens
104,Edmonton Oilers,Colorado Avalanche
104,Anaheim Ducks,Tampa Bay Lightning
104,Toronto Maple Leafs,Vancouver Canucks
104,Detroit Red Wings,Dallas Stars
104,St.Louis Blues,Calgary Flames
105,Ottawa Senators,New Jersey Devils
105,Columbus Blue Jackets,Carolina Hurricanes
105,Anaheim Ducks,Pittsburgh Penguins
105,Toronto Maple Leafs,Vancouver Canucks
105,St.Louis Blues,Calgary Flames
106,Florida Panthers,Colorado Avalanche
106,Edmonton Oilers,Nashville Predators
107,Pittsburgh Penguins,Philadelphia Flyers
107,Columbus Blue Jackets,Carolina Hurricanes
107,Atlanta Thrashers,Detroit Red Wings
107,Montreal Canadiens,New York Rangers
107,New Jersey Devils,Washington Capitals
