Day,Visitor,Home
68,Atlanta Thrashers,Ottawa Senators 
68,New York Islanders,Nashville Predators 
68,Chicago Blackhawks,Colorado Avalanche 
68,Columbus Blue Jackets,Calgary Flames 
68,Dallas Stars,San Jose Sharks 
69,Pittsburgh Penguins,Philadelphia Flyers 
69,Toronto Maple Leafs,Edmonton Oilers 
70,Phoenix Coyotes,New Jersey Devils 
70,Anaheim Ducks,Washington Capitals 
70,New York Rangers,Pittsburgh Penguins 
70,Boston Bruins,Buffalo Sabres 
70,St.Louis Blues,Detroit Red Wings 
70,Atlanta Thrashers,Tampa Bay Lightning 
70,Carolina Hurricanes,Florida Panthers 
70,Philadelphia Flyers,Montreal Canadiens 
70,San Jose Sharks,Nashville Predators 
70,Colorado Avalanche,Chicago Blackhawks 
70,Columbus Blue Jackets,Vancouver Canucks 
71,Anaheim Ducks,New York Islanders 
71,Phoenix Coyotes,New York Rangers 
71,Carolina Hurricanes,Atlanta Thrashers 
71,Boston Bruins,Montreal Canadiens 
71,Los Angeles Kings,St.Louis Blues 
71,Ottawa Senators,Minnesota Wild 
71,San Jose Sharks,Dallas Stars 
71,Toronto Maple Leafs,Calgary Flames 
71,Columbus Blue Jackets,Edmonton Oilers 
72,Nashville Predators,New Jersey Devils 
72,Buffalo Sabres,Florida Panthers 
72,Detroit Red Wings,Chicago Blackhawks 
72,Ottawa Senators,Colorado Avalanche 
73,New York Rangers,Philadelphia Flyers 
73,Phoenix Coyotes,New York Islanders 
73,Washington Capitals,Boston Bruins 
73,Anaheim Ducks,Carolina Hurricanes 
73,New Jersey Devils,Atlanta Thrashers 
73,Dallas Stars,Columbus Blue Jackets 
73,Buffalo Sabres,Tampa Bay Lightning 
73,San Jose Sharks,St.Louis Blues 
73,Los Angeles Kings,Nashville Predators 
73,Minnesota Wild,Calgary Flames 
73,Toronto Maple Leafs,Vancouver Canucks 
74,Dallas Stars,Detroit Red Wings 
74,Washington Capitals,Ottawa Senators 
74,Los Angeles Kings,Chicago Blackhawks 
74,Montreal Canadiens,Colorado Avalanche 
75,Anaheim Ducks,Boston Bruins 
75,Phoenix Coyotes,Pittsburgh Penguins 
75,Atlanta Thrashers,Toronto Maple Leafs 
75,Florida Panthers,Philadelphia Flyers 
75,Carolina Hurricanes,Tampa Bay Lightning 
75,Vancouver Canucks,St.Louis Blues 
75,Calgary Flames,Minnesota Wild 
76,St.Louis Blues,Atlanta Thrashers 
76,Anaheim Ducks,Buffalo Sabres 
76,New Jersey Devils,Washington Capitals 
76,Calgary Flames,Columbus Blue Jackets 
76,Montreal Canadiens,Dallas Stars 
76,Los Angeles Kings,Colorado Avalanche 
76,Edmonton Oilers,San Jose Sharks 
77,Tampa Bay Lightning,New York Islanders 
77,Vancouver Canucks,Detroit Red Wings 
77,Florida Panthers,Pittsburgh Penguins 
77,Nashville Predators,Chicago Blackhawks 
78,Montreal Canadiens,Carolina Hurricanes 
78,Florida Panthers,Buffalo Sabres 
78,New York Islanders,New Jersey Devils 
78,Pittsburgh Penguins,Washington Capitals 
78,Vancouver Canucks,Columbus Blue Jackets 
78,Tampa Bay Lightning,New York Rangers 
78,Atlanta Thrashers,Boston Bruins 
78,Ottawa Senators,Nashville Predators 
78,Detroit Red Wings,St.Louis Blues 
78,Calgary Flames,Dallas Stars 
78,Minnesota Wild,Colorado Avalanche 
78,Edmonton Oilers,Los Angeles Kings 
78,Phoenix Coyotes,San Jose Sharks 
81,Detroit Red Wings,Minnesota Wild 
81,Tampa Bay Lightning,Atlanta Thrashers 
81,Columbus Blue Jackets,Chicago Blackhawks 
81,Nashville Predators,St.Louis Blues 
81,Toronto Maple Leafs,New Jersey Devils 
81,Washington Capitals,Carolina Hurricanes 
81,Pittsburgh Penguins,Ottawa Senators 
81,Montreal Canadiens,New York Islanders 
81,Phoenix Coyotes,Dallas Stars 
81,Anaheim Ducks,Los Angeles Kings 
81,Edmonton Oilers,Vancouver Canucks 
82,New York Islanders,New York Rangers 
82,Minnesota Wild,Columbus Blue Jackets 
82,Boston Bruins,Florida Panthers 
82,Detroit Red Wings,Colorado Avalanche 
82,Buffalo Sabres,Calgary Flames 
82,Los Angeles Kings,San Jose Sharks 
83,Montreal Canadiens,Washington Capitals 
83,Carolina Hurricanes,Toronto Maple Leafs 
83,Atlanta Thrashers,Pittsburgh Penguins 
83,Boston Bruins,Tampa Bay Lightning 
83,Chicago Blackhawks,St.Louis Blues 
83,Dallas Stars,Nashville Predators 
83,Buffalo Sabres,Edmonton Oilers 
83,Anaheim Ducks,Phoenix Coyotes 
83,Philadelphia Flyers,Vancouver Canucks 
84,New York Rangers,New Jersey Devils 
84,Pittsburgh Penguins,New York Islanders 
84,Carolina Hurricanes,Ottawa Senators 
84,San Jose Sharks,Minnesota Wild 
84,Detroit Red Wings,Dallas Stars 
84,Los Angeles Kings,Phoenix Coyotes 
85,Columbus Blue Jackets,Toronto Maple Leafs 
85,Boston Bruins,Atlanta Thrashers 
85,Montreal Canadiens,Tampa Bay Lightning 
85,San Jose Sharks,Chicago Blackhawks 
85,Colorado Avalanche,Edmonton Oilers 
85,Philadelphia Flyers,Los Angeles Kings 
86,Atlanta Thrashers,New Jersey Devils 
86,Montreal Canadiens,Florida Panthers 
86,Nashville Predators,Minnesota Wild 
86,New York Islanders,Detroit Red Wings 
86,Ottawa Senators,Columbus Blue Jackets 
86,Phoenix Coyotes,St.Louis Blues 
86,Philadelphia Flyers,Anaheim Ducks 
86,Vancouver Canucks,Dallas Stars 
86,Colorado Avalanche,Calgary Flames 
87,Washington Capitals,Pittsburgh Penguins 
87,Boston Bruins,Buffalo Sabres 
87,Toronto Maple Leafs,Ottawa Senators 
87,New Jersey Devils,Carolina Hurricanes 
87,New York Rangers,Tampa Bay Lightning 
87,San Jose Sharks,Los Angeles Kings 
87,Calgary Flames,Edmonton Oilers 
88,Atlanta Thrashers,Montreal Canadiens 
88,New York Rangers,Florida Panthers 
88,Philadelphia Flyers,Detroit Red Wings 
88,Dallas Stars,St.Louis Blues 
88,Columbus Blue Jackets,Nashville Predators 
88,Phoenix Coyotes,Minnesota Wild 
88,Chicago Blackhawks,Anaheim Ducks 
88,Vancouver Canucks,Colorado Avalanche 
89,Boston Bruins,Toronto Maple Leafs 
89,Florida Panthers,Carolina Hurricanes 
89,New York Islanders,Calgary Flames 
89,Vancouver Canucks,San Jose Sharks 
89,Chicago Blackhawks,Los Angeles Kings 
90,Minnesota Wild,New Jersey Devils 
90,Tampa Bay Lightning,Washington Capitals 
90,Columbus Blue Jackets,Phoenix Coyotes 
90,Detroit Red Wings,Edmonton Oilers 
90,Buffalo Sabres,Colorado Avalanche 
91,Tampa Bay Lightning,Pittsburgh Penguins 
91,Carolina Hurricanes,New York Rangers 
91,Atlanta Thrashers,Florida Panthers 
91,Dallas Stars,Chicago Blackhawks 
91,Calgary Flames,Vancouver Canucks 
91,Nashville Predators,Anaheim Ducks 
92,St.Louis Blues,Toronto Maple Leafs 
92,Philadelphia Flyers,New Jersey Devils 
92,Minnesota Wild,Boston Bruins 
92,Pittsburgh Penguins,Montreal Canadiens 
92,Phoenix Coyotes,Colorado Avalanche 
92,New York Islanders,Edmonton Oilers 
92,Nashville Predators,Los Angeles Kings 
92,Buffalo Sabres,San Jose Sharks 
93,Toronto Maple Leafs,Atlanta Thrashers 
93,Carolina Hurricanes,Florida Panthers 
93,Ottawa Senators,Chicago Blackhawks 
93,New York Rangers,Dallas Stars 
93,Detroit Red Wings,Calgary Flames 
93,Columbus Blue Jackets,Anaheim Ducks 
93,Edmonton Oilers,Vancouver Canucks 
94,New Jersey Devils,Philadelphia Flyers 
94,New York Islanders,Colorado Avalanche 
94,Tampa Bay Lightning,Ottawa Senators 
94,Boston Bruins,Montreal Canadiens 
94,Florida Panthers,Washington Capitals 
94,Minnesota Wild,Pittsburgh Penguins 
94,Buffalo Sabres,Phoenix Coyotes 
94,Nashville Predators,San Jose Sharks 
94,New York Rangers,St.Louis Blues 
94,Detroit Red Wings,Vancouver Canucks 
94,Columbus Blue Jackets,Los Angeles Kings 
95,Atlanta Thrashers,Carolina Hurricanes 
95,Tampa Bay Lightning,New Jersey Devils 
95,Dallas Stars,Minnesota Wild 
