Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Steve Potvin,126,,CAN,46,30,60,37,64,47,35,46,3,100000
Steve Spott,127,,CAN,50,47,53,73,48,45,46,52,0,300000
Jeff Blashill,129,Rocket,USA,43,70,61,68,84,73,52,68,1,850000
Eric Dubois,130,,CAN,50,37,67,59,60,47,35,51,1,500000
Scott Ford,132,,CAN,40,64,48,48,57,47,35,50,1,500000
Benoit Grouix,133,,CAN,52,60,47,73,37,56,47,53,0,600000
Jeff Halpern,134,,USA,44,68,70,74,44,45,46,58,0,700000
Kerry Huffman,137,Wild,CAN,52,56,77,79,41,48,41,57,2,800000
Doug Janik,138,,USA,40,65,55,30,65,47,35,50,1,500000
Sheldon Keefe,139,Hurricanes,CAN,39,43,50,64,74,54,54,57,3,4500000
Jamie Pringle,141,,CAN,45,41,65,73,55,45,46,54,3,500000
Jamie Kompon,142,,CAN,53,58,59,68,46,45,46,54,1,500000
Derek Lalonde,143,,USA,47,68,70,74,44,45,46,58,1,500000
Wade Flaherty,146,,CAN,52,58,59,68,46,45,46,54,3,500000
Barry Smith,147,,USA,59,43,43,66,68,45,46,52,3,500000
Jay Leach,149,Penguins,USA,40,60,75,77,52,50,47,60,2,800000
Marco Sturm,150,,GER,42,63,52,43,61,45,46,52,3,500000
Steve McCarthy,152,,CAN,39,37,54,40,40,47,35,42,1,500000
Kenny McCudden,153,,USA,58,52,63,62,73,45,46,57,1,500000
Rob Nardella,154,,ITA,52,37,67,59,60,47,35,51,1,500000
Jay Pandolfo,155,Senators,USA,45,59,71,63,43,45,46,55,1,500000
Domenic Pittis,156,,CAN,45,42,36,34,53,47,35,41,1,500000
Rich Preston,157,,CAN,68,61,56,41,50,45,46,50,1,500000
Rob Zettler,158,,CAN,52,47,53,73,48,45,46,52,3,500000
Alexandre Burrows,159,,CAN,39,49,63,47,67,47,35,51,3,500000
Anders Sorensen,162,,SWE,45,37,67,59,60,47,35,51,3,500000
Daniel Jacob,163,,CAN,40,37,67,59,60,47,35,51,3,500000
D.J. Smith,164,Sound Tigers,CAN,43,44,56,71,74,45,46,56,1,750000
Daniel Tkaczuk,166,,CAN,41,31,36,57,51,47,35,43,1,500000
Geoff Ward,167,,CAN,58,41,65,73,55,45,46,54,0,750000
Tom Ward,168,,USA,56,46,50,50,72,45,46,52,1,500000
Todd Woodcroft,170,,CAN,47,58,59,68,46,45,46,54,1,500000
Bob Woods,171,,CAN,52,48,61,45,62,45,46,51,1,500000
Scott Allen,172,,USA,50,65,68,46,71,45,46,57,1,500000
Dave Manson,173,,CAN,53,37,67,59,60,47,35,51,3,500000
Eric Boguniecki,174,,USA,41,37,67,59,60,47,35,51,1,500000
David Cunniff,176,,USA,46,43,51,55,42,47,35,46,1,500000
Kevin Dean,177,,USA,47,59,71,63,43,45,46,55,1,500000
Pat Ferschweiler,179,,USA,48,53,46,51,63,45,46,51,1,500000
Darby Hendrickson,180,,USA,44,48,61,45,62,45,46,51,1,500000
Phil Housley,181,Roadrunners,USA,53,61,67,66,96,68,43,67,2,750000
Ryan Murphy,184,,USA,35,37,67,59,60,47,35,51,1,500000
Toby Petersen,185,,USA,49,45,32,39,47,47,35,41,1,500000
Todd Reirden,186,Devils,USA,47,79,76,93,70,66,66,75,3,3000000
David Urquhart,187,,CAN,36,37,67,59,60,47,35,51,3,500000
Ben Simon,188,,USA,39,56,68,51,50,49,43,53,1,500000
Sergei Brylin,192,,RUS,43,37,67,59,60,47,35,51,1,500000
Nolan Baumgartner,193,,CAN,40,56,54,48,54,45,46,51,0,1000000
Ray Bennett,194,,CAN,54,50,58,64,45,45,46,51,1,500000
Rick Bowness,197,Blue Jackets,CAN,62,57,73,44,65,59,39,56,1,1500000
Rob Brind'Amour,198,Blues,CAN,46,90,91,77,90,66,64,80,1,2500000
Newell Brown,199,,CAN,54,56,54,48,54,45,46,51,0,1500000
Trent Cull,201,Comets,CAN,43,71,40,53,58,50,41,52,1,750000
Blaine Forsythe,203,,CAN,63,59,57,70,53,45,46,55,1,500000
Gerald Gallant,204,Stars,CAN,53,97,85,80,93,79,67,84,2,3250000
David Oliver,205,,CAN,49,70,50,51,41,45,46,51,3,500000
Chris Hajt,207,,CAN,39,46,50,50,72,45,46,52,1,500000
Jim Hiller,208,,CAN,49,44,56,71,74,45,46,56,1,500000
Doug Houda,209,,CAN,50,53,46,51,63,45,46,51,3,500000
Charlie Huddy,210,,CAN,57,58,59,68,46,45,46,54,0,850000
Mike Kelly,214,Griffins,CAN,58,73,64,60,70,45,46,60,3,775000
Derek King,215,,CAN,49,40,52,38,64,49,39,47,1,500000
Jason King,216,,CAN,35,60,34,45,49,47,35,45,1,500000
Geordie Kinnear,217,,CAN,43,77,65,35,77,53,38,57,1,500000
Greg Rallo,218,,USA,39,37,67,59,60,47,35,51,3,500000
John Madden,221,,CAN,44,43,64,47,47,53,40,49,1,500000
Kevin McCarthy,222,,CAN,60,45,72,55,58,45,46,54,1,500000
Mark Morrison,223,,CAN,53,61,56,41,50,45,46,50,1,500000
Gord Murphy,225,,CAN,51,54,44,57,52,45,46,50,1,500000
Alain Nasreddine,226,,CAN,40,64,47,47,50,45,46,50,0,500000
Nolan Pratt,229,,CAN,41,50,58,64,45,45,46,51,1,500000
Greg Brown,230,,USA,52,70,50,51,41,45,46,51,3,500000
Scott Stevens,231,,CAN,52,30,30,30,30,30,30,30,1,500000
Darryl Sydor,233,Eagles,CAN,43,50,68,59,66,45,46,56,2,600000
Brad Tapper,234,,CAN,40,37,67,59,60,47,35,51,0,500000
Chris Taylor,235,Thunderbirds,CAN,44,53,38,46,55,50,47,48,3,700000
Karl Taylor,236,,CAN,47,75,56,56,67,49,41,57,1,500000
Pascal Vincent,238,Wolf Pack,CAN,45,62,46,71,73,53,43,58,3,900000
Trent Whitfield,239,,CAN,41,51,64,65,44,47,35,51,1,500000
Marty Wilford,240,,CAN,39,61,56,41,50,45,46,50,1,500000
Jay Woodcroft,243,,CAN,39,43,79,69,71,47,35,57,0,950000
Cail MacLean,244,,CAN,43,49,42,40,62,49,39,47,3,100000
David Bell,245,,CAN,43,37,67,59,60,47,35,51,3,100000
Sheldon Brookbank,246,Moose,CAN,30,34,44,32,54,47,35,41,1,700000
Brett McLean,247,,CAN,41,37,67,59,60,47,35,51,3,100000
Gary Agnew,248,,CAN,60,37,67,59,60,47,35,51,3,100000
Joey Mormina,249,,CAN,38,57,57,49,45,47,35,48,3,100000
Paul Boutilier,251,,CAN,56,32,48,52,32,47,35,41,3,100000
Sergei Gonchar,252,,RUS,45,74,59,68,59,45,46,59,3,600000
Ulf Samuelsson,253,,SWE,56,40,40,56,58,45,46,48,3,400000
Joe Sacco,254,,USA,47,59,71,63,43,45,46,55,3,600000
Mike Vellucci,255,Devils,USA,51,58,69,37,40,50,54,51,1,775000
Dan Muse,257,,USA,38,45,72,55,58,45,46,54,3,400000
Don Granato,258,,USA,53,43,43,66,68,45,46,52,3,400000
Ken Klee,259,,USA,49,37,67,59,60,47,35,51,3,100000
Tim Army,260,Phantoms,USA,53,50,60,65,49,49,42,52,4,725000
J.D. Forrest,261,,USA,39,37,67,59,60,47,35,51,3,100000
Jean-Francois Houle,264,,CAN,45,37,67,59,60,47,35,51,3,500000
Jimmy Bonneau,265,,CAN,35,37,67,59,60,47,35,51,3,500000
Joe Cirella,266,,CAN,57,37,67,59,60,47,35,51,3,500000
Patrick Wellar,267,,CAN,37,50,53,64,57,47,35,51,3,500000
Rob Davidson,268,,CAN,43,37,67,59,60,47,35,51,3,500000
Ryan Parent,269,,CAN,33,45,62,62,52,47,35,51,3,500000
Ryan Tobler,270,,CAN,44,37,67,59,60,47,35,51,3,500000
Aaron Schneekloth,271,,CAN,42,59,45,59,55,47,35,50,3,500000
Mike Grier,272,,USA,45,64,47,47,50,45,46,50,3,500000
Marty Johnston,273,,CAN,42,53,39,60,62,47,35,49,3,500000
Jarrod Skalde,274,,CAN,49,67,48,50,30,47,35,46,3,500000
Matt MacDonald,275,,CAN,37,48,58,43,43,47,35,46,3,500000
Gilles Bouchard,276,,CAN,49,51,40,62,31,47,35,44,3,500000
Bob Jones,277,,CAN,50,40,35,53,48,47,35,43,3,500000
Ryan Warsofsky,278,,USA,33,49,59,31,34,47,35,43,3,500000
Jaroslav Modry,279,,CZE,49,63,30,37,39,47,35,42,3,500000
Mike Chiasson,280,,USA,29,40,31,42,37,47,35,39,3,500000
Bob Murray,281,,CAN,65,81,74,55,67,64,60,67,3,3200000
Jeff Daniels,282,,CAN,52,68,68,58,68,45,46,59,3,1800000
Mark Dennehy,283,Checkers,USA,52,53,73,73,61,49,33,57,2,600000
Jim Montgomery,284,Monsters,CAN,51,76,97,58,87,66,60,74,1,900000
Drew Bannister,285,,CAN,46,37,42,67,60,49,36,48,3,500000
Jay Varady,286,,USA,42,35,71,44,75,49,43,53,3,500000
Dean Chynoweth,287,,CAN,38,68,68,58,68,45,46,59,3,1800000
Jeremy Colilton,288,Wolves,CAN,35,57,57,88,91,65,52,68,1,600000
A.J. MacLean,289,,CAN,35,37,43,54,63,47,35,47,3,500000
