InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
11,419,Alex Lyon,http://www.tsn.ca/nhl/player-bio/alex-lyon,18,USA,1992-12-08,29,201,73,1,False,False,False,False,True,True,True,False,False,False,0,800000,800000,0,0,0,0,0,0,0,0,0,,0,100,0,8479312,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,47,54,68,75,43,46,50,53,46,47,30,46,46,48,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,420,Thatcher Demko,http://www.tsn.ca/nhl/player-bio/thatcher-demko,9,USA,1995-12-07,26,192,76,2,True,False,False,False,False,True,True,False,False,False,0,1050000,1050000,1050000,0,0,0,0,0,0,0,0,,8,100,0,8477967,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,80,69,67,81,85,74,68,81,85,80,95,53,54,78,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,382,Linus Ullmark,http://www.tsn.ca/nhl/player-bio/linus-ullmark,3,SWE,1993-07-30,28,215,76,4,False,False,False,False,False,True,True,False,False,True,0,5000000,5000000,5000000,5000000,5000000,0,0,0,0,0,0,,0,100,0,8476999,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,78,64,63,87,84,72,69,78,83,78,92,58,58,74,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,343,Andrei Vasilevskiy,http://www.tsn.ca/nhl/player-bio/andrei-vasilevskiy,17,RUS,1994-07-24,27,225,75,4,False,False,False,False,False,True,True,False,False,False,0,10000000,10000000,10000000,10000000,10000000,0,0,0,0,0,0,,6,100,2,8476883,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,88,87,84,87,93,82,86,88,90,87,95,66,69,87,50,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,440,Dylan Ferguson,https://www.tsn.ca/nhl/player-bio/dylan-ferguson,0,BC,1998-09-19,23,183,74,0,True,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,8480263,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,59,44,55,72,70,64,40,55,58,54,30,44,44,55,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,501,Matej Tomek,,24,SVK,1995-02-10,27,181,75,1,False,False,False,False,False,True,True,False,False,False,0,750000,750000,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,384,Juuse Saros,https://www.tsn.ca/nhl/player-bio/juuse-saros,2,FIN,1995-04-18,27,180,71,1,False,False,False,False,False,True,True,False,False,False,0,2500000,2500000,0,0,0,0,0,0,0,0,0,,0,100,0,8477424,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,90,76,74,63,99,82,79,88,92,90,76,60,61,86,50,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,19,Ben Bishop,http://www.tsn.ca/nhl/player-bio/ben-bishop,5,USA,1986-11-21,35,215,79,5,False,False,False,False,False,True,True,False,False,False,0,9000000,9000000,9000000,9000000,9000000,9000000,0,0,0,0,0,,2,100,0,8471750,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,84,79,78,89,84,84,79,84,87,84,85,69,72,83,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,421,Lars Johansson,http://www.tsn.ca/nhl/player-bio/lars-johansson,0,SWE,1987-07-10,34,198,73,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,59,67,84,75,58,62,54,63,58,57,30,44,44,59,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,528,Ilya Sorokin,https://www.tsn.ca/nhl/player-bio/ilya-sorokin-327122,13,RUS,1995-08-03,26,190,75,2,True,False,False,False,False,True,True,False,False,False,0,2000000,2000000,2000000,0,0,0,0,0,0,0,0,,95,100,0,,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,74,66,63,78,78,70,92,76,83,74,95,46,46,76,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,529,Logan Thompson,https://www.tsn.ca/nhl/player-bio/logan-thompson,24,AB,1997-02-24,25,201,76,1,True,False,False,False,False,True,True,False,False,False,0,800000,800000,0,0,0,0,0,0,0,0,0,,21,100,0,,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,69,63,79,83,70,72,72,77,75,74,30,44,44,71,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,422,Mackenzie Blackwood,http://www.tsn.ca/nhl/player-bio/mackenzie-blackwood,31,ONT,1996-09-12,25,225,76,2,False,False,False,False,False,True,True,False,False,True,0,2500000,2500000,2500000,0,0,0,0,0,0,0,0,,2,100,0,8478406,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,76,79,75,90,79,72,64,76,77,75,81,57,57,68,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,530,Lukas Dostal,https://www.tsn.ca/nhl/player-bio/lukas-dostal/bio,0,CZE,2000-06-22,21,174,74,3,True,False,False,False,False,True,True,False,False,False,0,822500,822500,822500,822500,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,62,69,86,67,63,65,52,64,59,58,30,44,44,61,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,26,Anton Khudobin,http://www.tsn.ca/nhl/player-bio/anton-khudobin,6,KAZ,1986-05-07,36,195,71,3,False,False,False,False,True,True,True,False,True,False,0,6250000,6250000,6250000,6250000,0,0,0,0,0,0,0,Broken Left Index Finger Injury,99,67,0,8471418,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,82,68,67,69,88,75,78,82,85,81,95,64,66,72,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,503,Matthew Villalta,,3,ONT,1999-06-03,23,187,76,1,True,False,False,False,False,True,True,False,False,False,0,778333,778333,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,387,Leland Irving,https://www.tsn.ca/nhl/player-bio/leland-irving,0,AB,1988-04-11,34,177,72,0,False,False,False,False,False,True,True,False,False,False,0,525000,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,56,52,65,63,59,57,50,58,55,54,30,44,44,55,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,388,Tristan Jarry,http://www.tsn.ca/nhl/player-bio/tristan-jarry,1,BC,1995-04-25,27,194,74,2,False,False,False,False,False,True,True,False,False,False,0,3250000,3250000,3250000,0,0,0,0,0,0,0,0,,6,100,0,8477465,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,79,74,71,76,83,74,72,78,83,79,75,57,57,74,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,389,Zane McIntyre,https://www.tsn.ca/nhl/player-bio/zane-mcintyre,12,USA,1992-08-20,29,206,74,2,False,False,False,False,False,True,True,False,False,False,0,900000,900000,900000,0,0,0,0,0,0,0,0,,0,100,0,8475876,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,62,58,73,79,63,64,62,68,65,64,30,44,44,63,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,504,Elvis Merzlikins,http://www.eliteprospects.com/player.php?player=66584,12,LAT,1994-04-13,28,185,75,1,False,False,False,False,False,True,True,False,False,False,0,874125,1844559,0,0,0,0,0,0,0,0,0,,0,100,0,8478007,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,79,70,66,75,81,76,78,79,87,79,85,51,52,76,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,33,Mike Smith,http://www.tsn.ca/nhl/player-bio/mike-smith,11,ONT,1982-03-21,40,220,77,2,False,False,False,False,True,True,True,False,False,False,0,7750000,7750000,7750000,0,0,0,0,0,0,0,0,,2,100,0,8469608,0,0,0,False,41,3,3,3,3,3,3,3,3,3,3,81,73,73,90,85,77,91,80,89,81,73,76,78,82,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,423,Nick Ellis,http://www.tsn.ca/nhl/player-bio/nick-ellis-173422,0,USA,1994-01-17,28,180,73,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,51,56,70,68,49,53,50,56,51,51,30,44,44,52,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,531,Alexei Melnichuk,https://www.tsn.ca/nhl/player-bio/alexei-melnichuk,3,RUS,1998-06-28,23,190,74,1,True,False,False,False,False,True,True,False,False,False,0,925000,925000,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,46,56,70,75,42,46,50,53,45,46,30,44,44,48,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,37,Cory Schneider,https://www.tsn.ca/nhl/player-bio/cory-schneider,20,USA,1986-03-17,36,200,75,1,False,False,False,False,False,True,True,False,False,False,0,900000,900000,0,0,0,0,0,0,0,0,0,,0,100,0,8471239,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,43,44,55,80,40,41,50,51,44,45,30,69,69,46,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,467,Adam Huska,https://www.tsn.ca/nhl/player-bio/adam-huska,12,SLO,1997-05-12,25,218,76,3,True,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,750000,0,0,0,0,0,0,0,,0,100,0,8478903,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,50,55,69,87,47,49,54,57,50,51,30,44,44,52,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,424,Brandon Halverson,http://www.tsn.ca/nhl/player-bio/brandon-halverson,0,USA,1996-03-28,26,209,76,0,True,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,8477990,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,50,54,68,85,49,50,50,55,49,49,30,44,44,51,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,532,Jeremy Swayman,https://www.tsn.ca/nhl/player-bio/jeremy-swayman,28,USA,1998-11-23,23,187,74,3,True,False,False,False,False,True,True,False,False,False,0,1050000,1050000,1050000,1050000,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,69,61,58,74,77,62,98,69,77,69,75,44,44,72,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,468,Alex Sakellaropoulos,https://www.eliteprospects.com/player/135056/alex-sakellaropoulos,0,USA,1994-05-02,28,215,75,0,False,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,48,41,51,84,50,48,51,54,50,50,30,44,44,49,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,395,Spencer Martin,https://www.tsn.ca/nhl/player-bio/spencer-martin,32,ONT,1995-06-08,26,191,73,3,False,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,750000,0,0,0,0,0,0,0,,0,100,0,8477484,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,56,59,74,73,57,58,52,60,55,54,30,44,44,56,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,469,Angus Redmond,https://www.tsn.ca/nhl/player-bio/angus-redmond,0,BC,1995-10-02,26,197,74,0,True,False,False,False,False,True,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,43,47,59,77,40,42,50,51,44,45,30,44,44,45,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,533,Hunter Jones,https://www.tsn.ca/nhl/player-bio/hunter-jones-369509/bio,0,ONT,2000-09-21,21,194,76,3,True,False,False,False,False,True,True,False,False,False,0,825833,825833,825833,825833,0,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,51,68,85,81,46,57,50,56,53,52,30,44,44,54,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,45,Craig Anderson,http://www.tsn.ca/nhl/player-bio/craig-anderson,23,USA,1981-05-21,41,186,74,1,False,False,False,False,False,True,True,False,False,False,0,900000,900000,0,0,0,0,0,0,0,0,0,,0,100,0,8467950,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,42,52,65,73,40,43,40,46,40,40,30,76,76,44,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,397,Philippe Desrosiers,https://www.tsn.ca/nhl/player-bio/philippe-desrosiers,0,QUE,1995-08-15,26,195,73,0,False,False,False,False,False,True,True,False,False,False,0,525000,0,0,0,0,0,0,0,0,0,0,,0,100,0,8477475,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,60,59,74,74,63,62,50,61,58,56,30,44,44,58,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,398,Ken Appleby,https://www.tsn.ca/nhl/player-bio/ken-appleby,29,ONT,1995-04-09,27,210,76,4,False,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,750000,750000,0,0,0,0,0,0,,0,100,0,,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,61,56,70,85,62,67,63,68,68,67,30,44,44,64,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,399,Jon Gillies,http://www.tsn.ca/nhl/player-bio/jon-gillies,4,USA,1994-01-21,28,223,78,3,False,False,False,False,False,True,True,False,False,False,0,750000,750000,750000,750000,0,0,0,0,0,0,0,,0,100,0,8476903,0,0,0,False,0,1,1,1,1,1,1,1,1,1,1,54,51,64,91,52,52,61,62,56,57,30,45,45,56,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,506,Igor Shesterkin,https://www.tsn.ca/nhl/player-bio/igor-shesterkin,7,RUS,1995-12-30,26,182,74,2,True,False,False,False,False,True,True,False,False,False,0,3775000,3775000,3775000,0,0,0,0,0,0,0,0,,0,100,0,8478048,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,88,80,79,71,92,83,77,88,94,82,79,49,50,78,50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,51,Carey Price,http://www.tsn.ca/nhl/player-bio/carey-price,32,BC,1987-08-15,34,220,75,4,False,False,False,False,False,True,True,False,False,False,0,10000000,10000000,10000000,10000000,10000000,0,0,0,0,0,0,,0,100,0,8471679,0,0,0,False,0,3,3,3,3,3,3,3,3,3,3,73,87,85,84,76,70,69,74,73,73,85,77,81,70,50,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,401,Nick Schneider,https://www.tsn.ca/nhl/player-bio/nick-schneider,0,AB,1997-07-20,24,170,74,0,True,False,False,False,False,True,True,False,False,False,0,550000,0,0,0,0,0,0,0,0,0,0,,0,100,0,8478995,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,65,66,83,65,66,66,59,68,63,62,30,44,44,64,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
