Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Davis Payne,107,,CAN,50,70,63,64,66,75,70,75,0,1500000
Seth Appert,108,,USA,46,75,60,70,60,71,67,79,0,0
Tomas Mitell,109,,SWE,40,65,66,67,70,60,56,85,0,0
Dan Bylsma,110,Condors,USA,50,64,61,65,70,75,70,75,1,600000
Rob Cookson,111,,CAN,60,55,41,56,56,45,46,50,1,500000
Greg Cronin,113,,USA,57,64,68,70,72,88,83,61,1,500000
Jack Capuano,114,,USA,54,73,64,66,65,81,76,67,1,2000000
Brett Furguson,115,,CAN,53,54,52,35,37,47,35,43,3,400000
J.J. Daigneault,116,,CAN,54,37,67,59,60,47,35,51,1,500000
Chris Dennis,118,,CAN,53,55,50,43,50,47,35,47,3,400000
Rick Tocchet,119,Sharks,CAN,57,83,88,80,87,86,80,61,1,2000000
Manny Malhotra,120,Gulls,CAN,40,62,71,73,67,60,56,85,2,650000
Clark Donatelli,121,,USA,55,79,56,59,35,53,49,55,1,500000
Paul McFarland,123,,CAN,35,62,45,65,57,45,46,53,3,400000
Spencer Carbery,125,Reign,CAN,39,70,73,70,76,60,57,86,1,700000
Steve Potvin,126,,CAN,46,64,60,66,71,71,67,79,3,100000
Steve Spott,127,,CAN,52,67,75,75,72,78,73,71,0,300000
Jeff Blashill,129,Rocket,USA,47,80,79,83,85,71,66,78,5,1000000
Eric Dubois,130,,CAN,51,37,67,59,60,47,35,51,1,500000
Scott Ford,132,,CAN,41,64,48,48,57,47,35,50,1,500000
Jeff Halpern,134,,USA,44,65,76,72,61,66,62,81,0,700000
Kerry Huffman,137,Wild,CAN,53,56,77,79,41,48,41,57,1,800000
Doug Janik,138,,USA,41,65,55,30,65,47,35,50,1,500000
Sheldon Keefe,139,Hurricanes,CAN,40,82,87,91,88,60,56,85,2,4500000
Jamie Pringle,141,,CAN,46,41,65,73,55,45,46,54,3,500000
Jamie Kompon,142,,CAN,54,66,73,69,70,81,76,67,1,500000
Derek Lalonde,143,Mariners,USA,48,63,73,75,64,72,67,77,2,2000000
Wade Flaherty,146,,CAN,53,65,72,68,68,80,74,69,3,500000
Barry Smith,147,,USA,60,43,43,66,68,45,46,52,3,500000
Jay Leach,149,Penguins,USA,41,72,74,71,73,64,59,84,1,800000
Marco Sturm,150,,DEU,42,64,70,61,71,63,59,83,3,500000
Steve McCarthy,152,,CAN,40,37,54,40,40,47,35,42,1,500000
Kenny McCudden,153,,USA,59,65,71,62,73,89,83,57,1,500000
Rob Nardella,154,,ITA,53,37,67,59,60,47,35,51,1,500000
Jay Pandolfo,155,,USA,46,68,78,71,62,69,64,79,0,500000
Domenic Pittis,156,,CAN,46,42,36,34,53,47,35,41,1,500000
Rich Preston,157,,CAN,69,61,56,41,50,45,46,50,1,500000
Rob Zettler,158,,CAN,53,68,77,73,60,80,74,69,3,500000
Anders Sorensen,162,,SWE,46,37,67,59,60,47,35,51,3,500000
Daniel Jacob,163,,CAN,41,37,67,59,60,47,35,51,3,500000
D.J. Smith,164,IceHogs,CAN,43,88,80,82,81,65,60,82,3,1500000
Daniel Tkaczuk,166,,CAN,42,31,36,57,51,47,35,43,1,500000
Geoff Ward,167,Penguins,CAN,59,77,84,79,81,89,83,57,3,950000
Tom Ward,168,,USA,57,46,50,50,72,45,46,52,1,500000
Todd Woodcroft,170,,CAN,48,58,59,68,46,45,46,54,1,500000
Bob Woods,171,,CAN,53,63,71,73,68,80,74,69,1,500000
Scott Allen,172,,USA,51,65,68,46,71,45,46,57,1,500000
Dave Manson,173,,CAN,54,37,67,59,60,47,35,51,3,500000
Eric Boguniecki,174,,USA,42,37,67,59,60,47,35,51,1,500000
David Cunniff,176,,USA,47,43,51,55,42,47,35,46,1,500000
Kevin Dean,177,,USA,52,67,79,70,63,78,73,71,1,500000
Pat Ferschweiler,179,,USA,49,53,46,51,63,45,46,51,1,500000
Darby Hendrickson,180,,USA,48,62,70,72,67,72,67,77,1,500000
Phil Housley,181,Roadrunners,USA,57,67,73,64,71,86,80,61,1,750000
Ryan Murphy,184,,USA,36,37,67,59,60,47,35,51,1,500000
Toby Petersen,185,,USA,50,45,32,39,47,47,35,41,1,500000
Todd Reirden,186,Devils,USA,49,76,79,84,74,74,69,76,2,3000000
David Urquhart,187,,CAN,37,37,67,59,60,47,35,51,3,500000
Ben Simon,188,,USA,42,67,66,66,68,65,61,83,1,500000
Sergei Brylin,192,,RUS,44,37,67,59,60,47,35,51,1,500000
Nolan Baumgartner,193,,CAN,45,65,67,68,64,68,63,80,0,1000000
Ray Bennett,194,,CAN,58,63,78,77,67,87,81,59,1,500000
Rick Bowness,197,Sabres,CAN,66,83,92,81,87,99,92,43,3,1000000
Rob Brind'Amour,198,Blues,CAN,47,90,91,77,90,66,64,80,3,3000000
Newell Brown,199,,CAN,59,66,68,67,63,89,83,57,0,1500000
Trent Cull,201,Canucks,CAN,47,68,65,72,67,73,68,78,2,750000
Blaine Forsythe,203,,CAN,45,67,69,75,62,68,63,80,1,500000
Gerald Gallant,204,Stars,CAN,54,97,85,80,93,79,67,84,1,3250000
David Oliver,205,,CAN,49,63,67,70,58,74,69,76,3,500000
Chris Hajt,207,,CAN,40,46,50,50,72,45,46,52,1,500000
Jim Hiller,208,,CAN,51,70,76,64,69,77,71,73,1,500000
Doug Houda,209,,CAN,54,65,65,61,69,81,76,67,3,500000
Charlie Huddy,210,,CAN,61,67,74,70,70,92,85,53,0,850000
Mike Kelly,214,Griffins,CAN,59,73,64,60,70,45,46,60,2,775000
Derek King,215,,CAN,54,68,64,63,68,84,78,67,1,500000
Jason King,216,,CAN,36,60,34,45,49,47,35,45,1,500000
Geordie Kinnear,217,,CAN,44,77,65,35,77,53,38,57,1,500000
Greg Rallo,218,,USA,40,37,67,59,60,47,35,51,3,500000
John Madden,221,,CAN,48,67,63,62,65,72,67,77,1,500000
Kevin McCarthy,222,,CAN,63,68,72,76,65,95,88,49,1,500000
Mark Morrison,223,,CAN,58,67,68,62,64,87,81,59,1,500000
Gord Murphy,225,,CAN,52,54,44,57,52,45,46,50,1,500000
Alain Nasreddine,226,,CAN,45,70,71,70,75,68,63,80,0,500000
Nolan Pratt,229,Senators,CAN,45,62,77,76,66,68,63,80,3,700000
Greg Brown,230,,USA,53,64,68,71,59,80,74,69,3,500000
Scott Stevens,231,,CAN,53,30,30,30,30,30,30,30,1,500000
Darryl Sydor,233,Eagles,CAN,44,50,68,59,66,45,46,56,1,600000
Brad Tapper,234,,CAN,41,37,67,59,60,47,35,51,0,500000
Chris Taylor,235,Thunderbirds,CAN,49,60,66,64,73,74,69,76,2,700000
Karl Taylor,236,,CAN,48,75,56,56,67,49,41,57,1,500000
Pascal Vincent,238,Wolf Pack,CAN,49,67,68,66,69,76,71,76,2,900000
Trent Whitfield,239,,CAN,42,51,64,65,44,47,35,51,1,500000
Marty Wilford,240,,CAN,43,66,67,61,63,65,60,82,1,500000
Jay Woodcroft,243,,CAN,44,65,66,69,70,68,64,81,0,950000
Cail MacLean,244,,CAN,44,69,66,68,66,68,64,81,3,100000
David Bell,245,,CAN,44,37,67,59,60,47,35,51,3,100000
Sheldon Brookbank,246,Moose,CAN,40,67,66,68,71,60,56,85,3,850000
Brett McLean,247,,CAN,42,61,71,71,64,63,59,83,3,100000
Gary Agnew,248,,CAN,61,37,67,59,60,47,35,51,3,100000
Joey Mormina,249,,CAN,39,57,57,49,45,47,35,48,3,100000
Paul Boutilier,251,,CAN,57,32,48,52,32,47,35,41,3,100000
Sergei Gonchar,252,,RUS,46,74,59,68,59,45,46,59,3,600000
Ulf Samuelsson,253,,SWE,57,69,75,76,62,86,80,61,3,400000
Joe Sacco,254,,USA,52,69,80,72,64,78,73,71,3,600000
Mike Vellucci,255,Comets,USA,54,68,70,69,70,81,76,67,2,800000
Dan Muse,257,,USA,39,45,72,55,58,45,46,54,3,400000
Don Granato,258,,USA,53,71,72,71,81,80,74,69,3,400000
Ken Klee,259,,USA,50,37,67,59,60,47,35,51,3,100000
Tim Army,260,Phantoms,USA,57,74,67,70,61,88,83,61,3,725000
J.D. Forrest,261,,USA,40,61,61,67,74,62,58,85,3,100000
Jean-Francois Houle,264,,CAN,46,37,67,59,60,47,35,51,3,500000
Jimmy Bonneau,265,,CAN,36,37,67,59,60,47,35,51,3,500000
Joe Cirella,266,,CAN,58,37,67,59,60,47,35,51,3,500000
Patrick Wellar,267,,CAN,38,50,53,64,57,47,35,51,3,500000
Rob Davidson,268,,CAN,44,37,67,59,60,47,35,51,3,500000
Ryan Parent,269,,CAN,34,45,62,62,52,47,35,51,3,500000
Ryan Tobler,270,,CAN,45,37,67,59,60,47,35,51,3,500000
Aaron Schneekloth,271,,CAN,43,59,45,59,55,47,35,50,3,500000
Mike Grier,272,,USA,46,64,47,47,50,45,46,50,3,500000
Marty Johnston,273,,CAN,43,53,39,60,62,47,35,49,3,500000
Jarrod Skalde,274,,CAN,50,67,48,50,30,47,35,46,3,500000
Matt MacDonald,275,,CAN,38,48,58,43,43,47,35,46,3,500000
Gilles Bouchard,276,,CAN,50,51,40,62,31,47,35,44,3,500000
Bob Jones,277,,CAN,51,71,64,63,65,77,71,73,3,500000
Ryan Warsofsky,278,,USA,33,73,70,74,62,51,48,92,3,500000
Jaroslav Modry,279,,CZE,50,63,30,37,39,47,35,42,3,500000
Mike Chiasson,280,,USA,30,40,31,42,37,47,35,39,3,500000
Bob Murray,281,,CAN,66,81,74,55,67,64,60,67,3,3200000
Jeff Daniels,282,,CAN,52,65,77,72,69,78,73,71,3,1800000
Mark Dennehy,283,Checkers,USA,53,63,64,64,72,82,77,69,1,600000
Jim Montgomery,284,Wolves,CAN,51,75,83,74,76,77,71,73,1,800000
Drew Bannister,285,,CAN,47,37,42,67,60,49,36,48,3,500000
Jay Varady,286,,USA,43,66,69,67,70,65,60,82,3,500000
Dean Chynoweth,287,,CAN,52,64,76,71,68,78,73,71,3,1800000
A.J. MacLean,289,,CAN,36,37,43,54,63,47,35,47,3,500000
