Day,Visitor Team #,Visitor Team,Home Team #,Home Team,Visitor Team #,Visitor Team,Home Team #,Home Team
5,24,Pittsburgh Penguins,18,New Jersey Devils ,5,Abbotsford Heat,28,Toronto Marlies
5,1,Anaheim Ducks,25,St.Louis Blues ,-,-,-,-
5,21,Ottawa Senators,30,Washington Capitals ,-,-,-,-
5,8,Colorado Avalanche,22,Philadelphia Flyers ,-,-,-,-
5,7,Chicago Blackhawks,4,Buffalo Sabres ,-,-,-,-
5,13,Florida Panthers,29,Vancouver Canucks ,-,-,-,-
6,8,Colorado Avalanche,11,Detroit Red Wings ,22,Adirondack Phantoms,24,Wilkes-Barre/Scranton Penguins
6,2,Atlanta Thrashers,14,Los Angeles Kings ,7,Rockford IceHogs,25,Peoria Rivermen
7,19,New York Islanders,30,Washington Capitals ,3,Providence Bruins,28,Toronto Marlies
7,18,New Jersey Devils,4,Buffalo Sabres ,4,Portland Pirates,16,Hamilton Bulldogs
7,28,Toronto Maple Leafs,24,Pittsburgh Penguins ,21,Binghampton Senators,19,Bridgeport Sound Tigers
7,27,Tampa Bay Lightning,16,Montreal Canadiens ,24,Wilkes-Barre/Scranton Penguins,18,Albany Devils
7,17,Nashville Predators,7,Chicago Blackhawks ,22,Adirondack Phantoms,20,Hartford Wolf Pack
7,29,Vancouver Canucks,1,Anaheim Ducks ,-,-,-,-
8,27,Tampa Bay Lightning,22,Philadelphia Flyers ,-,-,-,-
8,6,Carolina Hurricanes,21,Ottawa Senators ,-,-,-,-
8,25,St. Louis Blues,17,Nashville Predators ,-,-,-,-
8,12,Edmonton Oilers,15,Minnesota Wild ,-,-,-,-
8,11,Detroit Red Wings,10,Dallas Stars ,-,-,-,-
8,13,Florida Panthers,5,Calgary Flames ,-,-,-,-
9,28,Toronto Maple Leafs,20,New York Rangers ,20,Hartford Wolf Pack,18,Albany Devils
9,19,New York Islanders,24,Pittsburgh Penguins ,24,Wilkes-Barre/Scranton Penguins,6,Charlotte Checkers
9,8,Colorado Avalanche,18,New Jersey Devils ,19,Bridgeport Sound Tigers,4,Portland Pirates
9,7,Chicago Blackhawks,9,Columbus Blue Jackets ,30,Hershey Bears,21,Binghampton Senators
9,16,Montreal Canadiens,4,Buffalo Sabres ,9,Springfield Falcons,3,Providence Bruins
9,2,Atlanta Thrashers,1,Anaheim Ducks ,1,Syracuse Crunch,22,Adirondack Phantoms
9,29,Vancouver Canucks,14,Los Angeles Kings ,26,Worcester Sharks,27,Norfolk Admirals
9,-,-,-,-,16,Hamilton Bulldogs,13,Rochester Americans
9,-,-,-,-,2,Chicago Wolves,17,Milwaukee Admirals
9,-,-,-,-,25,Peoria Rivermen,23,San Antonio Rampage
9,-,-,-,-,15,Houston Aeros,12,Oklahoma City Barons
9,-,-,-,-,11,Grand Rapids Griffins,29,Manitoba Moose
9,-,-,-,-,7,Rockford IceHogs,5,Abbotsford Heat
10,21,Ottawa Senators,16,Montreal Canadiens ,28,Toronto Marlies,16,Hamilton Bulldogs
10,27,Tampa Bay Lightning,13,Florida Panthers ,18,Albany Devils,22,Adirondack Phantoms
10,24,Pittsburgh Penguins,22,Philadelphia Flyers ,20,Hartford Wolf Pack,19,Bridgeport Sound Tigers
10,3,Boston Bruins,18,New Jersey Devils ,13,Rochester Americans,30,Hershey Bears
10,8,Colorado Avalanche,19,New York Islanders ,3,Providence Bruins,14,Manchester Monarchs
10,30,Washington Capitals,17,Nashville Predators ,9,Springfield Falcons,4,Portland Pirates
10,9,Columbus Blue Jackets,15,Minnesota Wild ,26,Worcester Sharks,27,Norfolk Admirals
10,25,St. Louis Blues,10,Dallas Stars ,21,Binghampton Senators,1,Syracuse Crunch
10,4,Buffalo Sabres,7,Chicago Blackhawks ,17,Milwaukee Admirals,2,Chicago Wolves
10,11,Detroit Red Wings,23,Phoenix Coyotes ,23,San Antonio Rampage,10,Dallas Stars
10,12,Edmonton Oilers,5,Calgary Flames ,8,Lake Erie Monsters,12,Oklahoma City Barons
10,2,Atlanta Thrashers,26,San Jose Sharks ,11,Grand Rapids Griffins,29,Manitoba Moose
10,-,-,-,-,25,Peoria Rivermen,15,Houston Aeros
10,-,-,-,-,7,Rockford IceHogs,5,Abbotsford Heat
11,23,Phoenix Coyotes,1,Anaheim Ducks ,21,Binghampton Senators,28,Toronto Marlies
11,6,Carolina Hurricanes,29,Vancouver Canucks ,4,Portland Pirates,19,Bridgeport Sound Tigers
11,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,6,Charlotte Checkers
11,-,-,-,-,9,Springfield Falcons,14,Manchester Monarchs
11,-,-,-,-,20,Hartford Wolf Pack,3,Providence Bruins
11,-,-,-,-,12,Oklahoma City Barons,15,Houston Aeros
11,-,-,-,-,22,Adirondack Phantoms,13,Rochester Americans
11,-,-,-,-,8,Lake Erie Monsters,23,San Antonio Rampage
11,-,-,-,-,25,Peoria Rivermen,10,Dallas Stars
12,21,Ottawa Senators,24,Pittsburgh Penguins ,-,-,-,-
12,8,Colorado Avalanche,20,New York Rangers ,-,-,-,-
12,19,New York Islanders,28,Toronto Maple Leafs ,-,-,-,-
12,10,Dallas Stars,27,Tampa Bay Lightning ,-,-,-,-
12,25,St. Louis Blues,7,Chicago Blackhawks ,-,-,-,-
13,3,Boston Bruins,30,Washington Capitals ,14,Manchester Monarchs,4,Portland Pirates
13,5,Calgary Flames,17,Nashville Predators ,13,Rochester Americans,16,Hamilton Bulldogs
13,29,Vancouver Canucks,15,Minnesota Wild ,8,Lake Erie Monsters,12,Oklahoma City Barons
13,6,Carolina Hurricanes,26,San Jose Sharks ,-,-,-,-
14,1,Anaheim Ducks,9,Columbus Blue Jackets ,6,Charlotte Checkers,18,Albany Devils
14,4,Buffalo Sabres,2,Atlanta Thrashers ,27,Norfolk Admirals,20,Hartford Wolf Pack
14,29,Vancouver Canucks,7,Chicago Blackhawks ,5,Abbotsford Heat,2,Chicago Wolves
14,6,Carolina Hurricanes,14,Los Angeles Kings ,8,Lake Erie Monsters,23,San Antonio Rampage
15,20,New York Rangers,28,Toronto Maple Leafs ,16,Hamilton Bulldogs,29,Manitoba Moose
15,30,Washington Capitals,3,Boston Bruins ,-,-,-,-
15,1,Anaheim Ducks,22,Philadelphia Flyers ,-,-,-,-
15,5,Calgary Flames,11,Detroit Red Wings ,-,-,-,-
15,18,New Jersey Devils,16,Montreal Canadiens ,-,-,-,-
15,19,New York Islanders,27,Tampa Bay Lightning ,-,-,-,-
15,10,Dallas Stars,13,Florida Panthers ,-,-,-,-
15,24,Pittsburgh Penguins,17,Nashville Predators ,-,-,-,-
15,26,San Jose Sharks,8,Colorado Avalanche ,-,-,-,-
15,15,Minnesota Wild,12,Edmonton Oilers ,-,-,-,-
15,14,Los Angeles Kings,23,Phoenix Coyotes ,-,-,-,-
16,5,Calgary Flames,9,Columbus Blue Jackets ,17,Milwaukee Admirals,11,Grand Rapids Griffins
16,27,Tampa Bay Lightning,2,Atlanta Thrashers ,21,Binghampton Senators,20,Hartford Wolf Pack
16,21,Ottawa Senators,4,Buffalo Sabres ,19,Bridgeport Sound Tigers,14,Manchester Monarchs
16,7,Chicago Blackhawks,25,St.Louis Blues ,30,Hershey Bears,24,Wilkes-Barre/Scranton Penguins
16,15,Minnesota Wild,29,Vancouver Canucks ,6,Charlotte Checkers,22,Adirondack Phantoms
16,-,-,-,-,4,Portland Pirates,9,Springfield Falcons
16,-,-,-,-,27,Norfolk Admirals,1,Syracuse Crunch
16,-,-,-,-,23,San Antonio Rampage,12,Oklahoma City Barons
16,-,-,-,-,5,Abbotsford Heat,7,Rockford IceHogs
16,-,-,-,-,16,Hamilton Bulldogs,29,Manitoba Moose
16,-,-,-,-,8,Lake Erie Monsters,10,Dallas Stars
16,-,-,-,-,25,Peoria Rivermen,15,Houston Aeros
17,28,Toronto Maple Leafs,22,Philadelphia Flyers ,12,Oklahoma City Barons,28,Toronto Marlies
17,4,Buffalo Sabres,18,New Jersey Devils ,27,Norfolk Admirals,18,Albany Devils
17,2,Atlanta Thrashers,30,Washington Capitals ,1,Syracuse Crunch,20,Hartford Wolf Pack
17,20,New York Rangers,3,Boston Bruins ,22,Adirondack Phantoms,30,Hershey Bears
17,19,New York Islanders,13,Florida Panthers ,19,Bridgeport Sound Tigers,4,Portland Pirates
17,16,Montreal Canadiens,21,Ottawa Senators ,14,Manchester Monarchs,9,Springfield Falcons
17,1,Anaheim Ducks,11,Detroit Red Wings ,3,Providence Bruins,26,Worcester Sharks
17,17,Nashville Predators,10,Dallas Stars ,21,Binghampton Senators,24,Wilkes-Barre/Scranton Penguins
17,24,Pittsburgh Penguins,25,St.Louis Blues ,11,Grand Rapids Griffins,13,Rochester Americans
17,9,Columbus Blue Jackets,7,Chicago Blackhawks ,5,Abbotsford Heat,17,Milwaukee Admirals
17,14,Los Angeles Kings,8,Colorado Avalanche ,15,Houston Aeros,23,San Antonio Rampage
17,6,Carolina Hurricanes,23,Phoenix Coyotes ,25,Peoria Rivermen,10,Dallas Stars
17,26,San Jose Sharks,12,Edmonton Oilers ,2,Chicago Wolves,7,Rockford IceHogs
18,17,Nashville Predators,27,Tampa Bay Lightning ,12,Oklahoma City Barons,16,Hamilton Bulldogs
18,18,New Jersey Devils,20,New York Rangers ,6,Charlotte Checkers,14,Manchester Monarchs
18,26,San Jose Sharks,5,Calgary Flames ,27,Norfolk Admirals,26,Worcester Sharks
18,-,-,-,-,17,Milwaukee Admirals,2,Chicago Wolves
18,-,-,-,-,25,Peoria Rivermen,23,San Antonio Rampage
18,-,-,-,-,22,Adirondack Phantoms,30,Hershey Bears
18,-,-,-,-,8,Lake Erie Monsters,15,Houston Aeros
18,-,-,-,-,11,Grand Rapids Griffins,28,Toronto Marlies
19,22,Philadelphia Flyers,9,Columbus Blue Jackets ,13,Rochester Americans,5,Abbotsford Heat
19,23,Phoenix Coyotes,16,Montreal Canadiens ,-,-,-,-
19,14,Los Angeles Kings,15,Minnesota Wild ,-,-,-,-
20,13,Florida Panthers,28,Toronto Maple Leafs ,25,Peoria Rivermen,10,Dallas Stars
20,4,Buffalo Sabres,22,Philadelphia Flyers ,13,Rochester Americans,5,Abbotsford Heat
20,23,Phoenix Coyotes,21,Ottawa Senators ,-,-,-,-
20,12,Edmonton Oilers,5,Calgary Flames ,-,-,-,-
20,1,Anaheim Ducks,10,Dallas Stars ,-,-,-,-
20,8,Colorado Avalanche,29,Vancouver Canucks ,-,-,-,-
21,2,Atlanta Thrashers,20,New York Rangers ,1,Syracuse Crunch,16,Hamilton Bulldogs
21,30,Washington Capitals,6,Carolina Hurricanes ,18,Albany Devils,20,Hartford Wolf Pack
21,19,New York Islanders,16,Montreal Canadiens ,10,Dallas Stars,7,Rockford IceHogs
21,24,Pittsburgh Penguins,27,Tampa Bay Lightning ,12,Oklahoma City Barons,2,Chicago Wolves
21,14,Los Angeles Kings,7,Chicago Blackhawks ,-,-,-,-
21,18,New Jersey Devils,26,San Jose Sharks ,-,-,-,-
22,28,Toronto Maple Leafs,3,Boston Bruins ,10,Dallas Stars,2,Chicago Wolves
22,23,Phoenix Coyotes,11,Detroit Red Wings ,-,-,-,-
22,12,Edmonton Oilers,9,Columbus Blue Jackets ,-,-,-,-
22,13,Florida Panthers,21,Ottawa Senators ,-,-,-,-
22,25,St. Louis Blues,17,Nashville Predators ,-,-,-,-
22,30,Washington Capitals,15,Minnesota Wild ,-,-,-,-
22,14,Los Angeles Kings,10,Dallas Stars ,-,-,-,-
22,8,Colorado Avalanche,5,Calgary Flames ,-,-,-,-
23,6,Carolina Hurricanes,20,New York Rangers ,12,Oklahoma City Barons,11,Grand Rapids Griffins
23,22,Philadelphia Flyers,24,Pittsburgh Penguins ,28,Toronto Marlies,16,Hamilton Bulldogs
23,16,Montreal Canadiens,19,New York Islanders ,9,Springfield Falcons,20,Hartford Wolf Pack
23,4,Buffalo Sabres,2,Atlanta Thrashers ,19,Bridgeport Sound Tigers,14,Manchester Monarchs
23,12,Edmonton Oilers,7,Chicago Blackhawks ,6,Charlotte Checkers,21,Binghampton Senators
23,18,New Jersey Devils,1,Anaheim Ducks ,18,Albany Devils,3,Providence Bruins
23,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,22,Adirondack Phantoms
23,-,-,-,-,29,Manitoba Moose,8,Lake Erie Monsters
23,-,-,-,-,4,Portland Pirates,27,Norfolk Admirals
23,-,-,-,-,30,Hershey Bears,1,Syracuse Crunch
23,-,-,-,-,13,Rochester Americans,26,Worcester Sharks
23,-,-,-,-,15,Houston Aeros,23,San Antonio Rampage
23,-,-,-,-,17,Milwaukee Admirals,5,Abbotsford Heat
24,3,Boston Bruins,21,Ottawa Senators ,3,Providence Bruins,26,Worcester Sharks
24,17,Nashville Predators,11,Detroit Red Wings ,8,Lake Erie Monsters,28,Toronto Marlies
24,20,New York Rangers,28,Toronto Maple Leafs ,13,Rochester Americans,22,Adirondack Phantoms
24,13,Florida Panthers,16,Montreal Canadiens ,14,Manchester Monarchs,19,Bridgeport Sound Tigers
24,24,Pittsburgh Penguins,6,Carolina Hurricanes ,29,Manitoba Moose,11,Grand Rapids Griffins
24,19,New York Islanders,22,Philadelphia Flyers ,24,Wilkes-Barre/Scranton Penguins,30,Hershey Bears
24,4,Buffalo Sabres,10,Dallas Stars ,20,Hartford Wolf Pack,9,Springfield Falcons
24,2,Atlanta Thrashers,25,St.Louis Blues ,6,Charlotte Checkers,21,Binghampton Senators
24,7,Chicago Blackhawks,15,Minnesota Wild ,4,Portland Pirates,27,Norfolk Admirals
24,27,Tampa Bay Lightning,23,Phoenix Coyotes ,18,Albany Devils,1,Syracuse Crunch
24,9,Columbus Blue Jackets,8,Colorado Avalanche ,7,Rockford IceHogs,2,Chicago Wolves
24,30,Washington Capitals,5,Calgary Flames ,15,Houston Aeros,10,Dallas Stars
24,18,New Jersey Devils,14,Los Angeles Kings ,12,Oklahoma City Barons,25,Peoria Rivermen
24,1,Anaheim Ducks,26,San Jose Sharks ,17,Milwaukee Admirals,5,Abbotsford Heat
25,-,-,-,-,26,Worcester Sharks,3,Providence Bruins
25,-,-,-,-,29,Manitoba Moose,8,Lake Erie Monsters
25,-,-,-,-,14,Manchester Monarchs,30,Hershey Bears
25,-,-,-,-,10,Dallas Stars,15,Houston Aeros
26,7,Chicago Blackhawks,20,New York Rangers ,-,-,-,-
26,6,Carolina Hurricanes,22,Philadelphia Flyers ,-,-,-,-
26,18,New Jersey Devils,29,Vancouver Canucks ,-,-,-,-
27,16,Montreal Canadiens,9,Columbus Blue Jackets ,4,Portland Pirates,6,Charlotte Checkers
27,21,Ottawa Senators,28,Toronto Maple Leafs ,29,Manitoba Moose,16,Hamilton Bulldogs
27,26,San Jose Sharks,15,Minnesota Wild ,-,-,-,-
27,29,Vancouver Canucks,12,Edmonton Oilers ,-,-,-,-
28,3,Boston Bruins,4,Buffalo Sabres ,9,Springfield Falcons,19,Bridgeport Sound Tigers
28,19,New York Islanders,6,Carolina Hurricanes ,4,Portland Pirates,6,Charlotte Checkers
28,28,Toronto Maple Leafs,30,Washington Capitals ,29,Manitoba Moose,16,Hamilton Bulldogs
28,2,Atlanta Thrashers,13,Florida Panthers ,14,Manchester Monarchs,20,Hartford Wolf Pack
28,24,Pittsburgh Penguins,10,Dallas Stars ,7,Rockford IceHogs,17,Milwaukee Admirals
28,18,New Jersey Devils,7,Chicago Blackhawks ,28,Toronto Marlies,23,San Antonio Rampage
28,11,Detroit Red Wings,5,Calgary Flames ,-,-,-,-
28,27,Tampa Bay Lightning,1,Anaheim Ducks ,-,-,-,-
28,17,Nashville Predators,23,Phoenix Coyotes ,-,-,-,-
29,9,Columbus Blue Jackets,2,Atlanta Thrashers ,-,-,-,-
29,20,New York Rangers,22,Philadelphia Flyers ,-,-,-,-
29,19,New York Islanders,21,Ottawa Senators ,-,-,-,-
29,26,San Jose Sharks,25,St.Louis Blues ,-,-,-,-
29,29,Vancouver Canucks,8,Colorado Avalanche ,-,-,-,-
29,27,Tampa Bay Lightning,14,Los Angeles Kings ,-,-,-,-
30,20,New York Rangers,18,New Jersey Devils ,27,Norfolk Admirals,6,Charlotte Checkers
30,3,Boston Bruins,30,Washington Capitals ,29,Manitoba Moose,11,Grand Rapids Griffins
30,6,Carolina Hurricanes,13,Florida Panthers ,20,Hartford Wolf Pack,14,Manchester Monarchs
30,16,Montreal Canadiens,4,Buffalo Sabres ,19,Bridgeport Sound Tigers,3,Providence Bruins
30,5,Calgary Flames,15,Minnesota Wild ,21,Binghampton Senators,16,Hamilton Bulldogs
30,23,Phoenix Coyotes,10,Dallas Stars ,2,Chicago Wolves,8,Lake Erie Monsters
30,11,Detroit Red Wings,12,Edmonton Oilers ,22,Adirondack Phantoms,4,Portland Pirates
30,24,Pittsburgh Penguins,1,Anaheim Ducks ,1,Syracuse Crunch,9,Springfield Falcons
30,-,-,-,-,18,Albany Devils,26,Worcester Sharks
30,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,13,Rochester Americans
30,-,-,-,-,25,Peoria Rivermen,17,Milwaukee Admirals
30,-,-,-,-,10,Dallas Stars,12,Oklahoma City Barons
30,-,-,-,-,28,Toronto Marlies,15,Houston Aeros
30,-,-,-,-,23,San Antonio Rampage,5,Abbotsford Heat
31,17,Nashville Predators,14,Los Angeles Kings ,13,Rochester Americans,18,Albany Devils
31,22,Philadelphia Flyers,19,New York Islanders ,20,Hartford Wolf Pack,19,Bridgeport Sound Tigers
31,21,Ottawa Senators,16,Montreal Canadiens ,2,Chicago Wolves,11,Grand Rapids Griffins
31,25,St. Louis Blues,3,Boston Bruins ,3,Providence Bruins,4,Portland Pirates
31,7,Chicago Blackhawks,2,Atlanta Thrashers ,14,Manchester Monarchs,26,Worcester Sharks
31,15,Minnesota Wild,9,Columbus Blue Jackets ,22,Adirondack Phantoms,21,Binghampton Senators
31,13,Florida Panthers,6,Carolina Hurricanes ,1,Syracuse Crunch,24,Wilkes-Barre/Scranton Penguins
31,4,Buffalo Sabres,28,Toronto Maple Leafs ,6,Charlotte Checkers,27,Norfolk Admirals
31,24,Pittsburgh Penguins,23,Phoenix Coyotes ,28,Toronto Marlies,10,Dallas Stars
31,10,Dallas Stars,8,Colorado Avalanche ,15,Houston Aeros,12,Oklahoma City Barons
31,11,Detroit Red Wings,29,Vancouver Canucks ,29,Manitoba Moose,7,Rockford IceHogs
31,27,Tampa Bay Lightning,26,San Jose Sharks ,23,San Antonio Rampage,5,Abbotsford Heat
32,22,Philadelphia Flyers,30,Washington Capitals ,30,Hershey Bears,6,Charlotte Checkers
32,25,St. Louis Blues,20,New York Rangers ,3,Providence Bruins,18,Albany Devils
32,12,Edmonton Oilers,7,Chicago Blackhawks ,11,Grand Rapids Griffins,8,Lake Erie Monsters
32,17,Nashville Predators,1,Anaheim Ducks ,2,Chicago Wolves,17,Milwaukee Admirals
32,-,-,-,-,1,Syracuse Crunch,21,Binghampton Senators
32,-,-,-,-,7,Rockford IceHogs,25,Peoria Rivermen
32,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,13,Rochester Americans
32,-,-,-,-,28,Toronto Marlies,12,Oklahoma City Barons
32,-,-,-,-,19,Bridgeport Sound Tigers,20,Hartford Wolf Pack
33,23,Phoenix Coyotes,11,Detroit Red Wings ,15,Houston Aeros,5,Abbotsford Heat
34,12,Edmonton Oilers,6,Carolina Hurricanes ,30,Hershey Bears,6,Charlotte Checkers
34,2,Atlanta Thrashers,21,Ottawa Senators ,28,Toronto Marlies,20,Hartford Wolf Pack
34,30,Washington Capitals,20,New York Rangers ,25,Peoria Rivermen,7,Rockford IceHogs
34,29,Vancouver Canucks,16,Montreal Canadiens ,23,San Antonio Rampage,12,Oklahoma City Barons
34,28,Toronto Maple Leafs,27,Tampa Bay Lightning ,15,Houston Aeros,5,Abbotsford Heat
34,5,Calgary Flames,8,Colorado Avalanche ,-,-,-,-
34,1,Anaheim Ducks,26,San Jose Sharks ,-,-,-,-
35,25,St. Louis Blues,9,Columbus Blue Jackets ,16,Hamilton Bulldogs,8,Lake Erie Monsters
35,4,Buffalo Sabres,18,New Jersey Devils ,17,Milwaukee Admirals,11,Grand Rapids Griffins
35,3,Boston Bruins,24,Pittsburgh Penguins ,2,Chicago Wolves,10,Dallas Stars
35,28,Toronto Maple Leafs,13,Florida Panthers ,27,Norfolk Admirals,18,Albany Devils
35,23,Phoenix Coyotes,7,Chicago Blackhawks ,4,Portland Pirates,9,Springfield Falcons
35,19,New York Islanders,1,Anaheim Ducks ,13,Rochester Americans,21,Binghampton Senators
36,12,Edmonton Oilers,11,Detroit Red Wings ,28,Toronto Marlies,22,Adirondack Phantoms
36,27,Tampa Bay Lightning,30,Washington Capitals ,19,Bridgeport Sound Tigers,6,Charlotte Checkers
36,16,Montreal Canadiens,3,Boston Bruins ,7,Rockford IceHogs,23,San Antonio Rampage
36,22,Philadelphia Flyers,6,Carolina Hurricanes ,-,-,-,-
36,15,Minnesota Wild,2,Atlanta Thrashers ,-,-,-,-
36,4,Buffalo Sabres,20,New York Rangers ,-,-,-,-
36,29,Vancouver Canucks,21,Ottawa Senators ,-,-,-,-
36,17,Nashville Predators,25,St.Louis Blues ,-,-,-,-
36,19,New York Islanders,26,San Jose Sharks ,-,-,-,-
36,10,Dallas Stars,14,Los Angeles Kings ,-,-,-,-
37,8,Colorado Avalanche,9,Columbus Blue Jackets ,1,Syracuse Crunch,18,Albany Devils
37,12,Edmonton Oilers,18,New Jersey Devils ,19,Bridgeport Sound Tigers,6,Charlotte Checkers
37,27,Tampa Bay Lightning,24,Pittsburgh Penguins ,28,Toronto Marlies,30,Hershey Bears
37,15,Minnesota Wild,13,Florida Panthers ,26,Worcester Sharks,14,Manchester Monarchs
37,5,Calgary Flames,23,Phoenix Coyotes ,2,Chicago Wolves,12,Oklahoma City Barons
37,10,Dallas Stars,1,Anaheim Ducks ,5,Abbotsford Heat,3,Providence Bruins
37,-,-,-,-,21,Binghampton Senators,24,Wilkes-Barre/Scranton Penguins
37,-,-,-,-,27,Norfolk Admirals,22,Adirondack Phantoms
37,-,-,-,-,17,Milwaukee Admirals,8,Lake Erie Monsters
37,-,-,-,-,7,Rockford IceHogs,23,San Antonio Rampage
37,-,-,-,-,13,Rochester Americans,29,Manitoba Moose
38,13,Florida Panthers,22,Philadelphia Flyers ,17,Milwaukee Admirals,8,Lake Erie Monsters
38,24,Pittsburgh Penguins,2,Atlanta Thrashers ,11,Grand Rapids Griffins,16,Hamilton Bulldogs
38,29,Vancouver Canucks,28,Toronto Maple Leafs ,5,Abbotsford Heat,22,Adirondack Phantoms
38,6,Carolina Hurricanes,16,Montreal Canadiens ,27,Norfolk Admirals,19,Bridgeport Sound Tigers
38,8,Colorado Avalanche,11,Detroit Red Wings ,9,Springfield Falcons,20,Hartford Wolf Pack
38,30,Washington Capitals,4,Buffalo Sabres ,3,Providence Bruins,14,Manchester Monarchs
38,21,Ottawa Senators,3,Boston Bruins ,18,Albany Devils,4,Portland Pirates
38,7,Chicago Blackhawks,17,Nashville Predators ,24,Wilkes-Barre/Scranton Penguins,26,Worcester Sharks
38,25,St. Louis Blues,23,Phoenix Coyotes ,28,Toronto Marlies,21,Binghampton Senators
38,5,Calgary Flames,26,San Jose Sharks ,30,Hershey Bears,1,Syracuse Crunch
38,19,New York Islanders,14,Los Angeles Kings ,15,Houston Aeros,25,Peoria Rivermen
38,-,-,-,-,13,Rochester Americans,29,Manitoba Moose
39,12,Edmonton Oilers,20,New York Rangers ,9,Springfield Falcons,14,Manchester Monarchs
39,2,Atlanta Thrashers,30,Washington Capitals ,27,Norfolk Admirals,26,Worcester Sharks
39,15,Minnesota Wild,27,Tampa Bay Lightning ,11,Grand Rapids Griffins,16,Hamilton Bulldogs
39,1,Anaheim Ducks,7,Chicago Blackhawks ,2,Chicago Wolves,23,San Antonio Rampage
39,-,-,-,-,15,Houston Aeros,25,Peoria Rivermen
39,-,-,-,-,5,Abbotsford Heat,3,Providence Bruins
39,-,-,-,-,21,Binghampton Senators,30,Hershey Bears
40,21,Ottawa Senators,22,Philadelphia Flyers ,27,Norfolk Admirals,13,Rochester Americans
40,29,Vancouver Canucks,4,Buffalo Sabres ,2,Chicago Wolves,6,Charlotte Checkers
40,18,New Jersey Devils,3,Boston Bruins ,30,Hershey Bears,7,Rockford IceHogs
40,20,New York Rangers,24,Pittsburgh Penguins ,25,Peoria Rivermen,9,Springfield Falcons
40,25,St. Louis Blues,8,Colorado Avalanche ,17,Milwaukee Admirals,11,Grand Rapids Griffins
40,14,Los Angeles Kings,26,San Jose Sharks ,-,-,-,-
41,17,Nashville Predators,28,Toronto Maple Leafs ,24,Wilkes-Barre/Scranton Penguins,18,Albany Devils
41,22,Philadelphia Flyers,16,Montreal Canadiens ,28,Toronto Marlies,16,Hamilton Bulldogs
