Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
GrandRapid,GRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Springfield,SPF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rochester,ROC,68,26,22,13,9,0,0,0,0,0,92,97,9,3,6,0,0,0,0,0,32,39,166,37,155,29,1,879,783,228,269,304,295,11,30,29,31,2,0,92,168,260,448,623,389,442,192,839,942,409,0,
Manchester,MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Houston,HOU,0,2,5,1,4,0,0,0,0,0,15,18,2,1,1,0,0,0,0,0,9,9,44,4,41,7,0,202,207,61,57,86,53,6,6,5,4,0,0,15,27,42,97,139,114,110,45,230,238,82,0,
Hamilton,HAM,4,6,7,3,4,0,0,0,0,0,27,28,3,1,2,0,0,0,0,0,11,10,46,9,36,7,0,278,301,72,87,101,71,19,10,8,9,0,0,27,49,76,106,194,153,151,63,301,299,128,0,
Milwaukee,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lowell,LOW,48,2,5,1,4,0,0,0,0,0,20,26,3,0,3,0,0,0,0,0,12,18,38,9,38,10,0,184,231,54,73,50,53,8,5,10,4,1,0,20,33,53,91,128,106,105,43,229,205,104,0,
Bridgeport,BPT,77,18,15,9,6,0,0,0,0,0,58,55,8,3,5,0,0,0,0,0,29,34,102,16,90,22,2,495,475,143,167,146,162,20,26,15,15,2,0,58,101,159,241,351,304,329,150,535,577,257,0,
Hartford,HAR,21,8,10,4,6,0,0,0,0,0,41,42,5,3,2,0,0,0,0,0,23,16,67,22,78,14,1,394,398,116,146,116,127,5,17,13,11,0,0,41,78,119,186,316,192,181,76,433,414,165,0,
Binghamton,BNG,35,4,6,2,4,0,0,0,0,0,23,30,3,2,1,0,0,0,0,0,16,11,41,9,51,19,0,236,283,74,78,83,75,0,8,9,6,0,0,23,44,67,118,154,162,130,51,296,252,98,0,
Philly,PHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
San Ant.,SAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WB/Scrant.,WBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peoria,PEO,78,22,16,11,5,0,0,0,0,0,80,70,9,7,2,0,0,0,0,0,44,37,119,28,117,29,0,624,574,174,206,202,216,0,29,23,28,0,0,80,155,235,305,461,293,309,133,637,656,284,1,
Worcester,WOR,26,10,11,5,6,0,0,0,0,0,56,61,5,4,1,0,0,0,0,0,27,24,83,16,87,30,0,467,445,130,157,162,148,0,24,19,13,0,0,56,102,158,213,307,226,260,106,449,451,207,0,
Norfolk,NOR,16,4,6,2,4,0,0,0,0,0,22,21,3,0,3,0,0,0,0,0,9,12,45,9,35,6,0,201,177,48,48,59,72,22,4,7,11,0,0,22,37,59,94,162,103,115,48,218,240,101,0,
Toronto,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manitoba,MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hershey,HER,45,14,14,7,7,0,0,0,0,0,57,54,8,3,5,0,0,0,0,0,34,34,86,12,100,17,0,549,574,159,176,173,174,26,21,19,15,2,0,57,108,165,255,405,315,294,131,621,561,249,0,
