Name,Position,Country,Rookie,Age,Weight,Height,Contract,Salary,Stats 1,Stats 2,Stats 3,Stats 4,Stats 5,Stats 6,Stats 7,Stats 8,Stats 9,Stats 10,Stats 11,Stats 12,Stats 13,Stats 14
Jesse Boulerice,2,USA,N,32,215,74,1,550000,50,69,79,63,82,62,60,40,58,59,54,73,67,70
Dean McAmmond,2,CAN,N,37,193,71,1,1375000,54,40,84,72,71,76,66,73,66,64,73,85,74,15
Colin White,4,CAN,N,33,220,76,2,4500000,85,50,84,71,85,84,66,40,67,63,82,82,74,71
Patrice Bergeron,1,CAN,N,24,194,74,4,4400000,62,40,84,84,72,85,75,94,77,71,81,68,76,75
Devin Setoguchi,3,CAN,N,23,200,72,1,850000,84,42,88,84,75,85,74,42,71,76,65,64,59,55
Blair Jones,3,CAN,Y,23,216,75,2,500000,80,60,65,68,76,64,60,76,57,54,59,55,50,50
Mark Fistric,4,CAN,N,23,232,74,1,650000,93,60,79,59,91,76,63,40,65,61,74,69,63,45
Tyler Arnason,1,USA,N,31,204,71,0,865000,50,40,80,73,77,81,62,72,64,63,61,70,72,15
Nicklas Grossman,4,SWE,N,24,206,75,1,800000,92,42,81,67,78,82,60,40,63,61,74,69,62,75
Brian Boyle,1,USA,N,25,252,79,1,750000,91,62,81,67,99,75,60,64,60,61,67,62,63,60
Erik Cole,3,USA,N,32,205,74,4,4150000,93,52,74,84,77,87,69,43,63,72,69,74,73,45
Doug Weight,1,USA,N,39,196,71,1,1500000,54,40,79,78,73,78,74,74,76,64,62,96,79,25
Douglas Murray,4,SWE,N,30,240,75,2,1750000,97,48,76,66,95,83,65,40,66,63,86,68,81,50
Brendan Witt,4,CAN,N,35,223,74,1,1600000,88,61,70,70,86,78,60,40,64,59,74,85,87,5
Mathieu Dandenault,4,CAN,N,34,208,72,0,1500000,68,46,76,80,79,76,63,41,66,64,68,86,79,50
Michal Handzus,1,SVK,N,33,218,76,2,3500000,68,41,81,74,84,90,72,84,72,72,84,85,86,40
Anton Babchuk,4,CZE,N,26,234,77,4,1000000,63,45,78,73,78,75,68,40,68,72,64,69,62,50
Casey Borer,4,USA,Y,24,205,74,1,600000,78,40,74,64,77,78,60,40,58,59,66,60,60,10
Mark Recchi,3,CAN,N,42,195,70,1,3250000,71,40,82,76,72,86,73,43,73,72,62,98,96,55
Paul Martin,4,USA,N,29,195,73,3,4850000,63,40,86,78,72,91,77,40,80,70,84,74,71,45
Cal Clutterbuck,2,CAN,Y,22,213,71,1,550000,99,59,77,73,81,81,66,41,62,68,74,58,57,55
Ryan Stone,1,CAN,Y,26,207,74,1,550000,91,80,72,70,78,75,64,47,65,63,67,67,62,65
Stéphane Veilleux,3,CAN,N,28,190,72,1,750000,72,48,82,76,70,84,64,42,62,62,74,72,66,65
Fernando Pisani,2,CAN,N,34,205,73,1,2750000,78,40,86,75,77,79,64,52,64,64,76,76,84,45
Vyacheslav Kozlov,2,RUS,N,37,190,70,0,2250000,50,40,84,89,70,87,73,43,75,70,56,96,90,60
David Booth,2,USA,N,26,190,73,5,3250000,86,53,74,87,70,81,75,41,75,76,66,66,63,15
Triston Grant,2,CAN,N,27,190,74,2,500000,80,76,43,57,70,70,53,40,54,52,54,69,67,45
Cody Bass,1,CAN,Y,23,211,72,1,600000,91,58,73,65,80,64,60,57,58,59,61,64,59,50
Jake Dowell,1,USA,Y,25,197,72,1,525000,90,47,65,73,73,81,60,58,58,59,67,65,61,55
Daniel Cleary,3,CAN,N,32,210,72,2,2500000,84,48,82,77,80,79,72,74,72,70,74,64,69,55
Richard Park,2,KOR,N,33,190,71,0,1250000,55,40,85,91,70,85,70,85,72,65,80,89,71,50
Wayne Primeau,2,CAN,N,33,225,76,2,1250000,69,42,72,70,87,73,63,86,63,60,76,83,70,5
Adam Mair,1,CAN,N,31,208,73,3,650000,79,67,58,68,79,71,62,68,64,64,66,78,67,1
Anton Volchenkov,4,RUS,N,28,226,73,1,3300000,93,41,77,75,88,87,66,40,67,64,96,77,65,50
Derek Meech,4,CAN,N,26,197,71,2,510000,59,48,86,78,73,75,63,40,64,62,67,72,66,60
Jeff Giuliano,3,USA,N,31,205,69,0,500000,76,50,79,59,77,70,57,60,59,55,68,68,63,75
Dainius Zubrus,1,LTU,N,32,225,77,2,2500000,73,40,76,73,87,83,72,81,73,71,68,77,68,65
Chris Drury,1,USA,N,34,190,70,3,7000000,66,42,87,85,70,88,71,88,72,70,83,83,93,70
Andrew Peters,2,CAN,N,30,247,76,1,500000,70,99,73,64,98,77,60,40,61,59,62,69,75,30
Daniel Brière,3,CAN,N,33,179,70,4,6875500,51,40,66,94,59,78,78,75,77,78,57,85,91,45
Derek Roy,1,CAN,N,27,188,69,2,4500000,57,40,76,93,68,85,80,87,83,77,75,72,88,55
Dave Scatchard,3,CAN,N,34,210,75,1,550000,71,62,69,68,82,84,64,83,62,66,73,74,79,30
Marian Gaborik,3,SVK,N,28,199,73,1,7000000,62,41,81,99,74,86,90,41,86,94,66,80,79,45
Henrik Tallinder,4,SWE,N,31,214,75,3,3300000,61,40,83,68,82,84,67,40,70,64,83,73,68,1
Dan Paille,2,CAN,N,26,197,72,1,1050000,72,40,87,73,73,78,66,42,65,67,74,73,62,35
Sidney Crosby,1,CAN,N,22,200,71,2,8700000,63,44,67,98,75,92,97,93,93,97,66,67,89,55
Jochen Hecht,2,DEU,N,33,191,73,3,3100000,58,45,82,80,70,85,72,65,71,73,79,96,78,90
Marc-Andre Bergeron,4,CAN,N,30,198,69,2,1800000,63,40,85,78,74,79,77,40,77,76,61,76,72,50
Daniel Carcillo,2,CAN,N,25,205,72,1,800000,90,99,68,71,77,79,66,41,65,67,63,66,71,50
Jay McKee,4,CAN,N,33,203,76,1,4000000,68,53,83,67,76,78,65,40,66,60,83,80,72,50
Mike Weber,4,CAN,N,23,199,74,4,770000,70,53,52,64,74,74,64,40,60,58,62,65,61,75
Chris Pronger,4,CAN,N,36,214,78,3,9250000,76,46,68,80,82,99,85,40,88,73,95,93,99,10
Mike Mottau,4,USA,N,32,190,72,1,500000,67,45,81,72,70,85,66,40,68,63,81,78,81,40
Cody McLeod,2,CAN,N,26,210,74,2,850000,96,85,72,71,80,75,66,40,67,63,71,68,71,50
Steve Sullivan,2,CAN,N,36,173,69,1,3200000,50,40,82,83,53,82,76,41,77,69,63,79,85,50
Drew Stafford,2,USA,N,25,202,74,2,2100000,66,45,82,79,76,83,72,68,72,71,63,67,64,1
Mark Mancari,3,CAN,N,25,225,76,4,750000,74,42,76,69,87,75,65,40,66,65,62,48,48,60
Tyler Kennedy,3,CAN,N,23,183,71,1,800000,74,48,86,80,63,80,70,66,67,70,70,64,60,1
Clarke MacArthur,2,CAN,N,25,191,71,1,2000000,67,45,68,81,70,80,68,48,65,71,63,71,68,1
Antti Pihlstrom,3,FIN,Y,26,190,71,0,750000,88,40,81,71,70,75,62,40,63,62,63,62,58,65
Jason Pominville,3,CAN,N,28,186,72,1,3000000,56,40,87,90,66,88,78,48,80,76,75,73,77,30
Paul Gaustad,1,USA,N,28,225,77,4,1500000,86,69,69,73,87,79,68,94,66,70,74,70,68,45
Thomas Vanek,2,AUT,N,26,208,74,5,5750000,56,40,77,85,79,85,81,40,75,85,62,71,74,5
Pascal Pelletier,2,CAN,N,27,190,72,0,550000,61,40,87,72,70,75,62,41,60,64,52,68,61,1
Chris Minard,2,CAN,N,29,190,73,3,750000,78,40,75,68,70,73,62,40,62,62,54,70,64,60
Mathieu Roy,4,CAN,N,27,210,74,2,500000,75,52,78,63,73,75,65,60,67,58,70,61,64,45
Chris Thorburn,3,CAN,N,27,225,75,1,850000,79,85,76,69,87,73,63,42,64,62,75,69,73,5
Ryan Smyth,2,CAN,N,34,190,73,3,8000000,59,40,76,84,70,91,77,78,77,76,69,92,94,75
Michael Ryan,1,USA,N,30,188,73,1,500000,56,40,77,67,68,71,62,44,62,62,57,66,64,25
Michael Ryder,3,CAN,N,30,186,72,1,2650000,76,40,83,83,66,78,71,41,69,73,65,74,67,65
Jeff Halpern,1,USA,N,34,203,72,1,4500000,54,41,78,73,76,80,65,85,64,66,81,77,84,72
Christoph Schubert,4,DEU,N,28,230,75,0,2000000,98,48,67,73,90,78,60,40,64,61,74,84,65,70
Matt Carle,4,USA,N,26,205,72,2,2300000,56,40,89,71,77,88,74,40,77,67,74,69,69,20
Jason Chimera,2,CAN,N,31,216,74,2,1400000,71,58,72,79,83,79,70,65,70,69,74,75,70,50
Jason Spezza,1,CAN,N,27,215,75,2,8250000,53,43,83,85,82,92,84,87,86,81,61,79,80,40
Sean ODonnell,4,CAN,N,38,230,74,1,4000000,73,57,74,62,90,85,64,40,65,63,81,91,87,35
Eric Belanger,1,CAN,N,33,187,71,3,2400000,57,40,81,80,67,84,71,92,73,69,76,79,76,70
Jeff Cowan,2,CAN,N,34,205,74,0,675000,68,79,62,53,77,64,55,40,55,55,59,78,83,69
Ryan Smyth,2,CAN,N,34,190,73,3,8000000,62,40,78,89,70,91,79,78,77,80,71,90,92,73
Nate Prosser,4,USA,Y,25,195,72,3,800000,64,68,52,62,60,63,59,45,56,52,61,58,55,50
Andreas Lilja,4,SWE,N,35,220,75,2,1800000,84,50,72,66,85,81,65,40,66,63,80,82,71,25
Sam Gagner,1,CAN,N,20,191,71,1,850000,54,46,81,86,70,80,75,74,76,72,60,61,64,51
Jim Slater,1,USA,N,28,200,72,1,750000,83,63,73,71,75,73,66,89,64,68,75,69,69,1
Mark Eaton,4,USA,N,33,204,74,2,2200000,52,40,85,72,77,83,66,40,67,64,84,75,73,45
Maxim Afinogenov,3,RUS,N,31,191,72,0,4750000,51,41,76,88,70,85,76,40,77,75,54,89,70,20
Fredrik Sjostrom,2,SWE,N,27,218,73,1,1200000,74,40,83,80,84,79,64,40,65,62,75,73,64,15
Marek Malik,4,CZE,N,35,235,78,0,950000,53,40,72,69,92,75,60,40,65,59,70,73,76,35
Cory Sarich,4,CAN,N,32,207,76,2,2100000,91,60,68,66,78,78,65,40,67,63,80,79,75,20
Ruslan Salei,4,BLR,N,35,212,73,2,2000000,79,41,75,70,81,81,71,40,72,65,74,86,71,55
Anssi Salmela,4,FIN,Y,26,200,73,1,1350000,73,40,83,68,75,78,66,40,68,66,67,74,76,65
Mathieu Schneider,4,USA,N,41,195,71,1,625000,64,40,75,76,72,73,71,40,71,68,68,99,94,1
Bill Thomas,3,USA,N,27,185,73,2,600000,61,40,77,65,65,64,57,62,57,58,63,61,62,25
Corey Elkins,1,USA,N,26,216,75,2,700000,62,40,79,71,65,70,60,55,58,60,62,60,52,50
Paul Mara,4,USA,N,31,212,76,3,1750000,75,58,60,66,81,80,69,40,69,62,72,78,70,20
Ales Kotalik,3,CZE,N,32,227,73,3,4500000,79,50,77,79,88,83,74,56,71,70,64,76,70,30
Craig Conroy,1,USA,N,39,193,74,1,6000000,59,42,84,81,71,78,67,85,69,63,81,84,85,60
Jason Arnott,1,CAN,N,36,220,77,2,4750000,56,42,81,83,85,84,77,81,77,77,65,85,88,20
Ville Koistinen,2,FIN,N,27,187,71,1,600000,74,40,77,67,67,75,69,40,71,67,56,68,63,50
Dustin Brown,3,USA,N,26,207,72,3,3200000,99,45,83,82,78,88,77,52,77,76,70,72,64,55
Maxime Talbot,2,CAN,N,26,190,71,2,1250000,83,47,76,75,70,75,64,71,64,62,78,72,62,25
Iikka Heikkinen,4,FIN,N,27,200,74,2,700000,71,40,79,63,65,72,59,30,57,55,64,67,64,15
Erik Christensen,1,CAN,N,27,205,73,2,1400000,68,40,81,74,77,79,72,85,74,67,64,71,66,85
Mike Zigomanis,1,CAN,N,29,200,72,2,650000,61,49,67,70,75,75,67,87,67,64,68,72,66,55
Robyn Regehr,4,BRA,N,30,225,75,1,2500000,82,57,70,72,87,85,65,40,67,61,88,80,81,20
Jonathan Toews,1,CAN,N,22,209,74,5,6300000,63,43,76,87,79,89,83,95,85,77,72,63,68,40
Chris Clark,2,USA,N,34,196,72,1,750000,74,55,79,70,73,75,64,44,65,63,64,77,72,70
Jason Ward,3,CAN,N,31,208,74,1,759000,80,40,62,69,79,71,60,43,59,59,65,81,69,1
Alexander Steen,2,CAN,N,26,205,73,2,1900000,58,40,83,80,77,83,74,57,72,76,76,72,63,25
Brooks Orpik,4,USA,N,30,219,74,2,3750000,99,45,71,70,84,87,70,40,73,63,87,75,72,30
Jon Sim,3,CAN,N,33,190,71,2,700000,81,42,81,85,70,75,67,57,65,69,63,76,70,50
Darcy Hordichuk,2,CAN,N,30,215,73,2,675000,84,99,83,65,82,67,59,40,59,59,64,69,75,85
Brad Staubitz,4,CAN,Y,26,215,73,1,750000,79,88,63,66,82,75,60,40,61,61,61,54,54,30
Fabian Brunnstrom,3,SWE,Y,25,203,74,2,3200000,68,40,88,79,76,76,67,40,67,65,56,48,48,20
Tom Poti,4,USA,N,33,210,75,3,3250000,52,40,76,76,80,86,70,40,76,64,85,81,82,35
Mike Duco,2,CAN,Y,24,194,70,2,620000,79,90,61,67,63,71,62,45,59,59,63,52,66,55
Nate Guenin,4,USA,N,28,210,74,1,700000,80,46,81,53,80,73,53,40,55,51,59,66,68,65
Bruno Gervais,4,CAN,N,26,205,73,1,740833,68,45,85,72,77,81,69,40,71,64,71,70,64,1
John Oduya,4,SWE,N,29,200,72,1,3250000,67,40,83,79,75,86,71,40,71,64,84,76,67,50
Chad Larose,2,USA,N,28,181,70,3,2050000,91,42,81,80,61,83,69,41,70,68,76,71,67,30
Brent Burns,4,CAN,N,25,219,77,1,3300000,86,43,74,73,84,86,75,40,78,70,74,69,65,55
Toni Lydman,4,FIN,N,32,204,73,2,3800000,87,40,81,71,77,78,69,40,72,64,78,83,74,30
Tom Preissing,4,USA,N,33,197,72,0,1000000,57,40,83,68,73,78,67,40,67,64,61,71,68,55
Brandon Prust,3,CAN,Y,26,195,71,1,475000,68,99,78,67,72,75,60,60,61,61,64,62,60,65
Jonas Frogren,4,SWE,N,30,189,73,0,1300000,78,40,70,64,69,69,61,40,64,61,65,74,76,1
Jarome Iginla,3,CAN,N,33,207,73,2,10060000,71,67,84,92,78,95,83,75,82,84,63,84,99,30
Dan Sexton,2,USA,Y,24,170,70,1,3000000,63,40,86,74,56,73,69,40,70,69,59,50,50,1
Peter Mueller,3,USA,N,22,205,74,1,850000,62,40,81,83,77,81,74,62,76,72,59,65,61,31
Kyle Calder,2,CAN,N,31,177,71,1,1400000,64,42,76,72,57,81,63,40,65,61,62,79,71,60
Teemu Selanne,3,FIN,N,39,200,72,2,4500000,52,40,84,81,75,83,82,69,76,88,57,99,99,35
Loui Eriksson,3,SWE,N,24,183,73,1,750000,53,40,86,90,63,92,81,41,82,80,75,64,61,90
Tuomo Ruutu,2,FIN,N,27,200,72,1,3800000,97,54,74,84,75,87,74,44,76,72,62,79,71,75
Mike Lundin,4,USA,N,25,188,74,1,850000,50,40,86,66,68,83,64,40,66,62,75,62,63,1
David Koci,2,CZE,N,29,238,78,2,525000,67,99,62,65,94,64,60,40,59,59,57,67,70,69
Raitis Ivanans,2,LVA,N,32,256,76,2,600000,78,99,68,66,99,65,60,40,58,58,57,69,74,60
Rickard Wallin,1,SWE,N,30,195,75,0,500000,58,30,82,65,64,72,63,67,64,58,74,68,52,55
Mark Giordano,4,CAN,N,27,203,72,1,700000,86,53,72,77,76,85,72,40,72,71,79,72,66,55
Mason Raymond,2,CAN,N,24,182,72,1,650000,63,40,81,82,62,80,75,44,73,76,68,59,57,30
Adam Burish,1,USA,N,27,200,73,3,1500000,61,82,82,69,75,72,62,53,63,58,72,64,71,35
Dustin Byfuglien,2,USA,N,25,247,75,1,3000000,93,56,69,72,98,79,75,41,71,73,62,65,63,1
Zack Stortini,1,CAN,N,25,228,75,2,625000,87,95,71,67,89,73,64,63,64,64,63,66,71,35
T.J. Hensick,1,USA,N,24,185,70,1,650000,51,40,87,75,65,80,65,67,68,63,62,63,65,48
Blake Comeau,3,CAN,N,24,207,73,1,850000,85,40,75,77,78,83,72,48,72,72,70,66,60,35
Travis Moen,2,CAN,N,28,215,74,2,850000,89,64,77,74,82,80,61,41,65,63,77,68,68,60
Todd Fedoruk,2,CAN,N,31,240,74,1,650000,78,76,79,70,95,73,63,41,64,63,56,79,72,30
James Wisniewski,4,USA,N,26,207,72,1,2750000,88,63,78,72,78,85,78,40,81,68,78,75,74,45
Mathieu Darche,2,CAN,N,35,210,73,2,500000,73,45,78,64,66,66,66,40,66,65,68,75,72,45
Shawn Thornton,3,CAN,N,32,217,74,3,1000000,79,99,77,70,83,73,62,40,64,60,59,77,78,15
Matt DAgostini,3,CAN,N,23,201,72,1,850000,64,40,81,74,75,68,64,50,64,64,63,61,58,25
Jordan Hendry,4,CAN,N,26,196,73,1,700000,66,40,85,62,73,73,63,40,63,63,69,63,61,45
Brent Seabrook,4,CAN,N,25,220,75,2,3150000,96,57,81,80,85,92,73,40,76,67,95,71,80,15
Tim Conboy,4,USA,N,28,210,74,2,575000,59,83,67,55,80,62,60,40,61,60,60,66,69,50
Eric Godard,3,CAN,N,30,214,76,2,750000,62,91,74,64,82,70,60,40,61,61,66,70,74,50
Ryan Keller,3,CAN,N,27,186,70,1,650000,62,45,80,65,62,73,60,45,56,56,53,67,62,10
Alexander Ovechkin,2,RUS,N,25,220,74,2,9000000,97,47,73,96,85,92,97,41,95,99,62,78,81,35
Johan Franzen,2,SWE,N,31,220,75,3,5000000,81,41,77,82,85,83,80,74,77,82,71,69,68,20
Marc Methot,4,CAN,N,25,225,75,1,850000,94,45,74,65,87,77,66,40,66,63,74,66,64,50
Duncan Keith,4,CAN,N,27,194,73,1,2175000,54,44,77,93,72,94,86,40,92,74,92,72,79,51
Brian McGrattan,3,CAN,N,29,235,76,3,700000,61,99,78,65,92,65,60,40,62,58,62,69,69,60
Krys Barch,1,CAN,N,30,220,74,3,550000,87,99,76,66,85,70,60,41,62,59,62,72,76,50
Dan Hamhuis,4,CAN,N,28,203,73,5,4000000,87,45,77,75,78,91,72,40,75,65,90,81,92,35
Scott Walker,3,CAN,N,37,196,70,1,1700000,81,67,72,75,73,73,68,42,66,63,66,82,85,50
Marty Reasoner,1,USA,N,33,205,73,3,1250000,52,41,84,75,77,81,68,86,67,63,82,77,85,5
Evan Oberg,4,CAN,Y,23,165,72,2,985000,60,45,75,69,55,72,68,30,57,55,60,49,49,70
Brett Lebda,4,USA,N,28,195,69,2,750000,53,40,84,66,72,76,65,40,66,64,71,70,68,1
Brad Stuart,4,CAN,N,31,213,74,2,3500000,95,40,86,80,81,87,67,40,70,64,77,80,77,40
Jared Boll,3,USA,N,24,210,74,1,850000,88,99,76,68,80,70,61,40,61,61,63,59,67,45
John-Michael Liles,4,USA,N,30,185,70,1,4250000,58,42,80,81,65,80,80,40,82,70,62,77,75,1
Petr Sykora,2,CZE,N,33,190,72,1,950000,51,40,80,78,70,81,78,43,71,70,57,94,73,20
Steven Stamkos,1,CAN,N,20,196,73,1,875000,64,40,81,89,73,86,89,75,83,96,65,48,48,50
Jack Johnson,4,USA,N,23,225,73,1,850000,86,49,76,84,87,87,66,40,76,69,71,65,64,60
Matt Lashoff,4,USA,N,23,204,74,1,625000,56,40,75,72,77,80,65,40,65,62,58,67,68,40
Ethan Moreau,2,CAN,N,35,220,74,2,2250000,77,58,76,75,85,81,64,43,64,64,79,83,87,35
Casey Wellman,1,CAN,Y,23,185,73,3,1200000,57,42,84,68,61,73,64,73,65,60,62,44,42,1
Lubomir Visnovsky,4,SVK,N,35,188,70,2,5750000,54,40,86,85,68,90,81,40,82,74,73,96,88,15
Steven Reinprecht,1,CAN,N,33,195,72,4,1750000,53,40,86,80,72,85,72,79,71,71,67,73,85,50
Brayden Irwin,1,CAN,Y,24,215,77,2,595000,70,48,65,62,76,66,60,68,55,55,62,45,45,50
Scott Nichol,1,CAN,N,35,178,69,1,1300000,96,59,73,74,58,75,65,96,67,62,81,81,70,30
James Sheppard,1,CAN,N,22,210,74,1,903250,77,54,81,77,80,83,62,68,63,60,70,63,59,50
Bobby Butler,3,USA,Y,23,185,72,2,750000,61,40,72,68,62,65,61,42,59,54,63,44,42,35
Daymond Langkow,1,CAN,N,34,183,70,2,5500000,72,40,82,87,63,80,72,77,73,71,77,83,74,35
David Backes,1,USA,N,25,216,75,1,700000,99,63,64,79,83,88,74,73,76,71,74,69,70,50
Lauri Korpikoski,1,FIN,Y,24,195,73,1,725000,77,40,80,74,72,74,64,55,64,62,74,51,51,50
Mike Knuble,3,CAN,N,37,230,75,2,3200000,72,48,74,73,90,81,78,42,72,82,71,87,86,15
Boyd Devereaux,2,CAN,N,32,195,74,0,1300000,64,40,83,76,72,82,68,44,62,62,69,79,74,40
Craig Rivet,4,CAN,N,36,210,74,2,6000000,63,62,74,70,80,79,67,40,69,65,77,87,89,50
Matt Bradley,3,CAN,N,32,201,75,3,1200000,78,78,82,70,75,75,66,42,67,65,74,75,78,75
Rod Pelley,1,CAN,Y,26,195,71,3,725000,80,65,87,71,72,82,64,72,65,62,63,61,61,99
Nathan Oystrick,4,CAN,N,28,210,72,2,750000,80,58,70,65,80,77,66,40,66,63,62,51,51,25
Ben Walter,1,CAN,N,26,185,72,1,800000,58,40,95,73,65,75,62,46,59,59,62,63,62,55
Jamie Benn,1,CAN,Y,20,185,74,3,825000,92,45,84,75,65,82,73,66,69,74,60,51,51,99
