Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Gilbert Brule,11,Thrashers,CAN,23,189,70,1,2,False,False,False,False,False,900000,,1,100,0,2,86,54,81,79,67,85,72,83,72,72,61,65,66,31,60,69,82,175,20,33,53,-6,101,13,138,153,4,0,1,0,534,1047,1,3,1,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nate Thompson,12,Panthers,USA,26,207,72,1,1,True,False,False,False,False,850000,,2,100,0,2,83,81,76,72,78,69,63,73,66,61,79,56,59,41,40,65,60,26,2,2,4,-2,39,11,42,69,0,0,0,0,336,700,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Steve Bernier,13,Ducks,CAN,25,225,74,3,3,False,False,False,False,False,2000000,,0,100,0,2,86,46,85,78,87,80,70,41,67,70,66,71,67,30,65,69,88,93,8,12,20,-27,58,23,116,61,3,0,2,0,52,162,0,0,1,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8
Niclas Wallin,14,Rangers,SWE,36,220,75,4,1,False,False,False,False,False,1500000,,3,100,0,2,93,40,79,66,85,80,61,40,63,61,77,81,71,60,60,70,60,20,0,2,2,2,86,57,111,19,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20
Alex Pietrangelo,15,Blue Jackets,CAN,20,206,75,4,1,True,False,False,False,False,850000,,2,100,0,2,54,40,83,78,78,85,74,40,77,68,67,55,55,43,55,67,40,42,5,12,17,-8,14,44,12,31,4,0,0,0,1,1,0,0,0,844,0,26,71,6,23,29,5,39,21,38,51,6,0,0,0,0,0,0,0,0,428,0,0,0,7,5
Dan Fritsche,16,Ducks,USA,25,204,73,1,2,False,False,False,False,False,1100000,,2,100,0,0,71,42,79,69,77,75,63,61,64,62,63,66,65,61,55,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,230,27,60,87,6,42,22,96,200,12,0,6,0,922,1752,0,1,0,1287,0,0,2,1,0
Ilkka Pikkarainen,17,Devils,FIN,29,215,72,3,2,False,False,False,False,False,500000,,0,100,0,0,72,42,66,67,68,64,60,45,56,57,62,73,55,70,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,276,30,54,84,17,66,13,161,112,15,0,4,0,65,145,0,0,0,1207,2,0,0,1,1
Trevor Daley,18,Thrashers,CAN,26,207,71,4,3,False,False,False,False,False,3000000,,1,100,0,2,52,45,87,71,78,86,74,40,72,67,80,75,65,37,50,70,78,101,8,22,30,-12,14,97,17,72,4,0,1,0,0,0,0,0,0,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Dion Phaneuf,19,Rangers,CAN,25,214,75,4,3,False,False,False,False,False,6750000,,1,100,0,2,96,62,77,85,82,97,76,40,77,73,78,74,85,71,45,78,82,150,12,51,63,7,169,112,184,88,4,0,2,1,0,0,1,1,0,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Brooks Laich,20,Avalanche,CAN,27,210,74,2,3,False,False,False,False,False,2200000,,1,100,0,2,74,40,82,80,80,84,77,68,77,76,77,69,64,70,78,73,71,145,20,17,37,-3,38,13,106,81,10,0,4,0,233,489,1,9,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
David Moss,21,Wild,USA,29,200,75,2,1,False,False,False,False,False,1400000,,0,100,0,2,74,40,84,75,75,79,67,43,67,67,65,65,62,54,1,65,82,154,19,21,40,-21,51,18,68,79,7,1,4,0,25,71,0,1,0,1334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
Ryan Getzlaf,22,Ducks,CAN,24,221,76,1,2,False,False,False,False,False,5000000,,4,100,0,2,96,57,61,89,85,91,89,78,92,75,68,74,70,29,25,78,69,175,24,43,67,1,104,13,170,138,11,1,2,2,786,1464,1,5,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Paul Stastny,23,Ducks,CAN,24,205,72,1,3,False,False,False,False,False,6250000,,1,100,0,2,55,40,77,88,77,91,87,84,92,73,72,62,64,62,50,75,88,216,21,47,68,-2,27,22,44,181,4,0,4,2,998,1887,2,6,0,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4
Milan Jurcina,24,Canucks,SVK,26,233,76,4,2,False,False,False,False,False,1300000,,1,100,0,2,91,40,82,66,91,80,60,40,65,61,73,78,70,81,70,70,80,46,4,15,19,12,134,85,129,47,1,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Randy Jones,25,Avalanche,CAN,28,200,74,4,1,False,False,False,False,False,1500000,,2,100,0,1,65,41,77,77,75,79,70,40,72,67,69,67,68,39,45,68,47,33,2,15,17,10,36,40,44,30,0,1,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
Mika Pyorala,26, ,FIN,29,190,72,1,0,False,False,False,False,False,1050000,,0,100,0,0,56,40,83,70,61,75,65,67,63,60,66,58,60,50,70,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Helm,27,Oilers,CAN,23,172,71,2,1,True,False,False,False,False,630000,,0,100,0,2,95,40,88,80,59,85,67,84,67,66,77,64,65,82,55,68,64,55,3,5,8,0,42,11,66,61,1,0,1,0,160,295,0,1,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
Patrick Kaleta,28,Sabres,USA,23,195,71,3,1,False,False,False,False,False,625000,,1,100,0,0,96,74,58,72,72,73,66,41,64,68,68,63,59,43,50,65,7,7,0,1,1,1,8,0,6,2,0,0,0,0,3,5,0,0,0,72,0,18,63,9,7,16,1,50,5,56,21,6,0,1,0,29,63,0,0,0,285,0,1,1,0,0
Alexandre Picard,29,Blues,CAN,25,210,74,2,2,False,False,False,False,False,825000,,2,100,0,0,71,75,86,66,80,76,68,40,62,58,65,66,66,70,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,260,33,40,73,22,72,7,87,90,16,0,1,3,87,221,0,1,0,1007,2,3,4,0,0
Brent Sopel,30,Penguins,CAN,33,211,73,4,4,False,False,False,False,False,2000000,,1,100,0,2,57,40,81,66,80,75,63,40,64,62,78,82,81,61,50,68,78,58,8,21,29,9,22,90,24,53,4,0,3,0,2,7,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
Jack Hillen,31,Ducks,USA,25,200,71,4,1,True,False,False,False,False,850000,,3,100,0,2,54,40,75,66,75,83,68,40,74,63,68,61,61,46,10,64,31,28,5,7,12,-3,20,35,23,18,3,0,0,0,0,0,0,0,0,612,0,39,97,12,26,38,1,2,43,10,42,9,0,3,0,0,3,1,1,0,837,0,0,0,4,4
Keith Yandle,32,Thrashers,USA,24,195,74,4,1,False,False,False,False,False,1300000,,0,100,0,2,51,44,83,86,72,83,77,40,79,72,65,61,66,43,1,69,82,137,11,35,46,-31,6,75,15,92,7,0,3,1,0,0,0,1,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Andrew Ladd,33,Blackhawks,CAN,25,198,74,2,1,False,False,False,False,False,1950000,,3,100,0,2,70,56,86,79,74,86,76,50,76,76,71,65,67,50,1,71,70,127,16,21,37,15,62,10,85,86,2,0,3,2,25,68,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Eric Fehr,34,Ducks,CAN,25,212,76,3,1,False,False,False,False,False,900000,,0,100,0,2,56,40,84,72,81,76,73,40,71,75,68,67,64,45,25,67,87,169,23,30,53,9,8,16,20,63,6,0,2,1,32,91,1,1,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Mike Green,35,Capitals,CAN,24,208,74,4,3,False,False,False,False,False,5750000,,1,100,0,2,84,40,71,91,79,91,89,40,95,79,75,69,69,71,60,79,73,158,17,45,62,1,143,73,150,105,12,0,3,1,1,5,0,2,0,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Brian Lee,36,Devils,USA,23,202,74,4,1,True,False,False,False,False,850000,,1,100,0,0,72,43,79,72,76,82,66,40,67,63,67,65,61,32,45,66,44,37,1,13,14,-12,24,34,38,28,1,0,0,0,0,1,0,0,0,835,0,15,47,4,11,15,-2,29,18,18,26,2,0,0,0,0,1,0,1,0,305,0,0,0,1,1
Colin Fraser,37,Kings,CAN,25,188,73,1,1,True,False,False,False,False,500000,,4,100,0,2,66,65,83,71,68,76,66,79,67,64,75,68,66,37,55,66,77,65,5,15,20,6,40,20,22,103,2,0,2,0,470,969,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
Dany Heatley,38,Capitals,DEU,29,221,76,3,3,False,False,False,False,False,8500000,,1,100,0,2,69,40,74,85,85,93,86,42,83,88,65,81,82,47,35,77,84,239,31,39,70,9,32,14,63,94,16,0,5,2,55,174,2,9,1,1351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Henrik Zetterberg,39,Lightning,SWE,30,195,71,2,3,False,False,False,False,False,7750000,,0,100,0,2,59,40,81,90,71,91,86,87,90,79,78,83,84,70,45,78,82,300,34,45,79,1,28,19,87,160,15,0,10,0,260,499,0,4,1,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Jared Ross,40,Blues,USA,28,165,69,1,1,True,False,False,False,False,750000,,1,100,0,0,53,40,75,67,45,70,60,51,64,64,58,62,59,70,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,210,21,51,72,7,2,8,25,184,13,0,3,3,625,1393,1,1,0,951,0,0,3,1,0
Ilya Kovalchuk,41,Coyotes,RUS,27,230,73,2,5,False,False,False,False,False,10000000,,0,100,0,2,56,45,83,95,90,94,92,40,88,93,58,76,88,62,50,80,82,304,44,46,90,5,38,17,60,143,13,0,3,2,222,661,1,5,0,1760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
Brian Gionta,42,Stars,USA,31,175,67,3,1,False,False,False,False,False,4000000,,2,100,0,2,57,40,83,88,55,84,77,59,73,81,76,79,82,75,1,72,75,183,27,25,52,-1,6,16,27,116,14,0,4,3,49,138,2,8,0,1386,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Dave Bolland,43,Sharks,CAN,24,181,72,1,1,False,False,False,False,False,750000,,1,100,0,2,66,40,72,84,61,80,70,81,71,68,85,68,70,96,65,69,81,141,14,12,26,-10,47,25,39,180,0,1,2,0,871,1669,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Matt Gilroy,44,Kings,USA,26,205,74,4,2,False,False,False,False,False,2995000,,2,100,0,2,64,45,87,78,75,86,67,40,67,64,73,51,54,48,85,67,79,74,6,23,29,-11,70,73,61,67,2,0,2,0,1,2,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11
Samuel Pahlsson,45,Flyers,SWE,32,204,72,1,2,False,False,False,False,False,2650000,,0,100,0,2,88,40,82,77,77,83,64,88,65,60,86,86,81,91,1,70,81,102,10,18,28,17,89,24,145,180,1,0,0,0,885,1504,0,0,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Matt Cooke,46,Panthers,CAN,33,205,71,2,1,False,False,False,False,False,1750000,,1,100,0,2,94,64,68,79,77,79,69,64,67,71,82,78,67,71,35,71,81,184,17,35,52,-4,127,16,187,93,7,0,2,2,54,120,0,1,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Evander Kane,47,Blackhawks,CAN,19,176,73,1,3,True,False,False,False,False,850000,,1,100,0,2,78,51,69,80,75,81,69,78,66,72,67,47,47,30,25,66,82,164,16,35,51,3,99,19,142,164,4,0,3,0,901,1898,0,2,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Sergei Shirokov,48,Lightning,RUS,24,195,70,2,3,False,False,False,False,False,850000,,1,100,0,0,45,40,76,70,61,62,66,42,53,52,56,52,45,58,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,80,7,13,20,-6,11,5,3,68,2,0,1,1,22,44,0,1,0,677,0,0,1,7,0
Brenden Morrow,49,Capitals,CAN,31,205,71,2,1,False,False,False,False,False,3000000,,0,100,0,2,98,50,64,88,77,89,74,42,76,72,72,84,85,75,45,75,77,125,16,22,38,29,120,14,188,63,2,0,1,2,44,139,3,6,0,1312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
David Jones,50,Avalanche,CAN,25,210,74,3,1,False,False,False,False,False,725000,,2,100,0,2,76,40,80,70,80,78,69,45,68,70,76,64,61,68,55,67,78,128,22,23,45,6,53,29,92,73,5,0,1,1,22,67,1,2,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
Nick Boynton,51,Devils,CAN,31,225,77,4,1,False,False,False,False,False,2800000,,2,100,0,2,72,75,61,71,87,77,66,40,66,64,71,81,82,30,5,69,79,86,13,24,37,-7,131,96,89,51,8,0,1,1,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Jason Strudwick,52,Senators,CAN,35,225,76,2,1,False,False,False,False,False,800000,,1,99,0,1,68,68,78,62,87,72,60,40,62,58,70,79,70,57,1,63,73,30,1,6,7,-8,44,14,35,28,0,0,0,0,119,282,0,1,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,11
Derek MacKenzie,53,Thrashers,CAN,29,180,71,1,1,False,False,False,False,False,863155,,1,100,0,2,68,40,88,75,60,75,63,77,64,61,68,72,65,30,35,64,34,16,2,0,2,-14,4,2,9,30,0,0,0,0,100,237,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Dan Jancevski,54,Penguins,CAN,28,212,75,4,1,False,False,False,False,False,700000,,1,100,0,0,67,44,69,56,81,68,55,40,59,50,63,75,68,47,60,61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,80,98,11,27,38,-14,127,103,191,37,9,0,2,0,3,11,0,0,0,1416,1,0,0,4,1
Benn Ferriero,55,Coyotes,USA,23,191,70,3,2,True,False,False,False,False,725000,,0,100,0,0,60,45,84,72,61,71,64,66,64,63,68,47,47,36,40,60,67,43,3,9,12,-6,14,10,18,33,1,0,0,0,35,81,0,0,0,701,0,1,3,0,2,2,0,0,1,1,1,0,0,0,0,1,4,0,0,0,17,0,0,0,30,5
Tyler Bozak,56,Islanders,CAN,24,180,73,1,3,True,False,False,False,False,1850000,,1,100,0,0,76,40,84,76,69,76,72,86,74,70,58,47,47,69,61,65,25,18,3,3,6,3,10,3,24,22,0,0,0,0,134,288,0,0,0,296,0,20,80,7,11,18,-7,8,5,20,55,4,0,0,1,296,517,0,2,0,373,0,0,0,1,1
Jesse Boulerice,57,Red Wings,USA,32,215,74,2,1,False,False,False,False,False,550000,,0,100,0,0,50,69,79,63,82,62,60,40,58,59,54,73,67,26,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean McAmmond,58,Thrashers,CAN,37,193,71,2,1,False,False,False,False,False,1375000,,1,100,0,2,54,40,84,72,71,76,66,73,66,64,73,85,74,30,15,66,77,72,7,13,20,2,4,7,5,51,0,0,0,2,33,76,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Colin White,59,Canadiens,CAN,33,220,76,4,2,False,False,False,False,False,4500000,,0,100,0,2,85,50,84,71,85,84,66,40,67,63,82,82,74,74,71,73,82,52,7,28,35,25,109,108,142,66,3,0,0,1,3,8,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
Patrice Bergeron,60,Blues,CAN,24,194,74,1,4,False,False,False,False,False,4400000,,1,100,0,1,62,40,84,84,72,85,75,94,77,71,81,68,76,99,75,73,82,221,27,42,69,6,37,18,101,216,6,0,6,2,1140,1986,3,3,0,1630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
Devin Setoguchi,61,Flames,CAN,23,200,72,3,1,False,False,False,False,False,850000,,2,100,0,2,84,42,88,84,75,85,74,42,71,76,65,64,59,58,55,70,81,102,13,19,32,6,42,14,119,68,1,0,3,1,49,133,0,1,1,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Blair Jones,62,Islanders,CAN,23,216,75,3,2,True,False,False,False,False,500000,,3,100,0,0,80,60,65,68,76,64,60,76,57,54,59,55,50,58,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,81,10,15,25,24,51,0,62,74,0,0,1,1,207,354,0,0,0,490,0,0,0,6,2
Mark Fistric,63,Devils,CAN,23,232,74,4,1,False,False,False,False,False,650000,,2,100,0,2,93,60,79,59,91,76,63,40,65,61,74,69,63,32,45,68,39,22,2,5,7,-2,61,43,81,24,1,0,0,0,0,0,0,0,0,654,0,30,68,9,22,31,-1,53,48,92,37,7,0,1,1,2,3,0,0,0,661,0,0,0,21,6
Tyler Arnason,64, ,USA,31,204,71,1,0,False,False,False,False,False,865000,,0,100,0,0,50,40,80,73,77,81,62,72,64,63,61,70,72,50,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicklas Grossman,65,Devils,SWE,24,206,75,4,1,False,False,False,False,False,800000,,0,100,0,2,92,42,81,67,78,82,60,40,63,61,74,69,62,31,75,68,74,21,0,6,6,-10,173,73,199,45,0,0,0,0,0,1,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,16
Brian Boyle,66,Avalanche,USA,25,252,79,3,1,False,False,False,False,False,750000,,0,100,0,2,91,62,75,70,99,83,68,67,64,71,69,64,64,35,60,69,25,40,7,5,12,4,44,1,45,17,1,0,0,0,43,103,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Erik Cole,67,Canucks,USA,32,205,74,3,4,False,False,False,False,False,4150000,,2,100,0,2,92,52,72,84,77,87,71,43,70,72,71,74,73,54,45,71,78,135,15,21,36,3,87,10,117,82,3,0,2,0,29,88,0,1,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Doug Weight,68,Kings,USA,39,196,71,1,1,False,False,False,False,False,1500000,,2,100,0,2,54,40,79,78,73,78,74,74,76,64,62,96,79,39,25,69,75,140,16,27,43,-19,4,15,24,150,3,0,1,1,667,1352,0,2,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Douglas Murray,69,Canadiens,SWE,30,240,75,4,2,False,False,False,False,False,1750000,,1,100,0,2,97,48,76,66,95,83,65,40,66,63,86,68,81,73,50,73,77,67,9,19,28,30,221,86,245,60,1,1,2,1,2,3,1,1,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Brendan Witt,70,Rangers,CAN,35,223,74,4,1,False,False,False,False,True,1600000,,0,100,0,0,88,61,70,70,86,78,60,40,64,59,74,85,87,80,5,70,75,46,5,11,16,-1,109,75,143,40,1,0,1,0,0,0,0,0,0,1380,0,5,19,2,5,7,7,8,6,16,9,0,0,0,0,2,2,0,0,0,91,0,0,1,3,0
Mathieu Dandenault,71, ,CAN,34,208,72,4,0,False,False,False,False,False,1500000,,0,100,0,2,68,46,76,80,79,76,63,41,66,64,68,86,79,50,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michal Handzus,72,Devils,SVK,33,218,76,1,2,False,False,False,False,False,3500000,,1,100,0,2,68,41,81,74,84,90,72,84,72,72,84,85,86,31,40,73,75,162,18,15,33,-3,29,33,47,164,6,0,2,1,943,1828,0,3,0,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Anton Babchuk,73,Ducks,CZE,26,234,77,4,4,False,False,False,False,False,1000000,,1,100,0,2,63,45,78,73,78,75,68,40,68,72,64,69,62,36,50,66,66,74,8,21,29,1,47,43,45,34,4,0,3,0,0,0,0,0,0,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
