Team Number,Prospect Name
18,Charles-Antoine Messier
18,Patrick Bartschi
18,Mattias Hellström
18,Andreas Molinder
18,Harri Ilvonen
15,Evgeny Kuznetsov
18,Jason Smith
4,Derek Forbort
18,Mikko Kuukka
18,Zach Tarkir
18,Marek Chvatal
17,Michael Forney
14,Roman Voloshenko
8,Garrett Klotz
14,Martin Sagat
6,Mike Sullivan
10,Louis Leblanc
19,Ryan OMarra
29,Igor Mirnov
4,Brandon Gormley
14,Brady Murray
11,Taylor Matson
11,Igor Antosik
20,Lauri Tukonen
26,Vladimir Zharkov
29,Juha-Matti Aaltonen
14,Keaton Ellerby
12,Mikael Granlund
1,Austin Watson
13,Bret Nasby
14,Graham Potuer
11,Yakov Rylov
14,Jean-Claude Sawyer
20,Matt Duffy
17,Scott Glennie
9,Antoine Lafleur
14,Taylor Dakers
6,Daniel Taylor
1,Juraj Simek
1,Kaspars Daugavins
18,Jared Cowen
1,Drayson Bowman
1,Aaron Snow
3,Ryan Ellis
8,Cory Emmerton
7,Zack Kassian
12,Landon Ferraro
1,Tomi Maki
1,Michael Neal
9,Jacob Josefson
7,David Rundblad
1,Jan-Mikael Juutilainen
1,Codey Burki
17,Shea Guthrie
1,Riley Nash
1,Tomas Marcinko
24,Aaron Marvin
1,Brett Sutter
1,Adam Hobson
1,Aki Seitsonen
1,Tim Erixon
16,Carter Ashton
2,Marcus Johansson
1,Bud Holloway
7,Calvin De Haan
1,Ryan Reaves
1,Adam Cracknell
22,John Moore
1,Carl Klingberg
1,Brett Leffler
1,Nick Oslund
1,J. D. Watt
1,Reto Berra
13,Jarred Tinordi
1,Darren Machesney
1,Trevor Cann
21,Linden Rowat
4,Peter Holland
1,Leland Irving
24,Bobby Sanguinetti
1,T. J. Fast
1,Kevin Marshall
1,Nick Bjugstad
1,Kevin Quick
1,Matthew Corrente
21,Chris Kreider
29,Jordan Caron
7,Nick Leddy
1,Tim Ramholt
16,Taylor Doherty
22,Zach Budish
1,Matt Pelech
1,Dustin Kohn
1,Gord Baldwin
1,John de Gray
1,Shane Sims
1,Nick Ross
1,John Negrin
28,Charles Olivier Roussel
8,Blake Kessel
1,Ben Shutron
27,Richard Panik
18,Robin Lehner
1,Justin Krueger
26,Mikko Koskinen
4,Dylan McIlrath
19,Tom Fritsche
30,Fredrik Pettersson
3,Alexander Vasyunov
1,Jesse Joensuu
15,Tommy Sestito
23,Linus Videll
9,Adam Henrich
14,Kyle Palmieri
19,Masi Marjamaki
28,Riley Sheahan
23,Justin Mercier
29,Andrew Glass
3,Maxime Lacroix
29,Colton Yellow Horn
28,Beau Bennett
6,Shay Stephenson
29,Michael Tessier
27,Anton Rodin
4,Jeremy Morin
22,Ryan Stoa
17,Philippe Paradis
27,Kirill Kabanov
15,Nicholas Drazenovic
8,Arsi Piispanen
1,John Armstrong
3,Felix Schutz
8,Lukas Zeliska
6,Justin McCrae
13,Vladimir Ruzicka
9,Mark Santorelli
8,Jean-Simon Allard
11,Emerson Etem
23,Chris Auger
3,Hugo Carpentier
11,Richard Greenop
10,Kevin Hayes
19,Max Campbell
4,Mark Pysyk
7,Quinton Howden
23,Marc-Andre Cote
23,Adam Taylor
27,Dylan Olsen
7,Kyle Clifford
23,Andrew Kozek
30,Dmitri Orlov
11,Matt Clark
28,Tomas Tatar
15,Chris Brown
7,John McFarland
20,Kent Patterson
3,David Shantz
8,Daniel Manzato
12,Anton Lander
7,Drew Shore
8,Andrej Nestrasil
22,Brock Nelson
27,Alexander Avtsin
7,Maxim Goncharov
6,Ben Wright
3,Korbinian Holzer
14,Joonas Lehtivuori
19,Ben Blood
13,Morgan Ellis
22,Alec Martinez
26,Jonathan Merrill
6,Alexander Hellstrom
17,Simon Lacroix
14,Tyson Marsh
20,Calvin Pickard
7,Jakob Silfverberg
11,Bradley Ross
4,Joonas Nattinen
10,Ryan Hillier
28,Stefan Elliott
2,Denis Loginov
2,Rylan Kaip
2,Brett Bruneteau
22,Jared Knight
8,Brian Gifford
2,Alexander Kucheryavenko
2,Guillaume Desbiens
26,Charlie Coyle
2,Sebastian Stefaniszin
2,James Spratt
27,Taylor Ellington
2,Denis Bodrov
2,Logan Stephenson
2,Lane Manson
2,Jimmy Sharrow
2,Scott Todd
2,Martin Nolet
2,Adam Pardy
2,Mads Bodker
1,Matt Beleskey
10,Blake Geoffrion
6,Kris Chucko
22,Toni Rajala
28,Zach Hamill
3,Mark Visentin
13,Alexander Petrovic
23,Chris St Jacques
9,David Kveton
3,Jesse Blacker
20,Martin Latal
20,Jeff Glass
27,Tyler Toffoli
1,Ethan Werek
9,Nikita Nikitin
6,Richard Stehlik
24,Kevin Lynch
14,Jamie Hunt
8,Brett Sonne
5,Anton Axelsson
5,Pasi Salonen
5,Justin Courtnall
5,Kevin Harvey
5,Cam Cunning
5,Viktor Bobrov
5,Andrei Taratukhin
5,John Albert
14,Chad Rau
5,Rick Kozak
5,Mikhail Zhukov
5,Ryan Donally
5,Tomas Pospisil
5,Trent Vogelhuber
5,Stephane Goulet
5,Fredrik Näslund
5,Martin Guerin
5,Zach Macvoy
5,Jiri Cetkovsky
5,James Reimer
12,Paul Postma
5,Kirill Tulupov
5,Vjateslav Buravchikov
5,Risto Korhonen
5,John Lee
5,Zach Jones
5,Thomas Bellemare
5,Pierre Johnsson
20,Brett Hemingway
8,Sean Collins
8,Milan Kytnar
17,Chris Durand
27,Justin Taylor
6,Maxim Shevjev
3,Mikko Lehtonen
23,Petr Pohl
3,Raymond Sawada
29,Christian Thomas
14,Kenny Ryan
9,Joe Cooper
12,Calle Jarnkrok
9,Tyler Weimen
15,Alex Chiasson
23,Ryan McDonagh
2,Alex Grant
11,Mark Katic
22,Brian Dumoulin
3,Michael Vernace
1,Ryan Howse
24,Ben Hanowski
9,Igor Bobkov
22,Tyler Pitlik
19,Ludvig Rensfeldt
28,Dalton Smith
6,Trevor Ludwig
15,Petr Straka
19,Anders Nilsson
19,Patrik Zackrisson
9,Kevin Jarman
19,Scott McCulloch
19,Mathieu Aubin
19,Doug Rogers
6,Zdenek Bahensky
25,Olivier Roy
9,David Meckler
25,Nicolas Deslauriers
27,Stephen Johns
27,Matthew Hackett
23,William Wrenn
14,Hugh Jessiman
15,Greg McKegg
24,Josh Birkholz
4,Eric Gelinas
2,Simon Bertilsson
24,Keith Seabrook
27,Scott Wedgewood
23,Niclas Andersen
23,Michael Ratchuk
10,Tyson Barrie
20,Trevor Hendrikx
3,Michael Latta
3,Corey Syvret
9,Robert Dietrich
6,Peter Aston
8,Sean Zimmerman
9,Michal Sersen
3,Alex Hutchings
3,Ryan Button
5,Brayden McNabb
10,William Quist
10,Jason Gregoire
10,Stefan Meyer
7,Logan Couture
3,Riley Holzapfel
10,Trevor Lewis
10,Levi Nelson
10,Stefan Chaput
24,Phil Desimone
12,Jamie Tardiff
10,Alexander Naurov
10,Grigory Shafigulin
23,Ben Maxwell
7,Peter Leblanc
26,Teemu Pulkkinen
10,Tony Romano
10,Roman Cervenka
10,Joe Vitale
10,Mario Bliznak
10,Jarkko A. Immonen
7,Evgeni Dadonov
10,David Kuchejda
10,Marius Holtet
12,Austin Smith
10,Nick Johnson
10,Janos Vas
7,Justin Faulk
10,Lance Monych
2,Jeff Frazee
10,Ryan Daniels
20,Brett Ponich
10,Chad Johnson
7,Thomas Hickey
1,Sebastian Wannstrom
10,A.J. Thelen
10,Sasha Pokulok
10,Chris Frank
10,Elias Granath
10,Brian Lee
10,Kyle Henegan
10,Kyle Henegan
10,Martin Vagner
23,Joe Faust
7,Luca Caputi
14,Ned Lukacevic
15,Alexander Urbom
9,Chris Terry
9,Matthew McCollem
10,Jamie Devane
14,Mitch Fadden
20,Kyle Bailey
28,Taylor Beck
3,Alexander Nikulin
1,Patrik Nemeth
20,Ryan Oulahan
19,Mikael Johansson
9,Ondrej Roman
26,Brett Bulmer
20,Francis Lemieux
29,Simon Hjalmarsson
9,Matt Frattin
15,Dale Mitchell
23,Rhett Rakhshani
11,Danny Hobbs
9,Jordan Knackstedt
19,Matt Marshall
11,Ryan Raven
9,Nathan Perkovich
9,Jeff Zatkoff
9,Michal Valent
4,Ryan Spooner
6,Torrie Jung
3,Brett Bennett
2,Alex Plante
17,Mark Mitera
11,Juraj Mikus
9,Justin Falk
23,Doug OBrien
7,Michael Lee
1,Martin Marincin
27,Michael Bournival
7,Jordan Weal
14,Stanislav Galiev
6,Jonathan Paiement
23,Stefan Blom
11,Pierre-Olivier Beaulieu
30,Ben Winnett
20,Sondre Olden
21,Julien Sprunger
4,Cody Eakin
12,John Lammers
20,Peter MacArthur
12,Eric Tangradi
15,Ben Ryan
6,Matt Rust
29,Maxime Macenauer
22,Jesse Martin
24,Oscar Lindberg
4,Mac Bennett
28,Philip Samuelsson
13,Sami Vatanen
6,Robin Figren
21,Matthew Ford
29,Jeremy Smith
16,Reilly Smith
12,Jase Weslosky
21,Dan Turple
22,Jeremy Duchesne
16,Loic Lacasse
24,Ted Ruth
30,Philipp Grubauer
24,Cody Wild
24,Andrew Bodnarchuk
21,James Sanford
12,Patrick McNeill
2,Alexei Yemelin
22,Paul Baier
21,Tyrell Mason
17,Maxim Gratchev
15,Mathieu Melanson
15,Kim Johansson
15,Vladmir Karpov
15,Ryan Martindale
15,Phillip Axtell
15,Kris Hogg
27,Craig Cunningham
1,Mikael Backlund
15,Maxime Tanguay
15,Trevor Nill
15,Steven Zalewski
15,Marcin Kolusz
27,Jakub Culek
18,Maxim Mayorov
8,Dan Gendur
15,Spencer Machacek
15,Marek Bartanus
16,Devante Smith-Pelly
15,Patrick Brosnihan
15,Sergei Gayduchenko
15,Bryan Pitton
4,Ryan Bourque
15,Atte Engren
15,Ian Keserich
15,Magnus Akerlund
4,Jerry Damigo
14,P.K. Subban
17,Josh Godfrey
26,Nick Petrecki
1,Henrik Bjorklund
1,Curtis Hamilton
15,Maxime Frechette
15,Jonas Ahnelov
17,Kevin Montgomery
8,Carl Sneep
15,Bryan Rufenach
15,Ondrej Nemec
15,Grigory Misharin
15,Nicholas Tuzzolino
15,Denis Ezhov
15,Jan Kolar
15,Francois Bolduc
15,Mikhail Tyulyapkin
15,Tomas Magusin
15,Brad Cole
15,Maxim Semenov
16,Trevor Kell
16,Nathan Davis
16,Olivier Fortier
6,Mattias Lindstrom
14,Ilja Kablukov
16,Brad Malone
16,Jordan LaVallee
16,Andrew Conboy
16,Simon Bolduc
16,Mark Versteeg-Lytwyn
16,Jimmy Bonneau
16,Chris Heino-Lindberg
3,Jeff Petry
14,David Fischer
16,Konstantin Korneev
16,Oskari Korpikari
10,Gleason Fournier
16,Jakub Vojta
3,Jean-Francois Berube
17,Sergei Andronov
16,Scott Kishel
16,Pavel Valentenko
16,Drew Schiestel
16,Cade Fairchild
16,Joe Stejskal
16,Tomas Linhart
16,Myles Stoesz
17,William Sweatt
17,C.J. Severyn
17,Roman Psurny
17,Lauris Darzins
17,Konstantin Glazachev
17,Luke Gazdic
17,Jordan Foote
17,Will Engasser
17,Ondrej Fiala
15,Alexander Killorn
29,Johan Larsson
17,Luciano Aquino
17,Valtteri Tenkanen
17,Patrick Jarrett
17,Kaleb Betts
17,Bryce Swan
17,Marek Kvapil
17,Matt Auffrey
17,Robert Nyholm
17,Louis Martin
17,Paul Brown
17,Kevin Beech
17,Miroslav Hanuljak
17,Matt Davis
17,Denis Reul
8,Tommy Cross
27,Seth Helgeson
17,Derek Reinhart
8,Alex Velischek
19,Connor Brickley
17,Mark Flood
17,Anthony Peluso
17,Olivier Magnan
17,Alessandro Chiesa
17,Zack Fitzgerald
8,Mark Fayne
17,Kevin Schaeffer
17,David Schulz
23,Ruslan Bashkirov
20,Denis Parshin
27,Kevin Connauton
7,Jason Zucker
19,Justin Keller
20,Max Warn
19,Alexander Sundstrom
23,Bedrich Kohler
30,Troy Hesketh
19,Jakub Sindel
8,Adam Morrison
26,Erik Haula
15,Marek Zagrapan
27,Tom Kuehnhackl
14,Tyler Haskins
20,Adam Courchaine
14,Chris Lawrence
23,Juraj Mikus
29,Brett Morrison
19,Anton Krysanov
29,Andy Sackrison
28,Philip Lane
14,Blair Yaworski
28,Mark Alt
14,Mathis Olimb
8,Gaelan Patterson
19,Igor Makarov
7,Andrei Popov
14,Nick Dodge
14,Stanislav Lascek
23,Michael Blunden
23,Gennady Stolyarov
20,Brock Beukeboom
15,Brendan Gallagher
14,Dmitri Chernykh
29,Erik Condra
14,Dimitri Shitikov
23,Richard Bachman
11,Justin Holl
14,David Brown
19,Yuri Alexandrov
14,Andrei Zubarev
23,Jonathan Sigalet
20,Andy Rogers
23,Chad Denny
20,Cody Blanshan
20,Mike Egener
23,Oscar Hedman
19,Dane Crowley
1,Maxwell Reinhart
29,Alain Goulet
12,Taylor Aronson
28,Kent Simpson
23,Alexei Stonkus
23,Dimitri Megalinsky
20,Anton Belov
19,Jan Mursak
14,Tomas Zaborsky
10,Cameron Abney
27,Tomas Vincour
13,Max Gardiner
14,Roman Wick
29,Michael Lambert
20,John McCarthy
29,Alex Berry
16,Joe Basaraba
27,Maxim Kitsyn
23,Darin Olver
29,Bruce Graham
20,Ken Roche
29,Kevin Cormier
23,Tom Gorowsky
29,Mark McCutcheon
27,Matt MacKenzie
23,Stanislav Balan
29,Marc Cheverie
14,Chris Holt
14,Kirill Lyamin
19,Ryan Molle
23,Corey Potter
13,Bryan Rust
19,Chris Zarb
20,Louis-Marc Aubry
27,Patrick McNally
20,Kris Fredheim
19,Ryan McGinnis
29,Jaroslav Mrazek
20,Phillipe Furrer
21,Constantin Braun
1,David Savard
21,Nick Sucharski
21,Anton Skorykh
20,Steven Regier
21,Sergei Sentyurin
21,Bobby Bolt
21,Nicholas Fanto
17,Kieran Millan
12,Craig Smith
16,Tyler Shattock
21,Ivan Khomutov
21,Miikka Lahti
28,Danny Biega
21,Devin Timberblake
21,Tim Crowder
21,Jason Bailey
29,Kevin Sundher
21,Alexandre Vincent
27,Patrick Cehlin
21,David Inman
21,Chris Hepp
21,Mathieu Labrie
21,Johan Björk
21,Timothy Kunes
21,Bretton Stamler
21,Tim Filangieri
21,Phillipe Seydoux
21,Mattias Karlsson
21,Sergei Gimayev
21,Scott Lehman
21,Jean-Phillippe Paquet
18,Louie Caporusso
26,Lars Eller
18,Radko Gudas
6,Linden Vey
4,Jimmy Bubnick
12,Sami Aittokallio
22,Bobby Hughes
22,Kirill Starkov
19,Perttu Lindgren
20,David McIntyre
1,Spencer Bennett
5,Marcus Foligno
7,Edward Pasquale
10,Marc-Andre Cliche
11,Max Gaede
20,Bryan Cameron
3,Ben Chiarot
22,Joseph Palmer
22,Alex Kangas
22,Niko Hovinen
6,Mattias Ekholm
23,Marcus Kruger
8,Scott Darling
9,Adam McQuaid
9,Logan Pyett
26,Arturs Kulda
22,Patrik Hersley
30,Daniel Delisle
17,Casey Cizikas
8,Alexander Fallstrom
10,Kristopher Foucault
15,Eric Knodel
2,Linus Omark
7,Brett MacLean
1,Michael Ferland
11,Patrick White
9,Jordan Szwarz
17,Dany Roussin
11,Brad Schell
14,Dylan Hunter
28,Scott Stajcer
27,Matt Kennedy
19,Gennady Churilov
15,Geoffrey Schemitsch
11,Jake Hansen
14,Jonathan Rheault
23,Rob Bellamy
19,Jani Hakanpaa
12,Gabriel Dumont
11,Kyle Bigos
16,Chris Summers
9,Grant Lewis
20,James Delory
5,Jeremie Blain
14,Zach Trotman
27,Nicola Riopel
9,Andrei Plekhanov
18,David Gilbert
5,Justin Weller
24,Petr Kalus
30,Radoslav Illo
24,Michael Gergen
24,Alex Foster
19,Petter Granberg
29,Andrew Yogan
24,Carl Hagelin
29,Zach Hyman
27,Jonathan Iilahti
4,Byron Froese
11,Sam Brittain
30,Frederik Pettersson-Wentzel
24,Nikolai Lemtyugov
24,Luke Walker
7,Matt Halischuk
24,Aaron Palushaj
15,Garrett Wilson
6,Roman Horak
24,Cody Ferriero
24,Will Weber
10,Philip Varone
5,Nick Oliver
5,Benjamin Gallacher
7,Robert Bortuzzo
10,Jeremy Price
19,Daniel Brodin
8,Will ONeill
24,Roman Derlyuk
12,Tim Heed
24,Alex Rouleau
7,Austin Madaisky
11,Mathieu Corbeil-Theriault
24,Justin Florek
12,Nick Jensen
24,Jean-Philipe Levasseur
24,Timo Pielmeier
6,Petr Mrazek
9,Jay Barriball
4,Levko Koper
3,Lane MacDermid
26,Randall Gelech
30,Nic Dowd
26,Ryan Russell
26,Joshua Turnbull
26,Tyler Spurgeon
26,Kai Hospelt
18,Akim Aliu
8,Ryan Flynn
1,Joni Ortio
13,Tye McGinn
3,Jonathan Tremblay
26,Kyle Klubertanz
26,Alex Stalock
25,Chad Painchaud
25,Olivier Legault
16,Scott Valentine
25,Ryan Turek
25,Matthew McIlvane
25,Jared Walker
25,Matt Christie
25,Joe Barnes
25,Konstantin Zakharov
25,Brian Ihnacak
25,Alex Bourret
23,John Westin
25,Evan Fuller
25,Julian Walker
25,Konstantin Volkov
25,Billy Sauer
25,Martin Houle
8,Simon Danis-Pepin
25,Kyle Medvec
24,Dimitri Vorobiev
25,Timo Seppanen
25,Joe Charlebois
25,Travis Gawryletz
13,Mark MacMillan
27,James OBrien
27,Angelo Esposito
26,Brandon Kozun
8,Logan MacMillan
12,Brooks Macek
30,Caleb Herbert
27,Keven Veilleux
13,Christopher Wagner
14,Riley Boychuk
10,Markus Sorensen
13,Freddie Hamilton
14,Benjamin Marshall
27,Joel Gistedt
27,Riku Helenius
7,Brandon Davidson
27,Tyson Sexsmith
14,Kellen Jones
5,Alex Theriau
10,Nick Petersen
27,Kevin Shattenkirk
15,Jonathan Blum
27,Nigel Williams
30,Samuel Carrier
5,James Mullin
10,Rob Flick
15,Sam Carrick
15,Maxime Clermont
24,Mirko Hoefflin
28,Alexander Bumagin
18,Louis Domingue
28,Radek Smolenak
28,Anton Hedman
28,Patrik Valcak
28,Dragan Umicevic
28,Karel Hromas
28,Robby Dee
28,Janne Kolehmainen
27,Steven Anthony
4,Konrad Abeltshauser
16,Maxwell Tardy
28,Marc-Andre Bernier
15,Mark Stone
4,Tommi Kivisto
28,Aaron Boogaard
3,Tyler Bunz
23,Viatcheslav Trukhno
12,Kenneth Agostino
28,Mitch Carefoot
28,Benoit Mondou
28,Jonathan Lehun
28,Tomas Troliga
28,Evan Brophey
28,Zack Torquato
28,Ryan White
28,Joakim Andersson
28,Christopher Didomenico
6,Travis Morin
28,Drew Fisher
28,Nicholas Kemp
28,Alexander Plyuschev
20,Kevin Regan
27,Benjamin Casavant
28,Todd Ford
1,Jakub Kindl
26,Peter Andersson
16,Ty Wishart
15,Brendan Smith
28,Joe Ryan
28,Nichlas Torp
28,Kevin Koopman
28,John Doherty
28,Dominic D Amour
19,Michael Zador
28,Michael Brennan
28,Alex Dulac-Lemelin
28,Clayton Barthel
1,Joe Colborne
1,Greg Nemisz
1,Mitch Wahl
1,Zac Dalpe
14,Luke Adam
1,Michael Stone
11,Shawn Lalonde
11,Joel Champagne
1,Jerome Flaake
1,Drew Olson
8,Philippe Cornet
1,Alexander Deilert
27,Lance Bouma
10,Kevin Poulin
29,Alex Friesen
6,Derek Rodwell
4,Jacob Markstrom
4,Kirill Petrov
1,Roman Josi
4,Cody Goloubef
12,Brandon Burlon
29,David Toews
4,Jordan Southorn
27,Geordie Wudrick
4,Jamie Arniel
4,Corey Fienhage
4,Mark Barberio
2,Justin Azevedo
4,Joel Broda
4,Teemu Hartikainen
4,Mitch Gaulton
4,Jean-Sebastien Berube
4,Joacim Eriksson
19,Anders Lindback
4,Samuel Morneau
24,Mark Goggin
17,Thomas McCollum
5,Steven Delisle
5,Michal Jordan
5,Ryan Hegarty
5,Tomas Kubalik
5,Julien Demers
5,Alexander Pechurski
5,Nick Crawford
12,Paul Karpowich
27,Evan Bloodoff
8,Justin Jokinen
11,Matthew Calvert
22,Philip Larsen
17,Nicholas Tremblay
8,Nathan Condon
19,Jonathan Carlsson
28,Jason Wilson
19,Patrick Killeen
27,Mike Hoffman
2,Johan Gustafsson
20,Tim Billingsley
11,Joe Gleason
11,Harry Young
30,Jani Lajunen
14,Adam Comrie
24,Sean Collins
18,Kyle Beach
16,Maxime Sauve
29,Robert Czarnik
14,Sean Lorenz
6,Greg Pateryn
3,Matthew Martin
3,Greg Burke
11,Braden Birch
6,Thomas Larkin
11,Jyri Niemi
9,Mark Olver
23,Justin Dibenedetto
11,Emil Sandin
10,Cameron Gaunce
10,Marco Scandella
10,Jeffrey Foss
6,Jeff Costello
9,Daultan Leveille
9,Dmitri Kugryshev
11,Jimmy Hayes
20,Tomas Kundratek
11,Colin Long
11,Andre Petersson
1,Travis Hamonic
3,Justin Daniels
19,Nicklas Lasu
9,Vinny Saponari
12,Max Nicastro
6,Garrett Roe
29,Colten Teubert
20,Chet Pickard
2,Corey Trivino
12,Aaron Ness
12,Danny Kristo
12,Derek Stepan
17,Marc-Andre Bourdon
4,Danick Paquette
10,Maxim Trunev
29,Ian Schultz
28,John Klingberg
24,Derek Grant
17,Nathan Moon
21,Eero Elo
6,Julien Cayer
1,Anthony Nigro
21,Matthew Tassone
7,Colby Robak
13,Vjateslav Voinov
13,Justin Schultz
13,A.J. Jenks
2,Jordan Eberle
12,Joe Cannata
29,Nick Mattson
15,Harri Sateri
16,Jason Missiaen
3,Steve Quailer
16,Patrick Johnson
16,Mike Bergin
16,Matthew Bartkowski
28,Cody Hodgson
3,Yann Sauve
17,Jacob Deserres
8,Kelsey Tessier
15,Dustin Tokarski
7,Evgeny Grachev
29,David Ullstrom
18,Zack Smith
15,Adam Henrique
23,Mathieu Brodeur
27,Brandon McMillan
23,Nicholas Larson
19,Cameron Atkinson
8,Stephen Johnston
20,Chris Doyle
29,Matias Sointu
10,Stefan Della Rovere
7,Nikita Filatov
7,Colin Wilson
29,Jake Gardiner
26,Patrice Cormier
24,Eric ODell
7,Patrick Wiercioch
17,Josh Brittain
2,Braden Holtby
29,Kory Nagy
6,Jared Spurgeon
21,Joel Chouinard
27,Jaroslav Janus
17,Jori Lehtera
22,Andrei Loktionov
22,Kristoffer Berglund
22,Johan Motin
30,Cody Beach
17,Peter Delmas
9,Tyler Beskorowany
30,Andrew Campbell
9,Dale Weise
9,Mark Borowiecki
2,Teigan Zahn
14,Grant Rollheiser
14,Zac Rinaldo
23,Nicholas DAgostino
8,Nick Pryor
9,Tyler Cuma
24,Samuel Groulx
12,Ben Smith
24,Kyle De Coste
24,Brett Hextall
9,Scott Winkler
27,T.J. Brodie
12,Mattias Tedenby
25,Nicolas Deschamps
27,Anton Gustafsson
27,Victor Tikhonov
2,Jared Staal
27,James Livingston
27,Brent Regner
27,Jacob Lagace
27,Sawyer Hannay
29,Tony Dehart
15,Gustav Nyquist
28,Jesper Samuelsson
29,Anthony Hamburg
7,Philip McRae
11,Mikhail Stefanovich
11,Prab Rai
23,Mats Froshaug
29,Michael Hutchinson
23,Matt Donovan
2,David Warsofsky
14,Matt Delahey
3,Taylor Stefishen
9,Jonas Holos
23,Mike Murphy
19,Stefan Warg
30,Ryley Grantham
8,Luke Witkowski
9,David Wohlberg
8,Drew Daniels
7,Jake Allen
17,Marco Cousineau
20,Tommy Wingels
20,Zach Redmond
4,Rasmus Rissanen
4,Jere Sallinen
23,Scott Timmins
29,Chris Wideman
16,Anton Blomqvist
4,Garrett Mitchell
4,Tyler Randell
8,Wade Megan
4,Dave Labrecque
12,Adam Almqvist
30,Patrick Wey
11,Curtis McKenzie
4,Petteri Simila
16,Anton Klementyev
