Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
Bridgeport,BPT,0,0,4,0,4,0,0,0,0,0,6,31,2,0,2,0,0,0,0,0,5,15,18,1,37,14,0,90,251,61,36,27,27,0,3,2,1,0,0,6,12,18,92,112,80,50,30,197,111,63,0,
Hartford,HAR,23,10,11,5,6,0,0,0,0,0,65,69,5,3,2,0,0,0,0,0,36,30,76,30,76,20,0,389,505,145,138,133,118,0,26,21,18,0,0,65,122,187,189,283,182,162,111,437,364,230,0,
Binghamton,BNG,53,4,6,2,4,0,0,0,0,0,30,33,3,1,2,0,0,0,0,0,13,15,53,9,29,7,0,293,245,75,97,115,78,3,14,11,5,0,0,30,56,86,78,185,111,152,54,214,277,105,0,
Philly,PHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
San Ant.,SAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WB/Scrant.,WBS,31,8,10,4,6,0,0,0,0,0,42,47,5,2,3,0,0,0,0,0,21,26,50,9,94,17,1,364,458,165,118,108,124,14,19,9,13,1,0,42,77,119,212,280,215,159,73,484,358,163,0,
Peoria,PEO,6,2,5,1,4,0,0,0,0,0,20,25,2,1,1,0,0,0,0,0,8,7,38,7,33,12,1,176,205,52,67,59,50,0,7,9,4,0,0,20,36,56,95,115,98,98,49,193,197,88,0,
Worcester,WOR,72,18,14,9,5,0,0,0,0,0,61,55,7,6,1,0,0,0,0,0,31,24,88,25,98,17,0,546,482,159,177,177,189,3,22,19,19,1,0,61,114,175,275,371,249,257,104,545,559,234,0,
Norfolk,NOR,86,28,21,14,7,0,0,0,0,0,122,78,11,8,3,0,0,0,0,0,63,34,149,40,132,32,0,911,618,206,282,314,315,0,43,44,35,0,1,122,222,344,365,493,384,506,204,686,853,376,0,
Toronto,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manitoba,MAN,11,12,12,6,6,0,0,0,0,0,41,48,6,5,1,0,0,0,0,0,23,18,67,12,96,19,0,357,554,155,123,111,123,0,12,11,18,0,0,41,70,111,232,303,282,233,101,573,412,201,0,
Hershey,HER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
