Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Paul Maurice,63,Rangers,CAN,42,85,88,84,95,82,82,86,3,2750000
Peter Laviolette,64,Predators,USA,45,76,76,73,91,80,87,96,3,1650000
Randy Carlyle,65,Penguins,CAN,53,72,78,81,70,88,76,64,3,950000
Randy Cunneyworth,66,Rochester,CAN,48,70,66,74,68,80,76,74,3,600000
Rick Wilson,67,,CAN,59,66,70,70,68,95,80,68,2,1200000
Robbie Ftorek,68,,USA,57,66,68,71,66,91,81,72,1,1100000
Rob Daum,69,,CAN,51,55,68,66,56,80,68,62,0,0
Ron Low,70,,CAN,59,66,71,70,67,93,80,68,1,1034000
Ron Wilson,71,Senators,CAN,54,84,81,82,86,90,80,78,2,1100000
Ross Yates,72,,CAN,50,59,65,72,81,81,68,76,5,850000
Roy Sommer,73,,USA,52,81,66,66,76,85,77,66,3,700000
Ryan McGill,74,Iowa,CAN,40,65,68,69,78,76,83,90,3,600000
Scott Arniel,75,WB/Scrant.,CAN,47,67,66,64,74,82,79,76,3,750000
Scott Gordon,76,Lowell,USA,46,81,68,69,76,81,80,78,3,825000
Steve Ludzik,77,,CAN,48,68,70,70,69,81,79,74,1,450000
Steve Stirling,78,,CAN,60,70,71,76,69,95,73,50,3,1600000
Ted Nolan,79,Blackhawks,CAN,51,88,76,72,69,86,80,68,1,950000
Terry Murray,80,,CAN,59,89,83,72,77,94,78,52,3,2275000
Todd Richards,81,Springfield,USA,43,65,72,69,64,75,78,84,2,600000
Tom Renney,82,Maple Leafs,CAN,54,70,70,71,82,89,80,62,3,975000
Tom Rowe,83,,USA,53,58,70,64,74,85,83,64,3,700000
Tony Granato,84,Manchester,USA,45,68,75,76,70,80,85,80,1,1080000
Trent Yawney,85,,CAN,44,74,70,70,68,79,85,82,1,450000
Wayne Gretzky,86,,CAN,48,85,72,70,75,83,82,74,3,2000000
John Paddock,87,,CAN,55,70,70,70,70,90,75,60,5,700000
Brent Sutter,88,Canucks,CAN,47,73,92,82,87,82,79,76,1,875000
Kevin Dineen,89,Lake Erie,CAN,46,69,70,69,67,81,73,74,3,795000
Don Waddell,90,,USA,51,72,75,60,66,82,71,65,3,800000
Denis Savard,91,,CAN,48,73,75,68,70,74,76,82,2,850000
Guy Boucher,92,Peoria,CAN,39,62,68,71,65,65,68,80,4,650000
Kirk Muller,93,Texas,CAN,43,67,70,68,74,69,78,75,2,700000
Lane Lambert,94,,CAN,45,73,65,69,70,76,78,80,1,500000
Ken Gernander,95,,USA,40,64,70,72,69,72,73,79,1,600000
Cory Clouston,96,Flyers,CAN,39,85,80,76,84,78,83,92,2,1275000
John Stevens,97,Portland,CAN,43,79,77,90,61,80,81,84,2,800000
Bob Woods,98,,CAN,41,68,72,65,76,54,76,79,3,500000
Barry Melrose,101,,CAN,53,81,69,72,68,82,69,64,0,5000000
Peter DeBoer,102,Panthers,CAN,41,76,84,77,90,76,82,88,2,1750000
Benoit Groulx,103,,CAN,41,70,70,70,70,76,82,88,0,5000000
Bill Peters,104,,CAN,44,70,70,70,70,79,81,82,0,5000000
Butch Goring,105,,CAN,60,68,66,64,69,90,75,50,0,5000000
Todd McLellan,106,Sharks,CAN,42,86,88,85,85,77,80,86,3,1500000
Davis Payne,107,Worcester,CAN,39,72,76,68,76,74,85,92,2,625000
Craig Ramsay,108,,USA,58,68,76,65,77,71,74,54,0,5000000
Dale Hunter,109,Quad City,CAN,49,86,75,71,61,80,86,72,3,750000
Dan Bylsma,110,Wild,USA,39,88,74,84,80,73,84,92,5,2500000
Darren Rumble,111,,CAN,40,65,71,66,65,62,73,90,0,5000000
Don Granato,112,,USA,42,68,71,72,69,77,82,86,1,5000000
Gord Dineen,113,,CAN,47,69,72,71,68,81,86,92,0,5000000
Jack Capuano,114,,USA,43,70,70,70,70,78,81,84,0,5000000
Jeff Daniels,115,,CAN,41,70,71,70,70,76,82,88,0,5000000
Jeff Truitt,116,,CAN,44,67,56,65,70,68,71,82,1,5000000
Jim Playfair,117,,CAN,45,82,74,66,67,80,80,80,0,5000000
Joe Sacco,118,Blues,USA,40,72,72,74,76,70,81,90,3,2000000
Rick Tocchet,119,Hartford,CAN,45,86,68,73,74,82,80,80,1,500000
Rob Murray,120,Providence,CAN,42,70,70,70,70,77,82,86,1,745000
