Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Glen Gulutzan,100,,CAN,41,66,69,66,70,70,78,80,0,0
Barry Melrose,101,,CAN,53,81,66,72,68,82,62,64,0,5000000
Peter DeBoer,102,Capitals,CAN,43,77,84,77,90,77,82,88,2,2000000
Benoit Groulx,103,Wolves,CAN,42,70,70,70,70,76,82,88,2,700000
Bill Peters,104,Falcons,CAN,44,70,70,70,70,79,81,82,2,750000
Butch Goring,105,,CAN,60,68,66,64,69,90,75,50,0,5000000
Todd McLellan,106,Sharks,CAN,44,84,86,85,85,79,82,86,1,1500000
Davis Payne,107,Oilers,CAN,41,74,77,71,75,76,82,92,2,1500000
Craig Ramsay,108,,USA,58,68,76,65,77,75,74,54,0,5000000
Dale Hunter,109,Heat,CAN,51,86,75,71,61,80,86,72,1,750000
Dan Bylsma,110,Wild,USA,41,88,78,86,82,81,85,92,3,2500000
Darren Rumble,111,,CAN,40,65,71,66,65,62,73,90,0,5000000
Don Granato,112,,USA,42,68,71,72,69,75,82,86,1,5000000
Gord Dineen,113,,CAN,47,69,72,71,68,75,86,92,0,5000000
Jack Capuano,114,Bulldogs,USA,43,71,73,71,74,76,81,84,2,800000
Jeff Daniels,115,Whale,CAN,42,70,71,70,70,76,82,88,2,750000
Jeff Truitt,116,,CAN,44,67,56,65,70,68,71,82,1,5000000
Jim Playfair,117,,CAN,45,82,74,66,67,80,80,80,0,5000000
Joe Sacco,118,Blackhawks,USA,42,74,74,75,77,76,81,90,3,1500000
Rick Tocchet,119,,CAN,47,86,68,73,74,80,80,80,1,750000
Rob Murray,120,Checkers,CAN,44,70,70,70,70,77,82,86,1,650000
Ulf Samuelsson,121,,SWE,47,76,71,59,68,65,65,70,0,0
Ray Edwards,122,Unknown,CAN,41,72,68,64,70,68,75,80,3,650000
Ray Edwards,123,Monsters,CAN,41,77,73,62,65,70,70,80,3,650000
