Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProMinPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmMinPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
11,Dan Ellis,,2,CAN,1980-07-01,185,72,3,False,False,False,False,True,True,True,False,0,1850000,1850000,1850000,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,2,2,2,82,76,76,78,81,84,85,84,84,84,89,68,68,50,32,78,9,21751,2,2,0,0,18,175,88,0,0,5,1,4,47,0,0,0,0,139,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Ryan Miller,,4,USA,1980-07-01,160,74,5,False,False,False,False,False,True,True,False,0,7950000,7950000,7950000,7950000,7950000,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,2,95,91,91,82,95,95,95,95,97,95,75,74,74,50,64,88,71,254463,38,23,10,1,170,1980,789,0,5,23,8,71,11,3,10,7,2,171,171,10844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
13,Erik Ersberg,,0,SWE,1982-07-01,168,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,82,71,48,78,82,80,80,83,83,74,82,62,62,50,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,Jonathan Quick,,29,USA,1986-07-01,206,73,5,False,False,False,False,False,True,True,False,0,4000000,4000000,4000000,4000000,4000000,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,91,94,94,82,94,92,93,93,94,93,96,59,59,50,46,85,70,253310,33,28,8,5,167,2059,898,19,3,33,6,70,12,3,9,7,4,0,186,11742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,Jeff Drouin-Deslauriers,,15,CAN,1984-07-01,200,76,1,False,False,False,False,False,True,True,False,0,750000,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,78,78,78,87,79,80,81,80,80,80,76,60,60,50,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
16,Dwayne Roloson,,5,CAN,1969-07-01,185,73,2,False,False,False,False,True,True,True,False,0,7000000,7000000,0,0,0,0,0,0,0,0,,0,99,0,3,2,2,2,2,2,2,2,2,2,90,82,82,80,87,91,90,93,91,91,90,96,96,50,63,86,70,254132,38,21,11,1,189,2001,870,2,7,45,11,70,12,0,6,5,3,335,335,9446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,Steve Mason,,16,CAN,1988-07-01,186,75,4,False,False,False,False,False,True,True,False,0,3200000,3200000,3200000,3200000,0,0,0,0,0,0,,0,98,0,2,2,2,2,2,2,2,2,2,2,87,80,80,86,87,89,88,86,88,88,82,60,60,50,42,81,49,165511,23,18,4,3,127,1298,570,0,4,13,2,45,37,2,4,4,0,0,138,6224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,Brent Johnson,,7,USA,1977-07-01,175,73,1,False,False,False,False,False,True,True,False,0,1800000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,86,79,79,84,86,87,88,88,87,88,94,78,78,50,31,83,45,149139,19,17,6,1,123,1219,518,4,0,27,5,42,39,1,5,2,2,0,0,5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,Ben Bishop,,8,USA,1987-07-01,215,79,3,True,False,False,False,True,True,True,False,0,1250000,1250000,1250000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,84,80,80,92,83,84,85,83,83,84,76,55,55,50,64,77,7,24726,2,4,1,0,19,211,105,0,1,3,2,7,24,1,0,1,0,0,0,978,26,93843,22,3,1,3,47,574,265,4,1,0,0,26,0,1,2,1,1,0,0,3945,False
20,Peter Mannino,,6,USA,1984-07-01,195,72,1,True,False,False,False,False,True,True,False,0,625000,0,0,0,0,0,0,0,0,0,,2,100,0,1,0,0,0,0,0,0,0,0,0,58,70,72,78,58,58,58,63,58,62,59,70,65,50,78,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,103894,19,6,3,2,85,771,451,30,1,21,5,13,35,0,0,0,4,0,0,2635,False
21,Tim Thomas,,22,CAN,1974-07-01,180,71,1,False,False,False,False,False,True,True,False,0,5250000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,3,97,87,87,76,97,92,95,97,98,95,86,87,87,0,37,88,69,251349,31,24,14,3,175,1945,782,2,4,46,22,69,13,3,11,6,3,0,0,10627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,Corey Crawford,,10,CAN,1984-07-01,200,74,2,True,False,False,False,False,True,True,False,0,900000,900000,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,2,91,80,80,81,91,91,92,90,90,91,93,60,60,50,84,83,57,206786,40,15,1,2,132,1645,741,17,2,76,12,57,25,2,7,4,3,643,856,9195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,Johan Backlund,,19,SWE,1981-07-01,198,74,1,False,False,False,False,False,True,True,False,0,805000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,66,61,68,81,64,65,64,66,67,66,65,68,48,50,88,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,177207,34,12,3,5,122,1160,636,0,4,10,2,46,0,0,6,3,3,0,0,6307,False
24,Simeon Varlamov,,24,RUS,1988-07-01,200,73,1,False,False,False,False,False,True,True,False,0,3000000,0,0,0,0,0,0,0,0,0,,0,97,0,3,3,2,2,2,2,2,2,2,2,89,81,81,80,91,91,89,91,90,90,82,59,59,50,69,82,44,153541,23,14,5,3,94,1219,525,19,3,28,11,41,40,0,6,8,1,787,787,8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
25,Michael Leighton,,26,CAN,1981-07-01,175,74,1,False,False,False,False,False,True,True,False,0,1200000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,88,80,80,84,87,86,87,86,86,86,86,53,53,50,21,79,11,35534,2,7,1,0,34,309,144,15,1,4,2,9,38,0,0,1,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
26,Anton Kudobin,,5,KZA,1986-07-01,176,71,2,True,False,False,False,False,True,True,False,0,600000,600000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,78,76,84,89,76,77,74,81,81,80,78,55,50,50,80,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,198475,42,13,1,7,120,1243,616,19,7,9,0,46,0,0,6,2,10,0,0,8098,False
27,Peter Budaj,,15,SVK,1983-07-01,200,73,2,False,False,False,False,False,True,True,False,0,1250000,1250000,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,2,2,2,83,85,85,80,83,83,84,83,84,83,96,66,66,50,53,79,34,119054,16,16,1,1,85,971,457,17,1,14,4,32,47,0,4,2,3,0,55,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,John Curry,,0,USA,1984-07-01,185,71,0,False,False,False,False,False,True,True,False,0,775000,775000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,55,75,55,55,55,55,55,55,55,55,55,55,55,50,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,Andrew Raycroft,,20,CAN,1980-07-01,150,72,2,False,False,False,False,False,True,True,False,0,720000,720000,0,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,77,72,72,78,76,78,80,77,78,78,78,77,77,50,62,75,10,27863,1,5,1,0,25,241,103,0,0,2,2,6,77,0,0,0,1,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
30,Ryan Munce,,14,CAN,1985-07-01,185,74,1,False,False,False,False,False,True,True,False,0,525000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,53,51,65,82,53,53,53,56,53,56,54,65,66,50,74,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,161014,22,21,2,5,109,992,601,0,1,6,2,45,46,0,7,3,4,0,0,4770,False
31,Mark Dekanich,,15,CAN,1986-07-01,192,72,2,False,False,False,False,False,True,True,False,0,900000,900000,0,0,0,0,0,0,0,0,,6,100,0,1,1,1,1,1,1,1,1,1,1,66,63,71,78,66,66,66,65,66,67,66,55,55,50,56,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
176,Niklas Bäckström,,0,FIN,1970-07-01,200,74,1,False,False,False,False,False,True,True,False,0,5477344,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,92,90,90,80,92,93,93,95,95,94,91,80,80,50,50,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,Mike Smith,,9,CAN,1982-07-01,208,72,4,False,False,False,False,False,True,True,False,0,2500000,2500000,2500000,2500000,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,2,88,82,82,85,88,89,90,90,89,90,84,63,63,0,54,82,19,62778,7,5,4,0,53,523,249,0,1,19,8,16,66,0,0,1,0,126,393,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,Niklas Backstrom,,10,FIN,1978-07-01,200,74,3,False,False,False,False,False,True,True,False,0,6200000,6200000,6200000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,92,90,90,80,92,93,93,95,95,88,76,80,80,50,86,87,26,93599,11,13,2,1,71,749,295,0,1,11,3,25,57,0,5,1,0,0,0,3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35,Chris Carrozzi,,18,USA,1990-07-01,185,74,2,False,False,False,False,False,True,True,False,0,650000,650000,0,0,0,0,0,0,0,0,,15,100,0,1,1,1,1,1,1,1,1,1,1,58,56,62,64,59,54,58,56,59,60,57,55,55,50,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9845,1,2,0,0,10,83,52,0,0,0,0,0,31,1,0,0,0,0,0,100,False
36,Justin Pogge,,29,CAN,1986-07-01,200,75,2,False,False,False,False,False,True,True,False,0,625000,625000,0,0,0,0,0,0,0,0,,0,98,0,2,2,2,2,2,2,2,2,2,2,80,72,72,82,78,78,80,80,79,79,75,57,57,50,50,74,13,45837,6,5,2,1,36,374,185,0,1,8,2,12,70,0,3,0,0,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,Cory Schneider,,26,USA,1986-07-01,195,74,1,False,False,False,False,False,True,True,False,0,1000000,0,0,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,3,3,3,2,90,80,80,82,88,89,88,91,91,89,87,60,60,50,41,82,57,194223,26,23,4,0,148,1633,736,21,1,20,6,55,26,3,6,5,5,284,623,8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,Curtis Sanford,,23,CAN,1979-07-01,168,70,2,False,False,False,False,True,True,True,False,0,1100000,1100000,0,0,0,0,0,0,0,0,,0,97,0,3,3,3,3,3,3,3,3,2,2,73,63,63,74,73,73,73,73,73,73,72,67,67,50,44,70,14,38834,5,3,1,0,27,331,177,0,0,10,0,9,73,0,0,1,0,200,436,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
192,Thomas McCollum,,9,USA,1989-07-01,210,73,3,True,False,False,False,False,True,True,False,0,787500,787500,787500,0,0,0,0,0,0,0,,9,100,0,1,1,1,1,1,1,1,1,1,1,68,66,69,78,62,66,69,67,68,64,60,45,45,50,83,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,187478,42,8,0,4,117,1072,607,0,4,10,3,22,24,1,2,4,6,0,0,6032,False
40,Mathieu Garon,,28,CAN,1978-07-01,192,74,3,False,False,False,False,True,True,True,False,0,1200000,1200000,1200000,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,3,3,3,2,83,73,73,82,83,85,84,83,84,84,85,67,67,50,86,78,16,54240,9,5,1,0,39,424,198,6,0,0,0,14,68,1,3,0,0,156,156,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
41,Yann Danis,,0,CAN,1981-07-01,200,72,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,75,72,72,78,80,79,78,82,79,80,75,58,58,50,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,Marek Schwarz,,0,CZE,1986-07-01,180,72,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,64,57,60,78,64,64,64,57,64,63,63,69,61,50,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,Morgan Clark,,5,USA,1990-07-01,162,72,2,True,False,False,False,False,True,True,False,0,650000,650000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,59,56,52,58,59,57,60,52,58,57,57,56,56,50,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12624,4,1,0,0,13,78,43,0,0,0,0,1,15,0,1,0,1,0,0,314,False
44,Roberto Luongo,,13,CAN,1979-07-01,182,75,4,False,False,False,False,False,True,True,False,0,7250000,7250000,7250000,7250000,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,94,93,93,84,95,95,95,97,96,96,77,84,84,50,56,90,72,260621,36,27,8,1,192,2075,865,2,3,54,15,72,6,0,5,4,2,0,0,9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,Craig Andersson,,11,USA,1981-07-01,180,74,1,False,False,False,False,False,True,True,False,0,6525000,0,0,0,0,0,0,0,0,0,,0,98,0,3,3,3,3,3,3,2,2,2,2,90,83,83,82,91,90,89,91,92,90,89,72,72,50,39,84,58,207690,30,22,6,2,144,1676,768,2,3,20,6,58,14,3,4,3,4,209,329,8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,Johan Hedberg,,4,SWE,1973-07-01,190,72,1,False,False,False,False,False,True,True,False,0,1100000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,91,79,79,78,87,90,89,89,89,89,87,80,80,50,41,83,49,168159,21,20,6,3,130,1308,561,15,6,23,8,47,33,3,6,4,0,0,0,5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,Seamus Kotyk,,0,CAN,1980-07-01,180,71,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,55,79,55,55,55,55,55,55,55,55,55,32,32,50,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,Tobias Stephan,,13,CHE,1984-07-01,180,74,1,True,False,False,False,False,True,True,False,0,525000,0,0,0,0,0,0,0,0,0,,6,100,0,3,3,3,3,3,3,2,2,2,2,66,59,60,82,66,66,66,63,66,64,65,70,65,50,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,Antti Niemi,,23,FIN,1983-07-01,200,74,1,False,False,False,False,False,True,True,False,0,750000,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,93,87,87,82,93,90,93,94,94,92,86,60,60,50,36,85,73,260879,34,25,14,1,197,2139,913,6,3,39,15,73,2,0,7,4,4,0,0,10257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,Jean-Sébastien Giguère,,14,CAN,1977-06-30,185,72,2,False,False,False,False,False,True,True,False,0,7600000,7600000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,86,83,83,80,87,87,87,90,88,88,88,87,87,50,42,84,35,121014,14,15,4,0,94,988,441,0,1,25,5,33,49,0,3,4,0,0,0,4171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,Carey Price,,17,CAN,1987-07-01,212,75,4,False,False,False,False,False,True,True,False,0,6250000,6250000,6250000,6250000,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,3,95,88,88,84,93,93,95,93,95,94,90,60,60,50,37,86,66,234823,27,28,9,0,177,1837,739,2,6,32,11,65,17,2,4,7,4,100,100,8349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,Cristobal Huet,,0,FRA,1975-07-01,205,73,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,84,78,77,80,84,86,86,89,86,83,86,83,77,50,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,Jaroslav Halak,,14,SVK,1985-07-01,203,69,4,False,False,False,False,False,True,True,False,0,4250000,4250000,4250000,4250000,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,3,90,85,85,68,91,90,92,93,93,92,82,65,65,50,42,83,50,179072,22,19,8,0,125,1445,587,0,1,34,13,49,33,1,3,4,3,213,213,7247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,Ty Conklin,,8,USA,1976-07-01,190,73,1,False,False,False,False,False,True,True,False,0,1200000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,2,2,2,2,2,2,85,84,84,61,85,87,87,87,88,87,62,68,65,50,58,79,18,57982,7,6,1,1,39,482,204,0,1,8,2,14,67,1,2,1,1,0,0,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
193,Ben Scrivens,,18,CAN,1986-07-01,192,74,1,True,False,False,False,False,True,True,False,0,600000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,76,71,72,76,70,72,71,76,71,70,68,45,45,99,47,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,108945,17,10,2,2,82,755,370,23,3,15,1,31,0,2,1,1,2,0,0,2479,False
56,Brian Finley,,0,CAN,1981-07-01,205,75,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,62,72,68,68,65,69,73,62,68,66,67,49,49,50,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
57,Vesa Toskala,,0,FIN,1978-07-01,195,70,0,False,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,82,82,72,74,81,79,81,82,83,80,81,83,79,50,50,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
